model,K,spk,local_t,gi,method,block_seconds,fade_seconds,selection_rule,ASR,R3_escape,R5_escape,NAC,PESQ,STOI,SI_SDR
audioseal,5,chinese:SSB0038,0,7,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5974,0.9991,35.41
audioseal,5,chinese:SSB0038,0,7,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.6081,0.9995,36.90
audioseal,5,chinese:SSB0038,0,7,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5091,0.9987,34.07
audioseal,5,chinese:SSB0038,0,7,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.3231,0.9987,30.74
audioseal,5,chinese:SSB0038,0,7,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.3536,0.9988,30.81
audioseal,5,chinese:SSB0038,0,7,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5748,0.9990,33.07
audioseal,5,chinese:SSB0043,0,8,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5346,0.9988,32.73
audioseal,5,chinese:SSB0043,0,8,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.4855,0.9980,30.21
audioseal,5,chinese:SSB0043,0,8,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.4855,0.9980,30.21
audioseal,5,chinese:SSB0043,0,8,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5604,0.9990,33.42
audioseal,5,chinese:SSB0043,0,8,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.1660,0.9977,32.24
audioseal,5,chinese:SSB0043,0,8,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,3.9166,0.9935,29.66
audioseal,5,chinese:SSB0043,0,8,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,3.9307,0.9939,29.56
audioseal,5,chinese:SSB0043,0,8,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5089,0.9983,30.92
audioseal,5,chinese:SSB0057,0,9,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5817,0.9989,36.92
audioseal,5,chinese:SSB0057,0,9,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6250,4.6150,0.9994,38.61
audioseal,5,chinese:SSB0057,0,9,rp,2.0,0.02,blockwise_max_pair_mse,0,0,0,1.0000,4.5697,0.9976,33.20
audioseal,5,chinese:SSB0057,0,9,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5670,0.9979,34.51
audioseal,5,chinese:SSB0057,0,9,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5670,0.9979,36.24
audioseal,5,chinese:SSB0057,0,9,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5113,0.9959,34.52
audioseal,5,chinese:SSB0057,0,9,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5004,0.9955,34.82
audioseal,5,chinese:SSB0057,0,9,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.6147,0.9993,38.58
audioseal,5,chinese:SSB0073,0,10,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.6004,0.9998,31.75
audioseal,5,chinese:SSB0073,0,10,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.6032,0.9998,33.57
audioseal,5,chinese:SSB0073,0,10,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5933,0.9997,29.86
audioseal,5,chinese:SSB0073,0,10,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.6145,0.9998,33.81
audioseal,5,chinese:SSB0073,0,10,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5357,0.9996,30.89
audioseal,5,chinese:SSB0073,0,10,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.3569,0.9987,29.55
audioseal,5,chinese:SSB0073,0,10,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.3774,0.9990,29.19
audioseal,5,chinese:SSB0073,0,10,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5951,0.9998,32.77
audioseal,5,chinese:SSB0080,0,11,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5648,0.9985,30.80
audioseal,5,chinese:SSB0080,0,11,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5844,0.9991,31.95
audioseal,5,chinese:SSB0080,0,11,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5906,0.9991,34.57
audioseal,5,chinese:SSB0080,0,11,eep,2.0,0.02,blockwise_max_pair_mse,1,0,0,0.9375,4.5948,0.9992,32.04
audioseal,5,chinese:SSB0080,0,11,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.4872,0.9970,30.79
audioseal,5,chinese:SSB0080,0,11,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.1410,0.9910,27.81
audioseal,5,chinese:SSB0080,0,11,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.1533,0.9903,27.44
