model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
voicemark,5,30,chinese:SSB0073,0,fwp,none,none,1,5.50590968,3.0345,0.9384,10.72
voicemark,5,30,chinese:SSB0073,0,mean,mp3_128k,MP3 128 kbps,1,6.00134969,3.2856,0.9513,11.96
voicemark,5,30,chinese:SSB0073,0,fwp,mp3_128k,MP3 128 kbps,1,5.25666147,2.9844,0.9384,10.68
voicemark,5,30,chinese:SSB0073,0,mean,opus_64k,Opus 64 kbps,1,4.94716831,3.3420,0.9512,12.01
voicemark,5,30,chinese:SSB0073,0,fwp,opus_64k,Opus 64 kbps,1,4.04716623,3.0274,0.9381,10.72
voicemark,5,31,chinese:SSB0073,1,mean,none,none,1,14.80536775,3.9280,0.9679,13.75
voicemark,5,31,chinese:SSB0073,1,fwp,none,none,1,34.79540529,3.4134,0.9545,11.98
voicemark,5,31,chinese:SSB0073,1,mean,mp3_128k,MP3 128 kbps,1,6.91235530,3.8600,0.9679,13.70
voicemark,5,31,chinese:SSB0073,1,fwp,mp3_128k,MP3 128 kbps,1,30.30770928,3.3637,0.9545,11.96
voicemark,5,31,chinese:SSB0073,1,mean,opus_64k,Opus 64 kbps,1,8.63207619,3.9263,0.9676,13.71
voicemark,5,31,chinese:SSB0073,1,fwp,opus_64k,Opus 64 kbps,1,32.14107764,3.4119,0.9541,11.95
voicemark,5,32,chinese:SSB0073,2,mean,none,none,1,26.87327217,4.1825,0.9714,12.79
voicemark,5,32,chinese:SSB0073,2,fwp,none,none,1,9.03106694,3.7042,0.9470,9.55
voicemark,5,32,chinese:SSB0073,2,mean,mp3_128k,MP3 128 kbps,1,23.97117893,4.1427,0.9714,12.77
voicemark,5,32,chinese:SSB0073,2,fwp,mp3_128k,MP3 128 kbps,1,13.46609030,3.6744,0.9470,9.55
voicemark,5,32,chinese:SSB0073,2,mean,opus_64k,Opus 64 kbps,1,27.45773508,4.1828,0.9711,12.78
voicemark,5,32,chinese:SSB0073,2,fwp,opus_64k,Opus 64 kbps,1,12.26697288,3.7051,0.9467,9.55
voicemark,5,33,chinese:SSB0080,0,mean,none,none,1,12.45923208,4.1858,0.9664,19.94
voicemark,5,33,chinese:SSB0080,0,fwp,none,none,1,14.31280527,3.9080,0.9470,16.35
voicemark,5,33,chinese:SSB0080,0,mean,mp3_128k,MP3 128 kbps,1,11.29325884,4.1023,0.9664,19.69
voicemark,5,33,chinese:SSB0080,0,fwp,mp3_128k,MP3 128 kbps,1,12.20317293,3.8392,0.9471,16.23
voicemark,5,33,chinese:SSB0080,0,mean,opus_64k,Opus 64 kbps,1,11.86222448,4.1777,0.9662,19.71
voicemark,5,33,chinese:SSB0080,0,fwp,opus_64k,Opus 64 kbps,1,13.78676063,3.8867,0.9469,16.26
voicemark,5,34,chinese:SSB0080,1,mean,none,none,1,13.97316574,4.2125,0.9741,14.02
voicemark,5,34,chinese:SSB0080,1,fwp,none,none,1,24.91240853,3.9684,0.9528,12.62
voicemark,5,34,chinese:SSB0080,1,mean,mp3_128k,MP3 128 kbps,1,29.36899054,4.0856,0.9741,13.93
voicemark,5,34,chinese:SSB0080,1,fwp,mp3_128k,MP3 128 kbps,1,34.44948477,3.8486,0.9528,12.55
voicemark,5,34,chinese:SSB0080,1,mean,opus_64k,Opus 64 kbps,1,15.11231274,4.2098,0.9739,13.96
voicemark,5,34,chinese:SSB0080,1,fwp,opus_64k,Opus 64 kbps,1,29.14840659,3.9606,0.9525,12.55
voicemark,5,35,chinese:SSB0080,2,mean,none,none,1,23.93928169,4.3333,0.9634,15.19
voicemark,5,35,chinese:SSB0080,2,fwp,none,none,1,3.55653565,4.3061,0.9799,15.22
voicemark,5,35,chinese:SSB0080,2,mean,mp3_128k,MP3 128 kbps,1,25.98728028,4.2035,0.9634,15.05
voicemark,5,35,chinese:SSB0080,2,fwp,mp3_128k,MP3 128 kbps,1,12.32819543,4.2024,0.9799,15.09
voicemark,5,35,chinese:SSB0080,2,mean,opus_64k,Opus 64 kbps,1,24.25577235,4.3253,0.9633,15.09
voicemark,5,35,chinese:SSB0080,2,fwp,opus_64k,Opus 64 kbps,1,2.07838057,4.2903,0.9795,15.09
voicemark,5,36,chinese:SSB0112,0,mean,none,none,1,30.17264345,4.0884,0.9674,13.09
voicemark,5,36,chinese:SSB0112,0,fwp,none,none,1,16.53675253,3.9438,0.9723,12.86
voicemark,5,36,chinese:SSB0112,0,mean,mp3_128k,MP3 128 kbps,1,27.71545063,3.7283,0.9675,12.60
voicemark,5,36,chinese:SSB0112,0,fwp,mp3_128k,MP3 128 kbps,1,26.47263463,3.6212,0.9723,12.34
voicemark,5,36,chinese:SSB0112,0,mean,opus_64k,Opus 64 kbps,1,27.57690181,4.0922,0.9674,12.88
voicemark,5,36,chinese:SSB0112,0,fwp,opus_64k,Opus 64 kbps,1,26.44661883,3.9426,0.9718,12.64
voicemark,5,37,chinese:SSB0112,1,mean,none,none,1,13.84630431,4.3071,0.9757,14.95
voicemark,5,37,chinese:SSB0112,1,fwp,none,none,1,13.53221094,4.2123,0.9666,13.48
voicemark,5,37,chinese:SSB0112,1,mean,mp3_128k,MP3 128 kbps,1,27.64074250,4.1231,0.9757,14.73
voicemark,5,37,chinese:SSB0112,1,fwp,mp3_128k,MP3 128 kbps,1,11.57892628,4.0363,0.9666,13.31
voicemark,5,37,chinese:SSB0112,1,mean,opus_64k,Opus 64 kbps,1,22.21648691,4.3039,0.9756,14.97
voicemark,5,37,chinese:SSB0112,1,fwp,opus_64k,Opus 64 kbps,1,12.32556866,4.2014,0.9663,13.44
voicemark,5,38,chinese:SSB0112,2,mean,none,none,1,32.05545111,4.2093,0.9720,15.27
voicemark,5,38,chinese:SSB0112,2,fwp,none,none,1,29.50849379,4.0819,0.9657,13.62
voicemark,5,38,chinese:SSB0112,2,mean,mp3_128k,MP3 128 kbps,1,30.28498042,3.9044,0.9720,14.67
voicemark,5,38,chinese:SSB0112,2,fwp,mp3_128k,MP3 128 kbps,1,27.36334792,3.8018,0.9657,13.27
voicemark,5,38,chinese:SSB0112,2,mean,opus_64k,Opus 64 kbps,1,30.09284477,4.2044,0.9719,15.06
voicemark,5,38,chinese:SSB0112,2,fwp,opus_64k,Opus 64 kbps,1,29.25462342,4.0695,0.9652,13.48
voicemark,5,39,chinese:SSB0122,0,mean,none,none,1,31.89122890,4.1709,0.9732,14.59
