model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
audioseal,5,36,chinese:SSB0112,0,mean,mp3_128k,MP3 128 kbps,1,2.29022026,4.3908,0.9992,25.40
audioseal,5,36,chinese:SSB0112,0,fwp,mp3_128k,MP3 128 kbps,1,4.02038574,4.3641,0.9985,24.00
audioseal,5,36,chinese:SSB0112,0,mean,opus_64k,Opus 64 kbps,1,2.17862654,4.5453,0.9989,27.02
audioseal,5,36,chinese:SSB0112,0,fwp,opus_64k,Opus 64 kbps,1,4.29361153,4.5119,0.9981,24.94
audioseal,5,37,chinese:SSB0112,1,mean,none,none,1,2.28313351,4.5450,0.9988,27.41
audioseal,5,37,chinese:SSB0112,1,fwp,none,none,1,2.36816454,4.5601,0.9992,29.09
audioseal,5,37,chinese:SSB0112,1,mean,mp3_128k,MP3 128 kbps,1,2.39434385,4.3727,0.9988,24.49
audioseal,5,37,chinese:SSB0112,1,fwp,mp3_128k,MP3 128 kbps,1,2.41155958,4.3834,0.9992,25.27
audioseal,5,37,chinese:SSB0112,1,mean,opus_64k,Opus 64 kbps,1,2.37125587,4.5274,0.9985,25.74
audioseal,5,37,chinese:SSB0112,1,fwp,opus_64k,Opus 64 kbps,1,2.28031826,4.5308,0.9988,26.64
audioseal,5,38,chinese:SSB0112,2,mean,none,none,1,2.76592493,4.5667,0.9990,29.58
audioseal,5,38,chinese:SSB0112,2,fwp,none,none,1,3.28494358,4.5614,0.9992,30.68
audioseal,5,38,chinese:SSB0112,2,mean,mp3_128k,MP3 128 kbps,1,2.68520403,4.3847,0.9990,25.47
audioseal,5,38,chinese:SSB0112,2,fwp,mp3_128k,MP3 128 kbps,1,3.19543743,4.3919,0.9992,25.86
audioseal,5,38,chinese:SSB0112,2,mean,opus_64k,Opus 64 kbps,1,2.75335884,4.5375,0.9987,27.09
audioseal,5,38,chinese:SSB0112,2,fwp,opus_64k,Opus 64 kbps,1,3.23801327,4.5242,0.9988,27.43
audioseal,5,39,chinese:SSB0122,0,mean,none,none,1,2.90960026,4.5811,0.9994,35.72
