model,K,spk,local_t,gi,restart,start_id,objective,weights
voicemark,5,chinese:SSB0011,0,2,2,5,0.0000509606,0.24354642;0.22997623;0.15005034;0.21199803;0.16442897
voicemark,5,chinese:SSB0011,0,2,2,6,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199803;0.16442897
voicemark,5,chinese:SSB0011,0,2,3,0,0.0000509606,0.24362924;0.23013774;0.14973656;0.21150270;0.16499376
voicemark,5,chinese:SSB0011,0,2,3,1,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199804;0.16442896
voicemark,5,chinese:SSB0011,0,2,3,2,0.0000509606,0.24354642;0.22997623;0.15005036;0.21199804;0.16442895
voicemark,5,chinese:SSB0011,0,2,3,3,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199803;0.16442897
voicemark,5,chinese:SSB0011,0,2,3,4,0.0000509606,0.24354643;0.22997623;0.15005034;0.21199803;0.16442896
voicemark,5,chinese:SSB0011,0,2,3,5,0.0000509606,0.24354643;0.22997624;0.15005035;0.21199804;0.16442894
voicemark,5,chinese:SSB0011,0,2,3,6,0.0000509606,0.24354643;0.22997624;0.15005035;0.21199804;0.16442894
voicemark,5,chinese:SSB0012,0,3,0,0,0.0003026013,0.02624850;0.36098774;0.25724774;0.15757080;0.19794522
voicemark,5,chinese:SSB0012,0,3,0,1,0.0003026013,0.02624854;0.36098772;0.25724772;0.15757081;0.19794522
voicemark,5,chinese:SSB0012,0,3,0,2,0.0003026013,0.02624854;0.36098771;0.25724773;0.15757081;0.19794522
voicemark,5,chinese:SSB0012,0,3,0,3,0.0003026013,0.02624850;0.36098774;0.25724773;0.15757080;0.19794523
voicemark,5,chinese:SSB0012,0,3,0,4,0.0003026013,0.02624854;0.36098772;0.25724772;0.15757082;0.19794521
voicemark,5,chinese:SSB0012,0,3,0,5,0.0003026013,0.02624854;0.36098772;0.25724772;0.15757081;0.19794522
voicemark,5,chinese:SSB0012,0,3,0,6,0.0003026013,0.02624852;0.36098772;0.25724774;0.15757081;0.19794521
voicemark,5,chinese:SSB0012,0,3,1,0,0.0003026013,0.02624850;0.36098774;0.25724774;0.15757080;0.19794522
voicemark,5,chinese:SSB0012,0,3,1,1,0.0003026013,0.02624854;0.36098772;0.25724772;0.15757081;0.19794522
voicemark,5,chinese:SSB0012,0,3,1,2,0.0003026013,0.02624850;0.36098774;0.25724773;0.15757080;0.19794523
voicemark,5,chinese:SSB0012,0,3,1,3,0.0003026013,0.02624851;0.36098772;0.25724773;0.15757080;0.19794524
voicemark,5,chinese:SSB0012,0,3,1,4,0.0003026013,0.02624851;0.36098772;0.25724773;0.15757080;0.19794524
voicemark,5,chinese:SSB0012,0,3,1,5,0.0003026013,0.02624852;0.36098772;0.25724774;0.15757081;0.19794521
voicemark,5,chinese:SSB0012,0,3,1,6,0.0003026013,0.02624851;0.36098772;0.25724773;0.15757080;0.19794524
voicemark,5,chinese:SSB0012,0,3,2,0,0.0003026013,0.02624850;0.36098774;0.25724774;0.15757080;0.19794522
voicemark,5,chinese:SSB0012,0,3,2,1,0.0003026013,0.02624854;0.36098772;0.25724772;0.15757081;0.19794522
voicemark,5,chinese:SSB0012,0,3,2,2,0.0003026013,0.02624854;0.36098772;0.25724772;0.15757081;0.19794521
voicemark,5,chinese:SSB0012,0,3,2,3,0.0003026013,0.02624852;0.36098772;0.25724774;0.15757081;0.19794521
voicemark,5,chinese:SSB0012,0,3,2,4,0.0003026013,0.02624854;0.36098772;0.25724775;0.15757080;0.19794519
voicemark,5,chinese:SSB0012,0,3,2,5,0.0003026013,0.02624852;0.36098772;0.25724774;0.15757081;0.19794521
voicemark,5,chinese:SSB0012,0,3,2,6,0.0003026013,0.02624854;0.36098771;0.25724773;0.15757081;0.19794522
voicemark,5,chinese:SSB0012,0,3,3,0,0.0003026013,0.02624850;0.36098774;0.25724774;0.15757080;0.19794522
voicemark,5,chinese:SSB0012,0,3,3,1,0.0003026013,0.02624854;0.36098772;0.25724772;0.15757081;0.19794522
voicemark,5,chinese:SSB0012,0,3,3,2,0.0003026013,0.02624854;0.36098772;0.25724772;0.15757081;0.19794522
voicemark,5,chinese:SSB0012,0,3,3,3,0.0003026013,0.02624854;0.36098771;0.25724771;0.15757082;0.19794523
voicemark,5,chinese:SSB0012,0,3,3,4,0.0003026013,0.02624854;0.36098771;0.25724771;0.15757082;0.19794523
voicemark,5,chinese:SSB0012,0,3,3,5,0.0003026013,0.02624855;0.36098769;0.25724772;0.15757082;0.19794521
voicemark,5,chinese:SSB0012,0,3,3,6,0.0003026013,0.02624852;0.36098772;0.25724774;0.15757081;0.19794521
voicemark,5,chinese:SSB0016,0,4,0,0,0.0000188009,0.37745062;0.00000000;0.00000000;0.37609920;0.24645018
voicemark,5,chinese:SSB0016,0,4,0,1,0.0000188009,0.37745043;0.00000000;0.00000000;0.37609929;0.24645028
voicemark,5,chinese:SSB0016,0,4,0,2,0.0000188009,0.37745044;0.00000000;0.00000000;0.37609929;0.24645027
voicemark,5,chinese:SSB0016,0,4,0,3,0.0000188009,0.37745042;0.00000000;0.00000000;0.37609935;0.24645023
voicemark,5,chinese:SSB0016,0,4,0,4,0.0000188009,0.37745318;0.00000000;0.00000000;0.37609898;0.24644785
voicemark,5,chinese:SSB0016,0,4,0,5,0.0000188009,0.37744965;0.00000000;0.00000000;0.37610060;0.24644974
voicemark,5,chinese:SSB0016,0,4,0,6,0.0000188009,0.37745318;0.00000000;0.00000000;0.37609898;0.24644785
voicemark,5,chinese:SSB0016,0,4,1,0,0.0000188009,0.37745062;0.00000000;0.00000000;0.37609920;0.24645018
voicemark,5,chinese:SSB0016,0,4,1,1,0.0000188009,0.37745043;0.00000000;0.00000000;0.37609929;0.24645028
voicemark,5,chinese:SSB0016,0,4,1,2,0.0000188009,0.37745318;0.00000000;0.00000000;0.37609898;0.24644785
voicemark,5,chinese:SSB0016,0,4,1,3,0.0000188009,0.37745044;0.00000000;0.00000000;0.37609928;0.24645028
voicemark,5,chinese:SSB0016,0,4,1,4,0.0000188009,0.37745044;0.00000000;0.00000000;0.37609929;0.24645027
voicemark,5,chinese:SSB0016,0,4,1,5,0.0000188009,0.37745044;0.00000000;0.00000000;0.37609929;0.24645027
voicemark,5,chinese:SSB0016,0,4,1,6,0.0000188009,0.37745139;0.00000000;0.00000000;0.37609766;0.24645094
voicemark,5,chinese:SSB0016,0,4,2,0,0.0000188009,0.37745062;0.00000000;0.00000000;0.37609920;0.24645018
voicemark,5,chinese:SSB0016,0,4,2,1,0.0000188009,0.37745043;0.00000000;0.00000000;0.37609929;0.24645028
voicemark,5,chinese:SSB0016,0,4,2,2,0.0000188009,0.37745044;0.00000000;0.00000000;0.37609929;0.24645028
voicemark,5,chinese:SSB0016,0,4,2,3,0.0000188009,0.37745044;0.00000000;0.00000000;0.37609929;0.24645027
voicemark,5,chinese:SSB0016,0,4,2,4,0.0000188009,0.37745042;0.00000000;0.00000000;0.37609935;0.24645023
voicemark,5,chinese:SSB0016,0,4,2,5,0.0000188009,0.37745044;0.00000000;0.00000000;0.37609929;0.24645027
