model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
voicemark,3,chinese:SSB0012,0,9,random_dirichlet,0,0.6909,-0.0027,6.4466,3.8243,0.9573,13.10,0.8660,-0.9577,-25.9770,-25.9770
voicemark,3,chinese:SSB0012,0,9,eep,1,0.7098,-38.8610,-38.3889,4.2279,0.9827,17.37,0.8660,-0.9577,-25.9770,-25.9770
voicemark,3,chinese:SSB0012,0,9,fwp,1,0.6800,-17.2727,-17.2624,4.0081,0.9592,12.12,0.8660,-0.9577,-25.9770,-25.9770
voicemark,3,chinese:SSB0012,0,9,dm,1,0.6800,-24.0262,-23.9666,4.2093,0.9684,13.68,0.8660,-0.9577,-25.9770,-25.9770
voicemark,3,chinese:SSB0012,0,9,tct,1,0.7485,-26.1115,-25.9770,4.4542,0.9878,18.15,0.8660,-0.9577,-25.9770,-25.9770
voicemark,3,chinese:SSB0012,0,9,payload_farthest,1,0.6800,-17.2727,-17.2624,4.0081,0.9592,12.12,0.8660,-0.9577,-25.9770,-25.9770
voicemark,3,chinese:SSB0012,1,10,single_copy,1,0.7341,-2.5107,-2.4175,4.6439,1.0000,147.76,-0.5000,0.1609,-0.7950,-0.7950
voicemark,3,chinese:SSB0012,1,10,mean,1,0.6989,-14.3135,-13.7238,4.0134,0.9691,14.92,-0.5000,0.1609,-0.7950,-0.7950
voicemark,3,chinese:SSB0012,1,10,rp,1,0.6891,-6.8499,-6.0116,4.0602,0.9716,16.91,-0.5000,0.1609,-0.7950,-0.7950
voicemark,3,chinese:SSB0012,1,10,random_dirichlet,1,0.7224,-20.0955,-20.0401,3.7808,0.9614,12.93,-0.5000,0.1609,-0.7950,-0.7950
voicemark,3,chinese:SSB0012,1,10,eep,1,0.6891,-6.8499,-6.0116,4.0602,0.9716,16.91,-0.5000,0.1609,-0.7950,-0.7950
