model,K,spk,local_t,eps,r0,ASR
wavmark,3,chinese:SSB0287,0,0.0,0.3,1
wavmark,3,chinese:SSB0287,0,0.001,0.05,1
wavmark,3,chinese:SSB0287,0,0.001,0.1,1
wavmark,3,chinese:SSB0287,0,0.001,0.3,1
wavmark,3,chinese:SSB0287,0,0.01,0.05,1
wavmark,3,chinese:SSB0287,0,0.01,0.1,1
wavmark,3,chinese:SSB0287,0,0.01,0.3,1
wavmark,3,chinese:SSB0287,0,0.05,0.05,1
wavmark,3,chinese:SSB0287,0,0.05,0.1,1
wavmark,3,chinese:SSB0287,0,0.05,0.3,1
wavmark,3,chinese:SSB0288,0,0.0,0.05,1
wavmark,3,chinese:SSB0288,0,0.0,0.1,1
wavmark,3,chinese:SSB0288,0,0.0,0.3,1
wavmark,3,chinese:SSB0288,0,0.001,0.05,1
wavmark,3,chinese:SSB0288,0,0.001,0.1,1
wavmark,3,chinese:SSB0288,0,0.001,0.3,1
wavmark,3,chinese:SSB0288,0,0.01,0.05,1
wavmark,3,chinese:SSB0288,0,0.01,0.1,1
wavmark,3,chinese:SSB0288,0,0.01,0.3,1
wavmark,3,chinese:SSB0288,0,0.05,0.05,1
wavmark,3,chinese:SSB0288,0,0.05,0.1,1
wavmark,3,chinese:SSB0288,0,0.05,0.3,1
wavmark,3,chinese:SSB0299,0,0.0,0.05,1
wavmark,3,chinese:SSB0299,0,0.0,0.1,1
wavmark,3,chinese:SSB0299,0,0.0,0.3,1
wavmark,3,chinese:SSB0299,0,0.001,0.05,1
wavmark,3,chinese:SSB0299,0,0.001,0.1,1
wavmark,3,chinese:SSB0299,0,0.001,0.3,1
wavmark,3,chinese:SSB0299,0,0.01,0.05,1
wavmark,3,chinese:SSB0299,0,0.01,0.1,1
wavmark,3,chinese:SSB0299,0,0.01,0.3,1
wavmark,3,chinese:SSB0299,0,0.05,0.05,1
wavmark,3,chinese:SSB0299,0,0.05,0.1,1
wavmark,3,chinese:SSB0299,0,0.05,0.3,1
wavmark,3,chinese:SSB0307,0,0.0,0.05,1
wavmark,3,chinese:SSB0307,0,0.0,0.1,1
wavmark,3,chinese:SSB0307,0,0.0,0.3,1
wavmark,3,chinese:SSB0307,0,0.001,0.05,1
wavmark,3,chinese:SSB0307,0,0.001,0.1,1
wavmark,3,chinese:SSB0307,0,0.001,0.3,1
wavmark,3,chinese:SSB0307,0,0.01,0.05,1
wavmark,3,chinese:SSB0307,0,0.01,0.1,1
wavmark,3,chinese:SSB0307,0,0.01,0.3,1
wavmark,3,chinese:SSB0307,0,0.05,0.05,1
wavmark,3,chinese:SSB0307,0,0.05,0.1,1
wavmark,3,chinese:SSB0307,0,0.05,0.3,1
wavmark,3,chinese:SSB0309,0,0.0,0.05,1
wavmark,3,chinese:SSB0309,0,0.0,0.1,1
wavmark,3,chinese:SSB0309,0,0.0,0.3,1
wavmark,3,chinese:SSB0309,0,0.001,0.05,1
wavmark,3,chinese:SSB0309,0,0.001,0.1,1
wavmark,3,chinese:SSB0309,0,0.001,0.3,1
wavmark,3,chinese:SSB0309,0,0.01,0.05,1
wavmark,3,chinese:SSB0309,0,0.01,0.1,1
wavmark,3,chinese:SSB0309,0,0.01,0.3,1
wavmark,3,chinese:SSB0309,0,0.05,0.05,1
wavmark,3,chinese:SSB0309,0,0.05,0.1,1
wavmark,3,chinese:SSB0309,0,0.05,0.3,1
wavmark,3,chinese:SSB0315,0,0.0,0.05,1
wavmark,3,chinese:SSB0315,0,0.0,0.1,1
wavmark,3,chinese:SSB0315,0,0.0,0.3,1
wavmark,3,chinese:SSB0315,0,0.001,0.05,1
wavmark,3,chinese:SSB0315,0,0.001,0.1,1
wavmark,3,chinese:SSB0315,0,0.001,0.3,1
wavmark,3,chinese:SSB0315,0,0.01,0.05,1
wavmark,3,chinese:SSB0315,0,0.01,0.1,1
wavmark,3,chinese:SSB0315,0,0.01,0.3,1
wavmark,3,chinese:SSB0315,0,0.05,0.05,1
wavmark,3,chinese:SSB0315,0,0.05,0.1,1
wavmark,3,chinese:SSB0315,0,0.05,0.3,1
wavmark,3,chinese:SSB0316,0,0.0,0.05,1
wavmark,3,chinese:SSB0316,0,0.0,0.1,1
wavmark,3,chinese:SSB0316,0,0.0,0.3,1
wavmark,3,chinese:SSB0316,0,0.001,0.05,1
wavmark,3,chinese:SSB0316,0,0.001,0.1,1
wavmark,3,chinese:SSB0316,0,0.001,0.3,1
wavmark,3,chinese:SSB0316,0,0.01,0.05,1
wavmark,3,chinese:SSB0316,0,0.01,0.1,1
wavmark,3,chinese:SSB0316,0,0.01,0.3,1
wavmark,3,chinese:SSB0316,0,0.05,0.05,1
wavmark,3,chinese:SSB0316,0,0.05,0.1,1
wavmark,3,chinese:SSB0316,0,0.05,0.3,1
wavmark,3,chinese:SSB0323,0,0.0,0.05,1
wavmark,3,chinese:SSB0323,0,0.0,0.1,1
wavmark,3,chinese:SSB0323,0,0.0,0.3,1
wavmark,3,chinese:SSB0323,0,0.001,0.05,1
wavmark,3,chinese:SSB0323,0,0.001,0.1,1
wavmark,3,chinese:SSB0323,0,0.001,0.3,1
wavmark,3,chinese:SSB0323,0,0.01,0.05,1
wavmark,3,chinese:SSB0323,0,0.01,0.1,1
wavmark,3,chinese:SSB0323,0,0.01,0.3,1
wavmark,3,chinese:SSB0323,0,0.05,0.05,1
wavmark,3,chinese:SSB0323,0,0.05,0.1,1
wavmark,3,chinese:SSB0323,0,0.05,0.3,1
wavmark,3,chinese:SSB0338,0,0.0,0.05,1
wavmark,3,chinese:SSB0338,0,0.0,0.1,1
wavmark,3,chinese:SSB0338,0,0.0,0.3,1
wavmark,3,chinese:SSB0338,0,0.001,0.05,1
wavmark,3,chinese:SSB0338,0,0.001,0.1,1
wavmark,3,chinese:SSB0338,0,0.001,0.3,1
wavmark,3,chinese:SSB0338,0,0.01,0.05,1
wavmark,3,chinese:SSB0338,0,0.01,0.1,1
wavmark,3,chinese:SSB0338,0,0.01,0.3,1
wavmark,3,chinese:SSB0338,0,0.05,0.05,1
wavmark,3,chinese:SSB0338,0,0.05,0.1,1
wavmark,3,chinese:SSB0338,0,0.05,0.3,1
wavmark,3,chinese:SSB0339,0,0.0,0.05,1
wavmark,3,chinese:SSB0339,0,0.0,0.1,1
wavmark,3,chinese:SSB0339,0,0.0,0.3,1
wavmark,3,chinese:SSB0339,0,0.001,0.05,1
wavmark,3,chinese:SSB0339,0,0.001,0.1,1
wavmark,3,chinese:SSB0339,0,0.001,0.3,1
wavmark,3,chinese:SSB0339,0,0.01,0.05,1
wavmark,3,chinese:SSB0339,0,0.01,0.1,1
wavmark,3,chinese:SSB0339,0,0.01,0.3,1
wavmark,3,chinese:SSB0339,0,0.05,0.05,1
wavmark,3,chinese:SSB0339,0,0.05,0.1,1
wavmark,3,chinese:SSB0339,0,0.05,0.3,1
wavmark,3,chinese:SSB0341,0,0.0,0.05,1
wavmark,3,chinese:SSB0341,0,0.0,0.1,1
wavmark,3,chinese:SSB0341,0,0.0,0.3,1
wavmark,3,chinese:SSB0341,0,0.001,0.05,1
wavmark,3,chinese:SSB0341,0,0.001,0.1,1
wavmark,3,chinese:SSB0341,0,0.001,0.3,1
wavmark,3,chinese:SSB0341,0,0.01,0.05,1
wavmark,3,chinese:SSB0341,0,0.01,0.1,1
wavmark,3,chinese:SSB0341,0,0.01,0.3,1
wavmark,3,chinese:SSB0341,0,0.05,0.05,1
wavmark,3,chinese:SSB0341,0,0.05,0.1,1
wavmark,3,chinese:SSB0341,0,0.05,0.3,1
wavmark,3,chinese:SSB0342,0,0.0,0.05,1
wavmark,3,chinese:SSB0342,0,0.0,0.1,1
wavmark,3,chinese:SSB0342,0,0.0,0.3,1
wavmark,3,chinese:SSB0342,0,0.001,0.05,1
wavmark,3,chinese:SSB0342,0,0.001,0.1,1
wavmark,3,chinese:SSB0342,0,0.001,0.3,1
wavmark,3,chinese:SSB0342,0,0.01,0.05,1
wavmark,3,chinese:SSB0342,0,0.01,0.1,1
wavmark,3,chinese:SSB0342,0,0.01,0.3,1
wavmark,3,chinese:SSB0342,0,0.05,0.05,1
