model,K,spk,local_t,gi,method,block_seconds,fade_seconds,num_blocks,selection_rule,ASR,R3_escape,R5_escape,NAC,PESQ,STOI,SI_SDR
timbrewm,5,chinese:SSB0043,0,8,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.2777,0.9950,30.37
timbrewm,5,chinese:SSB0043,0,8,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.0742,0.9911,26.73
timbrewm,5,chinese:SSB0043,0,8,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.0560,0.9907,26.70
timbrewm,5,chinese:SSB0043,0,8,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.2141,0.9936,27.62
timbrewm,5,chinese:SSB0057,0,9,mean,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.5588,0.9969,33.24
timbrewm,5,chinese:SSB0057,0,9,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.6000,4.5854,0.9979,34.93
timbrewm,5,chinese:SSB0057,0,9,rp,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.5001,0.9948,30.87
timbrewm,5,chinese:SSB0057,0,9,eep,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.5001,0.9948,30.87
timbrewm,5,chinese:SSB0057,0,9,median,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.5044,0.9949,32.37
timbrewm,5,chinese:SSB0057,0,9,minimum,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.4147,0.9927,31.26
timbrewm,5,chinese:SSB0057,0,9,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.4307,0.9928,31.28
timbrewm,5,chinese:SSB0057,0,9,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5766,0.9977,34.60
timbrewm,5,chinese:SSB0073,0,10,mean,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.6039,0.9988,35.55
timbrewm,5,chinese:SSB0073,0,10,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.5053,0.9965,31.51
timbrewm,5,chinese:SSB0073,0,10,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.5936,0.9987,35.16
timbrewm,5,chinese:SSB0073,0,10,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.5053,0.9965,31.51
timbrewm,5,chinese:SSB0073,0,10,median,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.5260,0.9988,35.67
timbrewm,5,chinese:SSB0073,0,10,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4628,0.9981,31.19
timbrewm,5,chinese:SSB0073,0,10,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4639,0.9979,31.19
timbrewm,5,chinese:SSB0073,0,10,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.5474,0.9976,32.46
timbrewm,5,chinese:SSB0080,0,11,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4324,0.9955,30.87
timbrewm,5,chinese:SSB0080,0,11,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.2092,0.9965,30.29
timbrewm,5,chinese:SSB0080,0,11,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5288,0.9960,32.65
timbrewm,5,chinese:SSB0080,0,11,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.8000,4.1538,0.9920,27.90
timbrewm,5,chinese:SSB0080,0,11,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4294,0.9942,30.94
timbrewm,5,chinese:SSB0080,0,11,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.0681,0.9890,27.45
timbrewm,5,chinese:SSB0080,0,11,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.0714,0.9888,27.44
timbrewm,5,chinese:SSB0080,0,11,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.1720,0.9936,28.78
timbrewm,5,chinese:SSB0112,0,12,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.5733,0.9966,28.77
timbrewm,5,chinese:SSB0112,0,12,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5149,0.9942,26.32
timbrewm,5,chinese:SSB0112,0,12,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5967,0.9975,30.34
timbrewm,5,chinese:SSB0112,0,12,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5149,0.9942,26.32
timbrewm,5,chinese:SSB0112,0,12,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.5006,0.9965,28.55
timbrewm,5,chinese:SSB0112,0,12,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.3367,0.9951,25.44
timbrewm,5,chinese:SSB0112,0,12,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.3413,0.9950,25.40
timbrewm,5,chinese:SSB0112,0,12,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5149,0.9942,26.32
timbrewm,5,chinese:SSB0122,0,13,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5511,0.9987,34.10
timbrewm,5,chinese:SSB0122,0,13,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4946,0.9982,32.16
timbrewm,5,chinese:SSB0122,0,13,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4946,0.9982,32.16
timbrewm,5,chinese:SSB0122,0,13,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4946,0.9982,32.16
timbrewm,5,chinese:SSB0122,0,13,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5555,0.9987,34.02
timbrewm,5,chinese:SSB0122,0,13,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.4289,0.9980,30.44
timbrewm,5,chinese:SSB0122,0,13,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.4301,0.9980,30.41
timbrewm,5,chinese:SSB0122,0,13,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4884,0.9979,31.74
timbrewm,5,chinese:SSB0133,0,14,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4936,0.9942,29.05
timbrewm,5,chinese:SSB0133,0,14,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5621,0.9966,31.23
timbrewm,5,chinese:SSB0133,0,14,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.3092,0.9892,26.09
timbrewm,5,chinese:SSB0133,0,14,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.3092,0.9892,26.09
timbrewm,5,chinese:SSB0133,0,14,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.4443,0.9933,28.43
timbrewm,5,chinese:SSB0133,0,14,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.3836,0.9926,26.68
timbrewm,5,chinese:SSB0133,0,14,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.3759,0.9929,26.66
timbrewm,5,chinese:SSB0133,0,14,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4851,0.9960,29.88
timbrewm,5,chinese:SSB0139,0,15,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5915,0.9990,35.39
timbrewm,5,chinese:SSB0139,0,15,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5356,0.9984,33.55
timbrewm,5,chinese:SSB0139,0,15,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.4186,0.9973,30.96
timbrewm,5,chinese:SSB0139,0,15,eep,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.5174,0.9982,32.88
timbrewm,5,chinese:SSB0139,0,15,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.4610,0.9990,35.17
timbrewm,5,chinese:SSB0139,0,15,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.3525,0.9986,31.90
timbrewm,5,chinese:SSB0139,0,15,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.3482,0.9986,31.88
timbrewm,5,chinese:SSB0139,0,15,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.5506,0.9987,34.01
timbrewm,5,chinese:SSB0145,0,16,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4832,0.9975,29.83
timbrewm,5,chinese:SSB0145,0,16,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.3877,0.9958,27.23
timbrewm,5,chinese:SSB0145,0,16,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.3877,0.9958,27.23
timbrewm,5,chinese:SSB0145,0,16,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4998,0.9985,31.71
timbrewm,5,chinese:SSB0145,0,16,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.4541,0.9972,29.28
timbrewm,5,chinese:SSB0145,0,16,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.4436,0.9970,27.68
timbrewm,5,chinese:SSB0145,0,16,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.4394,0.9969,27.66
timbrewm,5,chinese:SSB0145,0,16,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.4400,0.9966,28.49
timbrewm,5,chinese:SSB0149,0,17,mean,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.4666,0.9971,32.36
timbrewm,5,chinese:SSB0149,0,17,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.2200,0.9949,29.08
timbrewm,5,chinese:SSB0149,0,17,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.3640,0.9985,33.71
timbrewm,5,chinese:SSB0149,0,17,eep,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.3631,0.9946,29.73
timbrewm,5,chinese:SSB0149,0,17,median,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.3880,0.9966,32.06
timbrewm,5,chinese:SSB0149,0,17,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.1995,0.9959,28.72
timbrewm,5,chinese:SSB0149,0,17,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.2011,0.9956,28.74
timbrewm,5,chinese:SSB0149,0,17,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.2230,0.9949,29.16
timbrewm,5,chinese:SSB0193,0,18,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5130,0.9937,27.19
timbrewm,5,chinese:SSB0193,0,18,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.4483,0.9961,28.86
timbrewm,5,chinese:SSB0193,0,18,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.3612,0.9880,24.59
timbrewm,5,chinese:SSB0193,0,18,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5259,0.9965,29.73
timbrewm,5,chinese:SSB0193,0,18,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.3869,0.9929,26.58
timbrewm,5,chinese:SSB0193,0,18,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.1993,0.9902,25.07
timbrewm,5,chinese:SSB0193,0,18,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.2096,0.9909,25.07
timbrewm,5,chinese:SSB0193,0,18,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.4483,0.9961,28.86
timbrewm,5,chinese:SSB0197,0,19,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.4697,0.9908,24.18
timbrewm,5,chinese:SSB0197,0,19,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4013,0.9934,25.94
timbrewm,5,chinese:SSB0197,0,19,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.3679,0.9847,21.88
timbrewm,5,chinese:SSB0197,0,19,eep,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.1663,0.9824,21.32
timbrewm,5,chinese:SSB0197,0,19,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.3391,0.9884,23.48
timbrewm,5,chinese:SSB0197,0,19,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.2025,0.9858,22.21
timbrewm,5,chinese:SSB0197,0,19,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.2124,0.9859,22.22
timbrewm,5,chinese:SSB0197,0,19,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4021,0.9929,25.49
timbrewm,5,chinese:SSB0200,0,20,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5129,0.9970,28.53
timbrewm,5,chinese:SSB0200,0,20,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.4188,0.9948,26.05
timbrewm,5,chinese:SSB0200,0,20,rp,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.5648,0.9982,31.11
timbrewm,5,chinese:SSB0200,0,20,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.3269,0.9945,26.14
timbrewm,5,chinese:SSB0200,0,20,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.3964,0.9967,28.28
timbrewm,5,chinese:SSB0200,0,20,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.3101,0.9951,25.44
