model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
wmcodec,5,chinese:SSB0011,1,7,eep,1,,-18.9823,-17.5728,4.2490,0.9876,18.19,0.5001,-0.0672,-11.9873,-11.9870
wmcodec,5,chinese:SSB0011,1,7,fwp,1,,-18.9823,-17.5728,4.2490,0.9876,18.19,0.5001,-0.0672,-11.9873,-11.9870
wmcodec,5,chinese:SSB0011,1,7,dm,1,,-28.5205,-27.9107,4.1441,0.9828,16.84,0.5001,-0.0672,-11.9873,-11.9870
wmcodec,5,chinese:SSB0011,1,7,tct,1,,-12.6108,-11.9873,4.1359,0.9820,16.43,0.5001,-0.0672,-11.9873,-11.9870
wmcodec,5,chinese:SSB0011,1,7,payload_farthest,1,,-10.0798,-9.8751,4.3724,0.9899,18.96,0.5001,-0.0672,-11.9873,-11.9870
wmcodec,5,chinese:SSB0011,2,8,single_copy,1,,-5.5233,-5.4920,4.6439,1.0000,140.68,-0.2408,-0.2803,-12.6347,-12.6347
wmcodec,5,chinese:SSB0011,2,8,mean,1,,-3.6629,-2.2226,4.1664,0.9816,16.63,-0.2408,-0.2803,-12.6347,-12.6347
wmcodec,5,chinese:SSB0011,2,8,rp,1,,-15.4707,-15.4156,3.7875,0.9730,14.09,-0.2408,-0.2803,-12.6347,-12.6347
wmcodec,5,chinese:SSB0011,2,8,random_dirichlet,1,,-6.8973,-6.6777,4.1263,0.9805,16.04,-0.2408,-0.2803,-12.6347,-12.6347
wmcodec,5,chinese:SSB0011,2,8,eep,1,,-11.9845,-11.3927,3.9186,0.9747,13.89,-0.2408,-0.2803,-12.6347,-12.6347
wmcodec,5,chinese:SSB0011,2,8,fwp,1,,-25.5566,-25.5414,3.9124,0.9727,13.76,-0.2408,-0.2803,-12.6347,-12.6347
wmcodec,5,chinese:SSB0011,2,8,dm,1,,-10.4359,-9.9619,4.1993,0.9821,16.77,-0.2408,-0.2803,-12.6347,-12.6347
wmcodec,5,chinese:SSB0011,2,8,tct,1,,-13.7989,-12.6347,3.9715,0.9739,14.22,-0.2408,-0.2803,-12.6347,-12.6347
wmcodec,5,chinese:SSB0011,2,8,payload_farthest,1,,-19.1379,-18.8967,4.0082,0.9735,14.15,-0.2408,-0.2803,-12.6347,-12.6347
wmcodec,5,chinese:SSB0012,0,9,single_copy,1,,-8.2989,-8.2905,4.6439,1.0000,145.73,0.0711,-0.7567,-12.2311,-12.2313
wmcodec,5,chinese:SSB0012,0,9,mean,1,,-21.3699,-21.2342,4.2504,0.9832,13.97,0.0711,-0.7567,-12.2311,-12.2313
