model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
voicemark,3,chinese:SSB0273,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_03.wav,3,5,77,mean,1,1,1,10,0.6250,0.388889,4.4016,0.9856,17.52
voicemark,3,chinese:SSB0287,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_01.wav,3,4,78,mean,1,1,1,13,0.8125,0.277778,4.3260,0.9788,13.59
voicemark,3,chinese:SSB0287,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_02.wav,3,5,79,mean,1,1,1,10,0.6250,0.444444,4.2477,0.9704,16.37
voicemark,3,chinese:SSB0287,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_03.wav,3,3,80,mean,1,1,1,12,0.7500,0.333333,4.2693,0.9746,9.90
voicemark,3,chinese:SSB0288,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_01.wav,3,3,81,mean,1,1,1,10,0.6250,0.277778,4.3845,0.9850,19.87
voicemark,3,chinese:SSB0288,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_02.wav,3,3,82,mean,1,1,1,9,0.5625,0.333333,4.3000,0.9767,17.46
voicemark,3,chinese:SSB0288,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_03.wav,3,4,83,mean,1,1,1,13,0.8125,0.388889,4.2413,0.9688,15.67
voicemark,3,chinese:SSB0299,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_01.wav,3,3,84,mean,1,1,1,11,0.6875,0.277778,3.6431,0.9717,15.50
voicemark,3,chinese:SSB0299,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_02.wav,3,3,85,mean,1,1,1,11,0.6875,0.333333,3.8266,0.9658,16.31
voicemark,3,chinese:SSB0299,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_03.wav,3,3,86,mean,1,1,1,12,0.7500,0.277778,4.2973,0.9787,16.56
voicemark,3,chinese:SSB0307,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_01.wav,3,3,87,mean,1,1,1,11,0.6875,0.222222,4.3630,0.9769,18.83
voicemark,3,chinese:SSB0307,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_02.wav,3,3,88,mean,1,1,1,13,0.8125,0.222222,4.1175,0.9657,17.13
voicemark,3,chinese:SSB0307,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_03.wav,3,4,89,mean,1,1,1,12,0.7500,0.111111,4.3664,0.9723,17.81
voicemark,3,chinese:SSB0309,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_01.wav,3,3,90,mean,1,1,1,10,0.6250,0.222222,4.1439,0.9820,14.54
voicemark,3,chinese:SSB0309,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_02.wav,3,3,91,mean,1,1,1,11,0.6875,0.333333,4.2714,0.9798,15.01
voicemark,3,chinese:SSB0309,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_03.wav,3,3,92,mean,1,1,1,11,0.6875,0.333333,4.2131,0.9805,13.88
voicemark,3,chinese:SSB0315,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_01.wav,3,3,93,mean,1,1,1,15,0.9375,0.555556,4.1740,0.9751,14.53
voicemark,3,chinese:SSB0315,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_02.wav,3,3,94,mean,1,1,1,10,0.6250,0.222222,3.7243,0.9717,13.08
voicemark,3,chinese:SSB0315,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_03.wav,3,3,95,mean,1,1,1,12,0.7500,0.277778,4.1771,0.9813,13.83
