model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,2,chinese:SSB0043,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,2,2,25,mean,1,1,1,9,0.5625,0.437500,4.1034,0.9832,17.39
wmcodec,2,chinese:SSB0043,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,2,3,26,mean,1,1,1,8,0.5000,0.562500,4.2244,0.9844,17.91
wmcodec,2,chinese:SSB0057,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,2,4,27,mean,1,1,1,11,0.6875,0.312500,4.4466,0.9892,18.47
wmcodec,2,chinese:SSB0057,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,2,2,28,mean,1,1,1,11,0.6875,0.562500,4.4929,0.9932,18.42
wmcodec,2,chinese:SSB0057,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,2,3,29,mean,1,1,1,12,0.7500,0.187500,4.3675,0.9920,18.90
wmcodec,2,chinese:SSB0073,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,2,3,30,mean,1,1,1,11,0.6875,0.500000,4.3723,0.9889,16.71
wmcodec,2,chinese:SSB0073,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,2,3,31,mean,1,1,1,11,0.6875,0.625000,4.3659,0.9913,18.81
wmcodec,2,chinese:SSB0073,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,2,3,32,mean,1,1,1,11,0.6875,0.625000,4.3910,0.9895,16.73
wmcodec,2,chinese:SSB0080,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,2,2,33,mean,1,1,1,8,0.5000,0.437500,4.3468,0.9892,18.27
wmcodec,2,chinese:SSB0080,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,2,4,34,mean,1,1,1,11,0.6875,0.500000,4.1428,0.9905,19.36
wmcodec,2,chinese:SSB0080,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,2,5,35,mean,1,1,1,11,0.6875,0.312500,4.4970,0.9928,18.12
wmcodec,2,chinese:SSB0112,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,2,5,36,mean,1,1,1,14,0.8750,0.562500,4.5269,0.9930,17.57
wmcodec,2,chinese:SSB0112,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,2,2,37,mean,1,1,1,12,0.7500,0.562500,4.4491,0.9921,16.45
wmcodec,2,chinese:SSB0112,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,2,2,38,mean,1,1,1,13,0.8125,0.562500,4.5023,0.9929,18.47
wmcodec,2,chinese:SSB0122,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,2,7,39,mean,1,1,1,12,0.7500,0.812500,4.4340,0.9912,16.85
wmcodec,2,chinese:SSB0122,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,2,3,40,mean,1,1,1,11,0.6875,0.312500,4.5305,0.9947,20.37
wmcodec,2,chinese:SSB0122,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_03.wav,2,6,41,mean,1,1,1,11,0.6875,0.375000,4.3078,0.9934,19.39
wmcodec,2,chinese:SSB0133,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_01.wav,2,2,42,mean,1,1,1,13,0.8125,0.625000,4.3144,0.9901,18.30
wmcodec,2,chinese:SSB0133,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_02.wav,2,8,43,mean,1,1,1,9,0.5625,0.500000,4.3151,0.9883,18.27
wmcodec,2,chinese:SSB0133,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_03.wav,2,6,44,mean,1,1,1,14,0.8750,0.312500,4.4300,0.9921,19.82
wmcodec,2,chinese:SSB0139,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_01.wav,2,4,45,mean,1,1,1,13,0.8125,0.312500,4.5196,0.9953,19.39
wmcodec,2,chinese:SSB0139,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_02.wav,2,2,46,mean,1,1,1,10,0.6250,0.625000,4.4662,0.9955,19.64
wmcodec,2,chinese:SSB0139,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_03.wav,2,5,47,mean,1,1,1,12,0.7500,0.562500,4.4513,0.9946,18.86
wmcodec,2,chinese:SSB0145,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_01.wav,2,10,48,mean,1,1,1,14,0.8750,0.812500,4.4375,0.9920,17.45
wmcodec,2,chinese:SSB0145,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_02.wav,2,5,49,mean,1,1,1,9,0.5625,0.437500,4.3205,0.9909,17.83
wmcodec,2,chinese:SSB0145,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_03.wav,2,4,50,mean,1,1,1,13,0.8125,0.250000,4.4611,0.9923,16.88
wmcodec,2,chinese:SSB0149,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_01.wav,2,4,51,mean,1,1,1,10,0.6250,0.250000,4.4143,0.9918,15.12
wmcodec,2,chinese:SSB0149,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_02.wav,2,5,52,mean,1,1,1,10,0.6250,0.437500,4.4161,0.9900,15.86
