model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,3,chinese:SSB0193,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_03.wav,3,3,56,mean,1,1,1,14,0.8750,0.444444,4.5986,0.9999,34.53
audioseal,3,chinese:SSB0197,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_01.wav,3,3,57,mean,1,1,1,14,0.8750,0.333333,4.5570,0.9945,29.45
audioseal,3,chinese:SSB0197,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_02.wav,3,3,58,mean,1,1,1,14,0.8750,0.500000,4.5583,0.9955,30.83
audioseal,3,chinese:SSB0197,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_03.wav,3,3,59,mean,1,1,1,15,0.9375,0.388889,4.5730,0.9891,29.52
audioseal,3,chinese:SSB0200,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_01.wav,3,3,60,mean,1,1,1,15,0.9375,0.555556,4.5991,0.9997,33.17
audioseal,3,chinese:SSB0200,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_02.wav,3,3,61,mean,1,1,1,14,0.8750,0.444444,4.5778,0.9994,30.70
audioseal,3,chinese:SSB0200,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_03.wav,3,3,62,mean,1,0,0,15,0.9375,0.444444,4.5660,0.9988,29.71
audioseal,3,chinese:SSB0241,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_01.wav,3,3,63,mean,1,0,0,15,0.9375,0.500000,4.6164,0.9998,39.24
audioseal,3,chinese:SSB0241,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_02.wav,3,3,64,mean,1,1,1,14,0.8750,0.166667,4.5858,0.9996,29.27
audioseal,3,chinese:SSB0241,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_03.wav,3,3,65,mean,1,1,1,14,0.8750,0.555556,4.6225,0.9999,41.93
audioseal,3,chinese:SSB0246,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_01.wav,3,3,66,mean,1,1,1,12,0.7500,0.277778,4.5565,0.9989,33.29
audioseal,3,chinese:SSB0246,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_02.wav,3,3,67,mean,1,1,1,14,0.8750,0.500000,4.6090,0.9996,34.05
