model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,2,chinese:SSB0200,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_02.wav,2,2,61,mean,1,1,1,14,0.8750,0.562500,4.5294,0.9992,40.71
wavmark,2,chinese:SSB0200,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_03.wav,2,2,62,mean,1,1,1,13,0.8125,0.375000,4.5465,0.9978,41.36
wavmark,2,chinese:SSB0241,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_01.wav,2,2,63,mean,1,1,1,14,0.8750,0.562500,4.5364,0.9999,44.77
wavmark,2,chinese:SSB0241,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_02.wav,2,2,64,mean,1,1,1,15,0.9375,0.562500,4.5783,1.0000,45.63
wavmark,2,chinese:SSB0241,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_03.wav,2,2,65,mean,1,1,1,14,0.8750,0.562500,4.5128,0.9999,45.44
wavmark,2,chinese:SSB0246,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_01.wav,2,2,66,mean,1,1,1,14,0.8750,0.625000,4.5680,0.9996,44.86
wavmark,2,chinese:SSB0246,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_02.wav,2,2,67,mean,1,1,1,11,0.6875,0.312500,4.5791,0.9992,43.25
wavmark,2,chinese:SSB0246,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_03.wav,2,2,68,mean,1,1,1,14,0.8750,0.437500,4.5886,0.9994,42.89
wavmark,2,chinese:SSB0261,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_01.wav,2,2,69,mean,1,1,1,13,0.8125,0.375000,4.4957,0.9998,42.72
wavmark,2,chinese:SSB0261,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_02.wav,2,2,70,mean,1,1,1,12,0.7500,0.437500,4.5513,0.9999,44.63
wavmark,2,chinese:SSB0261,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_03.wav,2,2,71,mean,1,1,1,14,0.8750,0.500000,4.5461,0.9998,42.98
wavmark,2,chinese:SSB0267,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_01.wav,2,2,72,mean,1,1,1,13,0.8125,0.375000,4.5759,0.9997,42.61
wavmark,2,chinese:SSB0267,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_02.wav,2,2,73,mean,1,1,1,12,0.7500,0.437500,4.5856,0.9996,41.81
wavmark,2,chinese:SSB0267,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_03.wav,2,2,74,mean,0,0,0,16,1.0000,0.687500,4.5873,0.9998,44.83
wavmark,2,chinese:SSB0273,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_01.wav,2,2,75,mean,1,1,1,14,0.8750,0.500000,4.4660,0.9997,45.91
wavmark,2,chinese:SSB0273,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_02.wav,2,2,76,mean,1,1,1,12,0.7500,0.437500,4.5332,0.9997,45.90
wavmark,2,chinese:SSB0273,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_03.wav,2,2,77,mean,1,1,1,13,0.8125,0.500000,4.5386,0.9997,45.91
wavmark,2,chinese:SSB0287,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_01.wav,2,2,78,mean,1,1,1,15,0.9375,0.750000,4.5836,0.9999,48.89
wavmark,2,chinese:SSB0287,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_02.wav,2,2,79,mean,1,1,1,11,0.6875,0.375000,4.5466,0.9995,43.43
wavmark,2,chinese:SSB0287,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_03.wav,2,2,80,mean,1,1,1,13,0.8125,0.437500,4.5470,0.9997,43.71
wavmark,2,chinese:SSB0288,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_01.wav,2,2,81,mean,1,1,1,12,0.7500,0.437500,4.5565,0.9958,44.12
wavmark,2,chinese:SSB0288,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_02.wav,2,2,82,mean,1,1,1,13,0.8125,0.562500,4.5968,0.9989,45.25
wavmark,2,chinese:SSB0288,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_03.wav,2,2,83,mean,1,1,1,11,0.6875,0.312500,4.5602,0.9973,43.06
wavmark,2,chinese:SSB0299,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_01.wav,2,2,84,mean,1,1,1,13,0.8125,0.562500,4.5529,0.9999,43.72
wavmark,2,chinese:SSB0299,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_02.wav,2,2,85,mean,1,1,1,14,0.8750,0.312500,4.3764,0.9963,41.32
wavmark,2,chinese:SSB0299,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_03.wav,2,2,86,mean,1,1,1,13,0.8125,0.437500,4.5116,0.9965,42.70
wavmark,2,chinese:SSB0307,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_01.wav,2,2,87,mean,1,1,1,13,0.8125,0.562500,4.5172,0.9972,39.38
wavmark,2,chinese:SSB0307,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_02.wav,2,2,88,mean,1,1,1,15,0.9375,0.562500,4.5635,0.9976,40.47
wavmark,2,chinese:SSB0307,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_03.wav,2,2,89,mean,1,1,1,9,0.5625,0.062500,4.3627,0.9980,37.66
wavmark,2,chinese:SSB0309,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_01.wav,2,2,90,mean,1,1,1,12,0.7500,0.375000,4.5824,0.9979,44.76
wavmark,2,chinese:SSB0309,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_02.wav,2,2,91,mean,1,1,1,12,0.7500,0.437500,4.5217,0.9984,44.18
