model,k,trial_id,condition,decoded_payload,bit_count,minimum_confidence,weakest_bit_index,source_path,target_rank,confidence_source
voicemark,8,224,single,63735,16,0.9999766946,14,dataset/collusion_300/english/1624/english_1624_03.wav,,native decoder bit marginal
voicemark,8,224,average,28784,16,0.4825164676,3,dataset/collusion_300/english/1624/english_1624_03.wav,,native decoder bit marginal
voicemark,8,225,single,3083,16,0.8587298393,10,dataset/collusion_300/english/163/english_163_01.wav,,native decoder bit marginal
voicemark,8,225,average,37159,16,0.6495007277,8,dataset/collusion_300/english/163/english_163_01.wav,,native decoder bit marginal
voicemark,8,226,single,14289,16,0.9966966377,11,dataset/collusion_300/english/163/english_163_02.wav,,native decoder bit marginal
voicemark,8,226,average,52486,16,0.5229578614,12,dataset/collusion_300/english/163/english_163_02.wav,,native decoder bit marginal
voicemark,8,227,single,5042,16,0.9677871838,10,dataset/collusion_300/english/163/english_163_03.wav,,native decoder bit marginal
voicemark,8,227,targeted,61674,16,0.9966928363,12,dataset/collusion_300/english/163/english_163_03.wav,1,native decoder bit marginal
voicemark,8,227,average,53000,16,0.6934899390,5,dataset/collusion_300/english/163/english_163_03.wav,,native decoder bit marginal
voicemark,8,228,single,62792,16,0.8853743076,7,dataset/collusion_300/english/1723/english_1723_01.wav,,native decoder bit marginal
voicemark,8,228,average,44015,16,0.5522684455,15,dataset/collusion_300/english/1723/english_1723_01.wav,,native decoder bit marginal
voicemark,8,229,single,59410,16,0.7391358316,9,dataset/collusion_300/english/1723/english_1723_02.wav,,native decoder bit marginal
voicemark,8,229,average,57393,16,0.9249603376,12,dataset/collusion_300/english/1723/english_1723_02.wav,,native decoder bit marginal
voicemark,8,230,single,21249,16,0.9994236827,9,dataset/collusion_300/english/1723/english_1723_03.wav,,native decoder bit marginal
voicemark,8,230,average,4897,16,0.5883837938,5,dataset/collusion_300/english/1723/english_1723_03.wav,,native decoder bit marginal
voicemark,8,231,single,55799,16,0.9978599548,0,dataset/collusion_300/english/1737/english_1737_01.wav,,native decoder bit marginal
voicemark,8,231,average,38896,16,0.5943022370,10,dataset/collusion_300/english/1737/english_1737_01.wav,,native decoder bit marginal
voicemark,8,232,single,8408,16,0.9965136447,9,dataset/collusion_300/english/1737/english_1737_02.wav,,native decoder bit marginal
voicemark,8,232,average,12355,16,0.6976414919,1,dataset/collusion_300/english/1737/english_1737_02.wav,,native decoder bit marginal
voicemark,8,233,single,8891,16,0.9916560836,8,dataset/collusion_300/english/1737/english_1737_03.wav,,native decoder bit marginal
voicemark,8,233,average,981,16,0.9987765119,12,dataset/collusion_300/english/1737/english_1737_03.wav,,native decoder bit marginal
voicemark,8,234,single,2152,16,0.9452762865,9,dataset/collusion_300/english/1743/english_1743_01.wav,,native decoder bit marginal
voicemark,8,234,average,39728,16,0.9114784598,15,dataset/collusion_300/english/1743/english_1743_01.wav,,native decoder bit marginal
voicemark,8,235,single,39090,16,0.9986516404,9,dataset/collusion_300/english/1743/english_1743_02.wav,,native decoder bit marginal
voicemark,8,235,average,64407,16,0.7332440913,5,dataset/collusion_300/english/1743/english_1743_02.wav,,native decoder bit marginal
voicemark,8,236,single,31560,16,0.9994619605,10,dataset/collusion_300/english/1743/english_1743_03.wav,,native decoder bit marginal
voicemark,8,236,average,47927,16,0.3725888133,14,dataset/collusion_300/english/1743/english_1743_03.wav,,native decoder bit marginal
voicemark,8,237,single,30277,16,0.9958469723,7,dataset/collusion_300/english/1841/english_1841_01.wav,,native decoder bit marginal
voicemark,8,237,average,36799,16,0.9847466089,12,dataset/collusion_300/english/1841/english_1841_01.wav,,native decoder bit marginal
voicemark,8,238,single,9946,16,0.9278762043,0,dataset/collusion_300/english/1841/english_1841_02.wav,,native decoder bit marginal
voicemark,8,238,average,52541,16,0.8858583570,5,dataset/collusion_300/english/1841/english_1841_02.wav,,native decoder bit marginal
voicemark,8,239,single,22218,16,0.9157334268,0,dataset/collusion_300/english/1841/english_1841_03.wav,,native decoder bit marginal
voicemark,8,239,average,32555,16,0.7449023128,3,dataset/collusion_300/english/1841/english_1841_03.wav,,native decoder bit marginal
voicemark,8,240,single,35540,16,0.9995801671,10,dataset/collusion_300/english/1867/english_1867_01.wav,,native decoder bit marginal
voicemark,8,240,average,63287,16,0.6752848029,4,dataset/collusion_300/english/1867/english_1867_01.wav,,native decoder bit marginal
voicemark,8,241,single,58293,16,0.9994127750,9,dataset/collusion_300/english/1867/english_1867_02.wav,,native decoder bit marginal
voicemark,8,241,average,33655,16,0.5244731009,12,dataset/collusion_300/english/1867/english_1867_02.wav,,native decoder bit marginal
voicemark,8,242,single,34874,16,0.9316334128,5,dataset/collusion_300/english/1867/english_1867_03.wav,,native decoder bit marginal
voicemark,8,242,average,19271,16,0.7721617073,15,dataset/collusion_300/english/1867/english_1867_03.wav,,native decoder bit marginal
voicemark,8,243,single,13944,16,0.9413797855,9,dataset/collusion_300/english/1898/english_1898_01.wav,,native decoder bit marginal
voicemark,8,243,average,39890,16,0.7115991414,14,dataset/collusion_300/english/1898/english_1898_01.wav,,native decoder bit marginal
voicemark,8,244,single,63584,16,0.9986546636,13,dataset/collusion_300/english/1898/english_1898_02.wav,,native decoder bit marginal
voicemark,8,244,average,52034,16,0.9397886693,7,dataset/collusion_300/english/1898/english_1898_02.wav,,native decoder bit marginal
voicemark,8,245,single,2849,16,0.9999875426,5,dataset/collusion_300/english/1898/english_1898_03.wav,,native decoder bit marginal
voicemark,8,245,average,31543,16,0.8043678403,2,dataset/collusion_300/english/1898/english_1898_03.wav,,native decoder bit marginal
voicemark,8,246,single,39266,16,0.9987831635,9,dataset/collusion_300/english/19/english_19_01.wav,,native decoder bit marginal
voicemark,8,246,average,7000,16,0.7757520080,3,dataset/collusion_300/english/19/english_19_01.wav,,native decoder bit marginal
voicemark,8,247,single,41450,16,0.6452340484,3,dataset/collusion_300/english/19/english_19_02.wav,,native decoder bit marginal
