model,K,trial_id,condition,identity,nbits,min_bit_confidence,weakest_bit,source_path,target_rank,confidence_kind
audioseal,8,17,uniform_collusion,55298,16,0.5021182299,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,,native decoder bit marginal
audioseal,8,18,benign_copy,36240,16,0.7418002486,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,,native decoder bit marginal
audioseal,8,18,successful_mrc,40913,16,0.5346708894,10,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,1,native decoder bit marginal
audioseal,8,18,uniform_collusion,25485,16,0.5073091388,11,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,,native decoder bit marginal
audioseal,8,19,benign_copy,11410,16,0.7228820622,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,,native decoder bit marginal
audioseal,8,19,successful_mrc,60594,16,0.5675311089,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,3,native decoder bit marginal
audioseal,8,19,uniform_collusion,63024,16,0.5203871131,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,,native decoder bit marginal
audioseal,8,20,benign_copy,14714,16,0.7208670676,14,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,,native decoder bit marginal
audioseal,8,20,successful_mrc,33736,16,0.6424508095,6,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,1,native decoder bit marginal
audioseal,8,20,uniform_collusion,19552,16,0.5243369937,13,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,,native decoder bit marginal
audioseal,8,21,benign_copy,54209,16,0.7341844141,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,,native decoder bit marginal
audioseal,8,21,successful_mrc,6964,16,0.5416122675,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,1,native decoder bit marginal
audioseal,8,21,uniform_collusion,20580,16,0.5031613708,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,,native decoder bit marginal
audioseal,8,22,benign_copy,40304,16,0.7286038995,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,,native decoder bit marginal
audioseal,8,22,successful_mrc,46241,16,0.6862299442,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,1,native decoder bit marginal
audioseal,8,22,uniform_collusion,22124,16,0.5521947742,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,,native decoder bit marginal
audioseal,8,23,benign_copy,9509,16,0.7171733379,12,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,,native decoder bit marginal
audioseal,8,23,successful_mrc,58756,16,0.6541951895,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,2,native decoder bit marginal
audioseal,8,23,uniform_collusion,52258,16,0.5067914724,11,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,,native decoder bit marginal
audioseal,8,24,benign_copy,46842,16,0.6844302416,13,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,,native decoder bit marginal
audioseal,8,24,successful_mrc,22708,16,0.5955674052,10,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,4,native decoder bit marginal
audioseal,8,24,uniform_collusion,23778,16,0.6396554708,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,,native decoder bit marginal
audioseal,8,25,benign_copy,11538,16,0.7325386107,14,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,,native decoder bit marginal
audioseal,8,25,successful_mrc,50020,16,0.6272597313,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,7,native decoder bit marginal
audioseal,8,25,uniform_collusion,62237,16,0.5126522779,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,,native decoder bit marginal
audioseal,8,26,benign_copy,39706,16,0.7365039885,14,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,,native decoder bit marginal
audioseal,8,26,successful_mrc,49184,16,0.6870083511,12,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,1,native decoder bit marginal
audioseal,8,26,uniform_collusion,23712,16,0.5261675715,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,,native decoder bit marginal
audioseal,8,27,benign_copy,47861,16,0.7253199220,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,,native decoder bit marginal
audioseal,8,27,successful_mrc,41589,16,0.5056920350,12,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,1,native decoder bit marginal
audioseal,8,27,uniform_collusion,26720,16,0.5840997100,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,,native decoder bit marginal
audioseal,8,28,benign_copy,25157,16,0.7203398645,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,,native decoder bit marginal
audioseal,8,28,successful_mrc,7248,16,0.5402750969,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,1,native decoder bit marginal
audioseal,8,28,uniform_collusion,64271,16,0.5301907957,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,,native decoder bit marginal
audioseal,8,29,benign_copy,57578,16,0.6947698593,13,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,,native decoder bit marginal
audioseal,8,29,successful_mrc,51460,16,0.5656034350,13,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,1,native decoder bit marginal
audioseal,8,29,uniform_collusion,49251,16,0.5323211849,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,,native decoder bit marginal
audioseal,8,30,benign_copy,28402,16,0.6868220568,13,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,,native decoder bit marginal
audioseal,8,30,successful_mrc,28336,16,0.5384843647,12,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,1,native decoder bit marginal
audioseal,8,30,uniform_collusion,31842,16,0.5388271809,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,,native decoder bit marginal
audioseal,8,31,benign_copy,5218,16,0.7370838821,14,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,,native decoder bit marginal
audioseal,8,31,successful_mrc,37930,16,0.6610299051,11,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,1,native decoder bit marginal
audioseal,8,31,uniform_collusion,48427,16,0.5168692470,11,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,,native decoder bit marginal
audioseal,8,32,benign_copy,35874,16,0.7133125961,12,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,,native decoder bit marginal
audioseal,8,32,successful_mrc,14864,16,0.6768078506,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,1,native decoder bit marginal
audioseal,8,32,uniform_collusion,47369,16,0.5441374779,12,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,,native decoder bit marginal
audioseal,8,33,benign_copy,14507,16,0.7214297652,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,,native decoder bit marginal
audioseal,8,33,successful_mrc,20898,16,0.6813687682,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,1,native decoder bit marginal
audioseal,8,33,uniform_collusion,61581,16,0.5391540527,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,,native decoder bit marginal
audioseal,8,34,benign_copy,51460,16,0.7227944732,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,,native decoder bit marginal
audioseal,8,34,successful_mrc,55403,16,0.5328397453,13,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,1,native decoder bit marginal
audioseal,8,34,uniform_collusion,63591,16,0.5251967907,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,,native decoder bit marginal
audioseal,8,35,benign_copy,980,16,0.7194887698,12,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,,native decoder bit marginal
audioseal,8,35,successful_mrc,53029,16,0.5668784678,13,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,1,native decoder bit marginal
audioseal,8,35,uniform_collusion,29461,16,0.5063926578,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,,native decoder bit marginal
