model,k,trial_id,condition,decoded_payload,bit_count,minimum_confidence,weakest_bit_index,source_path,target_rank,confidence_source
timbrewm,8,45,single,192,10,0.6855555773,3,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_01.wav,,native decoder bit marginal
timbrewm,8,45,targeted,559,10,0.5526166260,7,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_01.wav,1,native decoder bit marginal
timbrewm,8,45,average,749,10,0.5052539706,7,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_01.wav,,native decoder bit marginal
timbrewm,8,46,single,631,10,0.6715737283,3,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_02.wav,,native decoder bit marginal
timbrewm,8,46,targeted,188,10,0.5662922263,5,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_02.wav,1,native decoder bit marginal
timbrewm,8,46,average,412,10,0.5065098703,0,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_02.wav,,native decoder bit marginal
timbrewm,8,47,single,466,10,0.6693849564,1,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_03.wav,,native decoder bit marginal
timbrewm,8,47,targeted,502,10,0.5849926472,8,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_03.wav,1,native decoder bit marginal
timbrewm,8,47,average,975,10,0.5147548318,4,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_03.wav,,native decoder bit marginal
timbrewm,8,48,single,29,10,0.6668591499,7,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_01.wav,,native decoder bit marginal
timbrewm,8,48,targeted,44,10,0.5846409500,7,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_01.wav,1,native decoder bit marginal
timbrewm,8,48,average,60,10,0.5347708762,8,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_01.wav,,native decoder bit marginal
timbrewm,8,49,single,384,10,0.6803144217,3,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_02.wav,,native decoder bit marginal
timbrewm,8,49,targeted,484,10,0.5395861268,3,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_02.wav,1,native decoder bit marginal
timbrewm,8,49,average,498,10,0.5113007426,3,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_02.wav,,native decoder bit marginal
timbrewm,8,50,single,991,10,0.6764302254,1,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_03.wav,,native decoder bit marginal
timbrewm,8,50,targeted,974,10,0.5657610297,1,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_03.wav,1,native decoder bit marginal
timbrewm,8,50,average,392,10,0.5147238970,2,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_03.wav,,native decoder bit marginal
timbrewm,8,51,single,856,10,0.6933105588,4,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_01.wav,,native decoder bit marginal
timbrewm,8,51,targeted,661,10,0.5738260150,2,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_01.wav,1,native decoder bit marginal
timbrewm,8,51,average,918,10,0.5066911578,8,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_01.wav,,native decoder bit marginal
timbrewm,8,52,single,854,10,0.6718593240,1,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_02.wav,,native decoder bit marginal
timbrewm,8,52,targeted,786,10,0.5598651171,4,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_02.wav,1,native decoder bit marginal
timbrewm,8,52,average,981,10,0.5050386786,0,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_02.wav,,native decoder bit marginal
timbrewm,8,53,single,333,10,0.6982224584,7,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_03.wav,,native decoder bit marginal
timbrewm,8,53,targeted,321,10,0.5595969856,3,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_03.wav,1,native decoder bit marginal
timbrewm,8,53,average,331,10,0.5007633865,5,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_03.wav,,native decoder bit marginal
timbrewm,8,54,single,638,10,0.6936646700,7,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_01.wav,,native decoder bit marginal
timbrewm,8,54,targeted,671,10,0.5820405483,4,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_01.wav,1,native decoder bit marginal
timbrewm,8,54,average,665,10,0.5063752532,7,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_01.wav,,native decoder bit marginal
timbrewm,8,55,single,952,10,0.7009983659,4,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_02.wav,,native decoder bit marginal
