model,k,trial_id,condition,decoded_payload,bit_count,minimum_confidence,weakest_bit_index,source_path,target_rank,confidence_source
wavmark,8,19,targeted,58916,16,0.8444444444,11,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,1,valid-window vote fraction
wavmark,8,19,average,42737,16,0.6595744681,6,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,,valid-window vote fraction (proxy)
wavmark,8,20,single,14714,16,1.0000000000,0,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,,valid-window vote fraction
wavmark,8,20,targeted,47994,16,0.7916666667,7,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,2,valid-window vote fraction
wavmark,8,20,average,60918,16,0.5869565217,15,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,,valid-window vote fraction (proxy)
wavmark,8,21,single,54209,16,0.9772727273,13,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,,valid-window vote fraction
wavmark,8,21,targeted,6964,16,0.7234042553,10,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,1,valid-window vote fraction
wavmark,8,21,average,47997,16,0.5416666667,11,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,,valid-window vote fraction (proxy)
wavmark,8,22,single,40304,16,1.0000000000,0,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,,valid-window vote fraction
wavmark,8,22,targeted,46241,16,0.8478260870,8,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,1,valid-window vote fraction
wavmark,8,22,average,5740,16,0.5714285714,12,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,,valid-window vote fraction (proxy)
wavmark,8,23,single,9509,16,0.9148936170,13,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,,valid-window vote fraction
wavmark,8,23,targeted,58756,16,0.8478260870,12,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,2,valid-window vote fraction
wavmark,8,23,average,44971,16,0.7083333333,2,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,,valid-window vote fraction (proxy)
wavmark,8,24,single,46842,16,1.0000000000,0,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,,valid-window vote fraction
wavmark,8,24,targeted,31988,16,0.9090909091,8,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,1,valid-window vote fraction
wavmark,8,24,average,15831,16,0.5294117647,6,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,,valid-window vote fraction (proxy)
wavmark,8,25,single,11538,16,0.8666666667,7,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,,valid-window vote fraction
wavmark,8,25,targeted,50149,16,0.8979591837,11,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,1,valid-window vote fraction
wavmark,8,25,average,61373,16,0.5686274510,11,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,,valid-window vote fraction (proxy)
wavmark,8,26,single,39706,16,1.0000000000,0,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,,valid-window vote fraction
wavmark,8,26,targeted,49184,16,0.8888888889,4,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,1,valid-window vote fraction
wavmark,8,26,average,56474,16,0.7446808511,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,,valid-window vote fraction (proxy)
wavmark,8,27,single,47861,16,0.9772727273,8,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,,valid-window vote fraction
