model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,12,chinese:SSB0016,0,8,41529,0,-3.00000000,1.74612458
wavmark,12,chinese:SSB0016,0,8,48745,0,-6.00000000,2.00000000
wavmark,12,chinese:SSB0016,0,8,50778,0,-4.00000000,1.87689298
wavmark,12,chinese:SSB0016,0,8,51526,0,-7.00000000,1.92934808
wavmark,12,chinese:SSB0016,0,8,60296,0,-4.00000000,1.62231318
wavmark,13,chinese:SSB0016,1,8,274,0,-3.00000000,1.64625178
wavmark,13,chinese:SSB0016,1,8,867,0,-5.00000000,1.82613361
wavmark,13,chinese:SSB0016,1,8,8104,0,-7.00000000,1.84982598
wavmark,13,chinese:SSB0016,1,8,9151,0,-5.00000000,2.00261837
wavmark,13,chinese:SSB0016,1,8,34237,0,-4.00000000,1.83916632
wavmark,13,chinese:SSB0016,1,8,42970,0,-8.00000000,2.24971654
wavmark,13,chinese:SSB0016,1,8,55866,0,-6.00000000,1.70659160
wavmark,13,chinese:SSB0016,1,8,56807,0,-5.00000000,1.69852878
wavmark,13,chinese:SSB0016,1,8,58732,0,-8.00000000,2.12933818
wavmark,13,chinese:SSB0016,1,8,62570,0,-7.00000000,1.85798652
wavmark,14,chinese:SSB0016,2,8,2232,0,-5.00000000,1.64768809
wavmark,14,chinese:SSB0016,2,8,6989,0,-5.00000000,1.91016898
wavmark,14,chinese:SSB0016,2,8,13077,0,-4.00000000,1.47901995
wavmark,14,chinese:SSB0016,2,8,19889,0,-7.00000000,1.87945300
wavmark,14,chinese:SSB0016,2,8,27848,0,-5.00000000,1.89110317
wavmark,14,chinese:SSB0016,2,8,48562,0,-2.00000000,1.38720017
wavmark,14,chinese:SSB0016,2,8,52829,0,-7.00000000,2.23586597
wavmark,14,chinese:SSB0016,2,8,56402,0,-5.00000000,1.82179003
wavmark,14,chinese:SSB0016,2,8,58680,0,-8.00000000,2.12777638
wavmark,14,chinese:SSB0016,2,8,62939,0,-6.00000000,1.98215903
wavmark,15,chinese:SSB0018,0,8,4458,0,-7.00000000,1.69364136
wavmark,15,chinese:SSB0018,0,8,6248,0,-4.00000000,1.52938920
wavmark,15,chinese:SSB0018,0,8,6501,0,-5.00000000,1.51265845
wavmark,15,chinese:SSB0018,0,8,8046,0,-5.00000000,1.57793660
wavmark,15,chinese:SSB0018,0,8,8715,0,-7.00000000,1.61685333
wavmark,15,chinese:SSB0018,0,8,9752,0,-6.00000000,1.30462822
wavmark,15,chinese:SSB0018,0,8,13137,0,-6.00000000,1.77588448
wavmark,15,chinese:SSB0018,0,8,19314,0,-8.00000000,1.95223781
wavmark,15,chinese:SSB0018,0,8,23314,0,-6.00000000,1.77588448
wavmark,15,chinese:SSB0018,0,8,59253,0,-7.00000000,2.00152278
wavmark,16,chinese:SSB0018,1,8,6287,0,-6.00000000,1.87082869
wavmark,16,chinese:SSB0018,1,8,10575,0,-5.00000000,1.76325490
wavmark,16,chinese:SSB0018,1,8,11056,0,-5.00000000,2.03164269
wavmark,16,chinese:SSB0018,1,8,12289,0,-10.00000000,2.05142227
wavmark,16,chinese:SSB0018,1,8,16811,0,-8.00000000,1.82487600
wavmark,16,chinese:SSB0018,1,8,28060,0,-5.00000000,1.57774704
wavmark,16,chinese:SSB0018,1,8,35243,0,-6.00000000,1.96850197
wavmark,16,chinese:SSB0018,1,8,36184,0,-7.00000000,2.03650888
wavmark,16,chinese:SSB0018,1,8,46538,0,-5.00000000,1.50143609
wavmark,16,chinese:SSB0018,1,8,57491,0,-5.00000000,1.60554594
wavmark,17,chinese:SSB0018,2,8,433,0,-4.00000000,1.80723044
wavmark,17,chinese:SSB0018,2,8,2966,0,-5.00000000,1.62150946
wavmark,17,chinese:SSB0018,2,8,3111,0,-2.00000000,1.50923086
wavmark,17,chinese:SSB0018,2,8,16617,0,-13.00000000,2.08043371
wavmark,17,chinese:SSB0018,2,8,23991,0,-2.00000000,1.74145908
wavmark,17,chinese:SSB0018,2,8,27202,0,-5.00000000,1.65635100
wavmark,17,chinese:SSB0018,2,8,61209,0,-7.00000000,2.10504314
wavmark,17,chinese:SSB0018,2,8,61371,0,-5.00000000,1.75599310
wavmark,17,chinese:SSB0018,2,8,61933,0,-7.00000000,1.84776696
wavmark,17,chinese:SSB0018,2,8,63412,0,-6.00000000,1.83830592
wavmark,18,chinese:SSB0033,0,8,9862,0,-5.00000000,1.90978121
wavmark,18,chinese:SSB0033,0,8,10953,1,1.00000000,1.14382400
wavmark,18,chinese:SSB0033,0,8,35654,0,-4.00000000,1.81422464
wavmark,18,chinese:SSB0033,0,8,39646,0,-7.00000000,1.95203932
wavmark,18,chinese:SSB0033,0,8,41565,0,-4.00000000,1.73983534
wavmark,18,chinese:SSB0033,0,8,43237,0,-7.00000000,1.99663394
wavmark,18,chinese:SSB0033,0,8,56029,0,-5.00000000,2.03396517
wavmark,18,chinese:SSB0033,0,8,56794,0,-6.00000000,1.96598051
wavmark,18,chinese:SSB0033,0,8,59930,0,-6.00000000,1.76092543
wavmark,18,chinese:SSB0033,0,8,60306,0,-4.00000000,1.95488562
wavmark,19,chinese:SSB0033,1,8,7834,0,-6.00000000,1.77087770
wavmark,19,chinese:SSB0033,1,8,7990,0,-5.00000000,1.79505494
wavmark,19,chinese:SSB0033,1,8,13343,0,-5.00000000,1.79284291
wavmark,19,chinese:SSB0033,1,8,24627,0,-6.00000000,1.81785883
wavmark,19,chinese:SSB0033,1,8,35159,0,-8.00000000,2.20920733
wavmark,19,chinese:SSB0033,1,8,36142,0,-9.00000000,2.06379729
wavmark,19,chinese:SSB0033,1,8,42661,0,-2.00000000,1.45365820
wavmark,19,chinese:SSB0033,1,8,47565,0,-8.00000000,2.14516848
wavmark,19,chinese:SSB0033,1,8,51551,0,-8.00000000,2.23759263
wavmark,19,chinese:SSB0033,1,8,58676,0,-2.00000000,1.46680440
wavmark,20,chinese:SSB0033,2,8,5940,0,-8.00000000,1.87440923
wavmark,20,chinese:SSB0033,2,8,10442,0,-6.00000000,1.83843598
wavmark,20,chinese:SSB0033,2,8,20969,0,-7.00000000,1.85789356
wavmark,20,chinese:SSB0033,2,8,21807,0,-8.00000000,2.08166600
wavmark,20,chinese:SSB0033,2,8,35360,0,-7.00000000,1.76938230
wavmark,20,chinese:SSB0033,2,8,40010,0,-7.00000000,1.86300654
wavmark,20,chinese:SSB0033,2,8,40048,0,-4.00000000,1.48562132
wavmark,20,chinese:SSB0033,2,8,49385,0,-7.00000000,1.76949633
wavmark,20,chinese:SSB0033,2,8,56304,0,-6.00000000,1.74316041
wavmark,20,chinese:SSB0033,2,8,61662,0,-4.00000000,1.85126054
wavmark,21,chinese:SSB0038,0,8,3932,0,-5.00000000,1.90696396
wavmark,21,chinese:SSB0038,0,8,13177,0,-4.00000000,1.48616923
wavmark,21,chinese:SSB0038,0,8,13795,0,-4.00000000,1.64598699
wavmark,21,chinese:SSB0038,0,8,19395,0,-5.00000000,1.82814257
wavmark,21,chinese:SSB0038,0,8,38863,0,-3.00000000,1.68325082
wavmark,21,chinese:SSB0038,0,8,44935,0,-7.00000000,2.09585809
wavmark,21,chinese:SSB0038,0,8,49868,0,-3.00000000,1.60750575
wavmark,21,chinese:SSB0038,0,8,53617,0,-5.00000000,1.53973104
wavmark,21,chinese:SSB0038,0,8,54968,0,-4.00000000,1.46580061
wavmark,21,chinese:SSB0038,0,8,63241,0,-5.00000000,1.65655849
wavmark,22,chinese:SSB0038,1,8,5229,0,-5.00000000,1.44643414
wavmark,22,chinese:SSB0038,1,8,8024,0,-6.00000000,1.68236653
wavmark,22,chinese:SSB0038,1,8,15547,0,-6.00000000,2.02202388
wavmark,22,chinese:SSB0038,1,8,15818,0,-6.00000000,1.85493338
wavmark,22,chinese:SSB0038,1,8,31998,0,-3.00000000,1.95017420
wavmark,22,chinese:SSB0038,1,8,32600,0,-2.00000000,1.64857764
wavmark,22,chinese:SSB0038,1,8,48391,0,-4.00000000,1.79062816
wavmark,22,chinese:SSB0038,1,8,49203,0,-5.00000000,2.02356803
wavmark,22,chinese:SSB0038,1,8,55248,0,-4.00000000,1.87369188
wavmark,22,chinese:SSB0038,1,8,63811,0,-9.00000000,2.06936290
wavmark,23,chinese:SSB0038,2,8,9991,0,-3.00000000,1.44115338
wavmark,23,chinese:SSB0038,2,8,11061,0,-5.00000000,1.84797128
wavmark,23,chinese:SSB0038,2,8,11816,0,-4.00000000,1.62552630
wavmark,23,chinese:SSB0038,2,8,25912,0,-4.00000000,1.57603013
wavmark,23,chinese:SSB0038,2,8,31929,0,-4.00000000,1.95762686
wavmark,23,chinese:SSB0038,2,8,38633,0,-5.00000000,1.63521040
wavmark,23,chinese:SSB0038,2,8,39427,0,-4.00000000,1.45401968
wavmark,23,chinese:SSB0038,2,8,48696,0,-3.00000000,1.42321729
wavmark,23,chinese:SSB0038,2,8,55920,0,-6.00000000,1.83660947
