model,k,bit_count,n_trials,native_escape_pct,ideal_native_escape_pct,occupancy_pct,registry_size,coalition_trace_pct,registered_nonmember_pct,unassigned_pct,escape_pct,ideal_coalition_trace_pct,ideal_registered_nonmember_pct,ideal_unassigned_pct,ideal_escape_pct
wavmark,5,16,300,98.0,99.855013,1,655,2.0,0.972059025499382,97.02794097450061,98.0,0.14498700000000042,0.99045884314294,98.86455415685705,99.855013
wavmark,5,16,300,98.0,99.855013,10,6554,2.0,9.793868550762234,88.20613144923776,98.0,0.14498700000000042,9.979253790374022,89.87575920962597,99.855013
wavmark,5,16,300,98.0,99.855013,50,32768,2.0,48.99626131144039,49.00373868855961,98.0,0.14498700000000042,49.92369704291099,49.93131595708901,99.855013
wavmark,5,16,300,98.0,99.855013,100,65536,2.0,98.0,0.0,98.0,0.14498700000000042,99.855013,0.0,99.855013
wavmark,8,16,300,99.33333333333333,99.922678,1,655,0.6666666666666714,0.9807817523297928,98.35255158100354,99.33333333333333,0.07732199999999523,0.9866007304663655,98.93607726953364,99.922678
wavmark,8,16,300,99.33333333333333,99.922678,10,6554,0.6666666666666714,9.923025271639604,89.41030806169373,99.33333333333333,0.07732199999999523,9.981898580576244,89.94077941942376,99.922678
wavmark,8,16,300,99.33333333333333,99.922678,50,32768,0.6666666666666714,49.66060310096447,49.672730232368856,99.33333333333333,0.07732199999999523,49.9552394591625,49.967438540837506,99.922678
wavmark,8,16,300,99.33333333333333,99.922678,100,65536,0.6666666666666714,99.33333333333333,0.0,99.33333333333333,0.07732199999999523,99.922678,0.0,99.922678
wmcodec,2,16,300,99.66666666666667,97.902059,1,655,0.3333333333333286,0.9931079032766706,98.67355876338999,99.66666666666667,2.097941000000006,0.9755248348490859,96.9265341651509,97.902059
wmcodec,2,16,300,99.66666666666667,97.902059,10,6554,0.3333333333333286,9.964537491988892,89.70212917467778,99.66666666666667,2.097941000000006,9.788114422559282,88.1139445774407,97.902059
wmcodec,2,16,300,99.66666666666667,97.902059,50,32768,0.3333333333333286,49.831812494277784,49.83485417238889,99.66666666666667,2.097941000000006,48.94953558754234,48.95252341245765,97.902059
wmcodec,2,16,300,99.66666666666667,97.902059,100,65536,0.3333333333333286,99.66666666666667,0.0,99.66666666666667,2.097941000000006,97.902059,0.0,97.902059
wmcodec,3,16,300,97.66666666666667,99.518427,1,655,2.3333333333333286,0.9717038235189396,96.69496284314772,97.66666666666667,0.48157299999999736,0.990127331329254,98.52829966867074,99.518427
wmcodec,3,16,300,97.66666666666667,99.518427,10,6554,2.3333333333333286,9.763238877105174,87.9034277895615,97.66666666666667,0.48157299999999736,9.948349919536723,89.57007708046328,99.518427
wmcodec,3,16,300,97.66666666666667,99.518427,50,32768,2.3333333333333286,48.83109781840193,48.83556884826474,97.66666666666667,0.48157299999999736,49.75693559969786,49.76149140030214,99.518427
wmcodec,3,16,300,97.66666666666667,99.518427,100,65536,2.3333333333333286,97.66666666666667,0.0,97.66666666666667,0.48157299999999736,99.518427,0.0,99.518427
wmcodec,5,16,300,99.66666666666667,99.855013,1,655,0.3333333333333286,0.9885906415793034,98.67807602508736,99.66666666666667,0.14498700000000042,0.99045884314294,98.86455415685705,99.855013
wmcodec,5,16,300,99.66666666666667,99.855013,10,6554,0.3333333333333286,9.96043094108132,89.70623572558534,99.66666666666667,0.14498700000000042,9.979253790374022,89.87575920962597,99.855013
wmcodec,5,16,300,99.66666666666667,99.855013,50,32768,0.3333333333333286,49.82953106163495,49.83713560503172,99.66666666666667,0.14498700000000042,49.92369704291099,49.93131595708901,99.855013
wmcodec,5,16,300,99.66666666666667,99.855013,100,65536,0.3333333333333286,99.66666666666667,0.0,99.66666666666667,0.14498700000000042,99.855013,0.0,99.855013
wmcodec,8,16,300,99.66666666666667,99.922678,1,655,0.3333333333333286,0.9840729662637855,98.68259370040289,99.66666666666667,0.07732199999999523,0.9866007304663655,98.93607726953364,99.922678
wmcodec,8,16,300,99.66666666666667,99.922678,10,6554,0.3333333333333286,9.956324014161886,89.71034265250478,99.66666666666667,0.07732199999999523,9.981898580576244,89.94077941942376,99.922678
wmcodec,8,16,300,99.66666666666667,99.922678,50,32768,0.3333333333333286,49.82724942009523,49.83941724657144,99.66666666666667,0.07732199999999523,49.9552394591625,49.967438540837506,99.922678
wmcodec,8,16,300,99.66666666666667,99.922678,100,65536,0.3333333333333286,99.66666666666667,0.0,99.66666666666667,0.07732199999999523,99.922678,0.0,99.922678
