dataset,model,k,method,trial_id,speaker,clip_index,source_path,coalition_payloads,valid_copy_count,payloads_tested,target_rank,target_payload,selection_rule,candidate_count,selection_score,payload_distance,weights,effective_members,max_weight,weights_valid,decoded_payload,target_hit,target_margin,hits_out_of_10,escaped,closest_member_bit_accuracy,watermark_score,decoded_bits,target_bit_accuracy,quality_reference,pesq,stoi,si_sdr
collusion_300,timbrewm,8,payload_match,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[468, 685, 344, 963, 250, 952, 211, 951]",8,8,2,464,nearest_nonmember_payloads,1016,-0.72168784,0.72168784,"[0.49999999999999933, 3.8695451682185427e-16, 0.23913043459089459, 0.04347826041366826, 9.103039205060576e-17, 0.0652173887626831, 0.1521739162327539, 4.704863891051335e-16]",2.97191011,0.50000000,1,464,1,0.05953169,7,1,0.90000000,,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",1.00000000,first_coalition_copy,4.5722,0.9985,35.80
collusion_300,timbrewm,8,payload_match,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[468, 685, 344, 963, 250, 952, 211, 951]",8,8,3,467,nearest_nonmember_payloads,1016,-0.72627304,0.72627304,"[0.11627907361165847, 6.641305410067588e-16, 0.08139534988393066, 0.2558139519695032, 1.9232294525989077e-17, 1.2356656360294117e-16, 0.49999999999999867, 0.04651162453490831]",2.96076862,0.50000000,1,467,1,0.15150023,7,1,0.90000000,,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0]",1.00000000,first_coalition_copy,4.5058,0.9945,30.37
collusion_300,timbrewm,8,payload_match,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[468, 685, 344, 963, 250, 952, 211, 951]",8,8,4,979,nearest_nonmember_payloads,1016,-0.72760688,0.72760688,"[1.7231446501746123e-16, 2.4024309619077712e-16, 0.06250000143523676, 0.49999999999999933, 0.0, 1.9239109260555162e-16, 0.24999999880130386, 0.18749999976345955]",2.84444445,0.50000000,1,963,0,-0.04482222,7,0,1.00000000,,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",0.90000000,first_coalition_copy,4.4448,0.9924,29.36
collusion_300,timbrewm,8,payload_match,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[468, 685, 344, 963, 250, 952, 211, 951]",8,8,5,218,nearest_nonmember_payloads,1016,-0.73854895,0.73854895,"[6.572333937299616e-17, 1.981748146204443e-15, 0.19999999731779128, 1.2632089032199011e-15, 0.4999999999999971, 1.3156143155474871e-15, 0.3000000026822045, 2.3582748187635267e-15]",2.63157894,0.50000000,1,218,1,0.00156641,7,1,0.90000000,,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 0]",1.00000000,first_coalition_copy,4.3996,0.9928,28.29
collusion_300,timbrewm,8,payload_match,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[468, 685, 344, 963, 250, 952, 211, 951]",8,8,6,210,nearest_nonmember_payloads,1016,-0.73854895,0.73854895,"[0.20000000201663637, 0.0, 0.0, 8.963758409754146e-17, 0.2999999979833636, 1.2165130257158087e-16, 0.4999999999999998, 1.0505181848985874e-16]",2.63157895,0.50000000,1,210,1,0.04125309,7,1,0.90000000,,"[0, 1, 0, 0, 1, 0, 1, 1, 0, 0]",1.00000000,first_coalition_copy,4.4724,0.9949,30.01
collusion_300,timbrewm,8,payload_match,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[468, 685, 344, 963, 250, 952, 211, 951]",8,8,7,243,nearest_nonmember_payloads,1016,-0.75592895,0.75592895,"[0.0, 0.0, 3.387786745944398e-16, 1.5304191573388486e-16, 0.33333334190638203, 4.983005867601506e-18, 0.4999999999999992, 0.16666665809361816]",2.57142855,0.50000000,1,243,1,0.04283810,7,1,0.90000000,,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 0]",1.00000000,first_coalition_copy,4.4314,0.9927,28.62
collusion_300,timbrewm,8,payload_match,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[468, 685, 344, 963, 250, 952, 211, 951]",8,8,8,947,nearest_nonmember_payloads,1016,-0.76509206,0.76509206,"[0.0, 3.703840153348799e-16, 0.0, 0.17647058534769977, 4.1429641834182823e-16, 0.23529411696104016, 0.08823529769125998, 0.49999999999999933]",2.90452262,0.50000000,1,947,1,0.06187153,7,1,0.90000000,,"[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",1.00000000,first_coalition_copy,4.4100,0.9921,29.07
collusion_300,timbrewm,8,payload_match,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[468, 685, 344, 963, 250, 952, 211, 951]",8,8,9,251,nearest_nonmember_payloads,1016,-0.76696499,0.76696499,"[2.6026800701649464e-15, 0.14285714220331722, 5.033215894094013e-16, 3.3973117828968486e-16, 0.4999999999999986, 0.0, 0.3571428577966806, 0.0]",2.51282051,0.50000000,1,250,0,-0.00188780,7,0,1.00000000,,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]",0.90000000,first_coalition_copy,4.3913,0.9923,27.94
collusion_300,timbrewm,8,payload_match,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[468, 685, 344, 963, 250, 952, 211, 951]",8,8,10,707,nearest_nonmember_payloads,1016,-0.76696499,0.76696499,"[1.0773638128131992e-15, 0.1428571431105636, 0.0, 0.4999999999999984, 6.106661240360829e-16, 0.0, 0.3571428568894354, 7.960518341715537e-16]",2.51282051,0.50000000,1,963,0,-0.06685877,7,0,1.00000000,,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",0.90000000,first_coalition_copy,4.4222,0.9922,28.89
collusion_300,timbrewm,8,payload_match,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,"[347, 468, 832, 398, 179, 926, 362, 913]",8,8,1,414,nearest_nonmember_payloads,1016,-0.63393151,0.63393151,"[0.05607476529114055, 0.10280374066780724, 0.0, 0.4018691629602305, 0.037383178815403866, 0.4018691522654179, 0.0, 0.0]",2.95763370,0.40186916,1,414,1,0.11484814,7,1,0.90000000,,"[0, 1, 1, 1, 1, 0, 0, 1, 1, 0]",1.00000000,first_coalition_copy,4.4691,0.9964,27.31
collusion_300,timbrewm,8,payload_match,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,"[347, 468, 832, 398, 179, 926, 362, 913]",8,8,2,910,nearest_nonmember_payloads,1016,-0.67419986,0.67419986,"[1.9710145873316e-16, 6.099960898852247e-16, 0.09090909051470737, 0.4545454665401105, 0.0, 0.4545454429451814, 0.0, 0.0]",2.37254902,0.45454547,1,398,0,-0.00769663,7,0,1.00000000,,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 0]",0.90000000,first_coalition_copy,4.4230,0.9957,26.66
