model,k,trial_id,speaker,clip_index,source_path,coalition_payloads,shift_ms,shifted_colluder_index,escaped,attribution_margin,pesq,stoi,si_sdr,snr
audioseal,5,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,"[45168, 26079, 14360, 53360, 35446]",0,-1,1,0.36168861,4.581241,0.999296,36.308626,36.308207
audioseal,5,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,"[45168, 26079, 14360, 53360, 35446]",10,1,1,0.1164732,4.425405,0.985266,11.757635,10.114711
audioseal,5,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,"[45168, 26079, 14360, 53360, 35446]",20,1,1,0.15101051,4.112506,0.982844,12.15216,11.179971
audioseal,5,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,"[45168, 26079, 14360, 53360, 35446]",50,1,1,0.21651173,3.30792,0.978389,12.001741,10.876265
audioseal,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,"[24816, 51719, 45142, 34258, 62240]",-50,2,1,1.20491314,2.112023,0.975707,11.85677,10.606917
audioseal,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,"[24816, 51719, 45142, 34258, 62240]",-20,2,1,2.05006933,3.098327,0.980441,11.894639,10.6906
audioseal,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,"[24816, 51719, 45142, 34258, 62240]",-10,2,1,3.54479933,4.038342,0.98604,12.123616,11.163307
audioseal,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,"[24816, 51719, 45142, 34258, 62240]",0,-1,1,2.41970062,4.565482,0.998888,34.429862,34.431167
audioseal,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,"[24816, 51719, 45142, 34258, 62240]",10,2,1,4.06210899,4.265422,0.986241,12.114113,11.157488
audioseal,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,"[24816, 51719, 45142, 34258, 62240]",20,2,1,1.85994625,4.085087,0.982031,11.896833,10.69274
audioseal,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,"[24816, 51719, 45142, 34258, 62240]",50,2,1,4.87856388,3.407923,0.976912,11.855181,10.604803
audioseal,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,"[6947, 39065, 53547, 18578, 38432]",-50,3,1,2.42980719,2.094434,0.974391,11.879451,10.670842
audioseal,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,"[6947, 39065, 53547, 18578, 38432]",-20,3,1,1.87225437,3.00421,0.981687,12.024072,10.988301
audioseal,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,"[6947, 39065, 53547, 18578, 38432]",-10,3,1,2.98699522,4.031803,0.98646,11.840319,10.55862
audioseal,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,"[6947, 39065, 53547, 18578, 38432]",0,-1,1,2.20980453,4.574455,0.998978,32.698021,32.699154
audioseal,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,"[6947, 39065, 53547, 18578, 38432]",10,3,1,2.88821983,4.424038,0.986725,11.840723,10.559323
audioseal,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,"[6947, 39065, 53547, 18578, 38432]",20,3,1,2.31110477,4.195034,0.983784,12.025907,10.989556
audioseal,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,"[6947, 39065, 53547, 18578, 38432]",50,3,1,2.82006168,3.279387,0.977675,11.883321,10.672284
audioseal,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,"[38404, 62417, 29059, 53546, 45705]",-50,4,1,2.55482054,2.353347,0.974571,11.969456,10.888436
audioseal,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,"[38404, 62417, 29059, 53546, 45705]",-20,4,1,2.19148254,3.332304,0.977049,11.894414,10.734277
audioseal,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,"[38404, 62417, 29059, 53546, 45705]",-10,4,1,2.91695213,4.154558,0.98174,12.689722,12.042554
audioseal,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,"[38404, 62417, 29059, 53546, 45705]",0,-1,1,2.22156763,4.591263,0.999283,31.659911,31.662853
audioseal,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,"[38404, 62417, 29059, 53546, 45705]",10,4,1,3.12918758,4.47986,0.981608,12.709728,12.056354
audioseal,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,"[38404, 62417, 29059, 53546, 45705]",20,4,1,2.30281496,4.204471,0.978445,11.898368,10.735862
audioseal,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,"[38404, 62417, 29059, 53546, 45705]",50,4,1,2.76270485,3.360275,0.974543,11.981852,10.895042
