family,condition,system,k,coalition_payloads,audio_path,evidence_path,pesq,stoi,si_sdr_db
coalition_size,K=2,wmcodec,2,"[24199, 31849]",conditions/coalition_size/wmcodec/k2.wav,data/average/k2/wmcodec.csv,4.320100,0.983100,11.230000
coalition_size,K=3,wmcodec,3,"[52255, 17777, 62914]",conditions/coalition_size/wmcodec/k3.wav,data/average/k3/wmcodec.csv,4.358000,0.979400,10.250000
coalition_size,K=5,wmcodec,5,"[40973, 50527, 54258, 54171, 40406]",conditions/coalition_size/wmcodec/k5.wav,data/average/k5/wmcodec.csv,4.207800,0.979600,9.480000
coalition_size,K=8,wmcodec,8,"[2322, 3134, 14407, 21174, 50027, 50834, 51485, 62890]",conditions/coalition_size/wmcodec/k8.wav,data/average/k8/wmcodec/trial_150.json,4.381025,0.978118,10.063621
offset,-10,wmcodec,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/wmcodec/minus10.wav,data/supplementary/alignment/all_trials.csv,3.729819,0.956081,5.882637
offset,-20,wmcodec,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/wmcodec/minus20.wav,data/supplementary/alignment/all_trials.csv,2.733536,0.947262,5.827905
offset,-50,wmcodec,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/wmcodec/minus50.wav,data/supplementary/alignment/all_trials.csv,1.878378,0.934668,5.859868
offset,0,wmcodec,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/wmcodec/aligned.wav,data/supplementary/alignment/all_trials.csv,4.207767,0.979648,9.483491
offset,10,wmcodec,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/wmcodec/plus10.wav,data/supplementary/alignment/all_trials.csv,3.911771,0.955588,5.777582
offset,20,wmcodec,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/wmcodec/plus20.wav,data/supplementary/alignment/all_trials.csv,3.440154,0.948097,5.728639
offset,50,wmcodec,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/wmcodec/plus50.wav,data/supplementary/alignment/all_trials.csv,2.372247,0.940742,5.891812
codec,mp3_128k,wmcodec,5,"[40973, 50527, 54258, 54171, 40406]",conditions/codec/wmcodec/mp3_128k.wav,data/supplementary/codec/all_trials.csv,4.204020,0.979649,9.479539
codec,none,wmcodec,5,"[40973, 50527, 54258, 54171, 40406]",conditions/codec/wmcodec/none.wav,data/supplementary/codec/all_trials.csv,4.207767,0.979648,9.483491
codec,opus_64k,wmcodec,5,"[40973, 50527, 54258, 54171, 40406]",conditions/codec/wmcodec/opus_64k.wav,data/supplementary/codec/all_trials.csv,4.192534,0.977572,9.387513
