model,k,trial_id,speaker,clip_index,source_path,coalition_payloads,reference_payload,published_pesq,published_stoi,published_si_sdr,recomputed_si_sdr,snr,si_sdr_abs_error,visqol,si_sdr_for_table
timbrewm,8,121,chinese:SSB0375,2,dataset/collusion_300/chinese/SSB0375/chinese_SSB0375_02.wav,"[18, 210, 269, 371, 434, 688, 694, 1011]",18,4.59292459487915,0.9992368900730324,,33.407315,33.409284,,4.76116369,33.407315
timbrewm,8,122,chinese:SSB0375,3,dataset/collusion_300/chinese/SSB0375/chinese_SSB0375_03.wav,"[143, 145, 156, 219, 229, 473, 623, 841]",143,4.568811893463135,0.9983301150408432,,31.055996,31.058269,,4.580485,31.055996
timbrewm,8,123,chinese:SSB0379,1,dataset/collusion_300/chinese/SSB0379/chinese_SSB0379_01.wav,"[16, 75, 231, 417, 574, 643, 805, 850]",16,4.484302520751953,0.9972977566255684,,29.632036,29.635729,,4.55593443,29.632036
timbrewm,8,124,chinese:SSB0379,2,dataset/collusion_300/chinese/SSB0379/chinese_SSB0379_02.wav,"[103, 108, 265, 294, 540, 567, 603, 884]",103,4.546332359313965,0.9961798100984194,,31.659121,31.66162,,4.53983829,31.659121
timbrewm,8,125,chinese:SSB0379,3,dataset/collusion_300/chinese/SSB0379/chinese_SSB0379_03.wav,"[26, 79, 129, 167, 361, 600, 765, 979]",26,4.544473171234131,0.9957811397576662,,29.526484,29.53122,,4.46477435,29.526484
timbrewm,8,126,chinese:SSB0380,1,dataset/collusion_300/chinese/SSB0380/chinese_SSB0380_01.wav,"[3, 211, 345, 459, 572, 741, 809, 949]",3,4.37981653213501,0.9940636609305435,,26.111378,26.120996,,4.62577424,26.111378
timbrewm,8,127,chinese:SSB0380,2,dataset/collusion_300/chinese/SSB0380/chinese_SSB0380_02.wav,"[132, 254, 308, 507, 630, 639, 769, 948]",132,4.507941722869873,0.9942045638670456,,27.23087,27.238794,,4.65517043,27.23087
timbrewm,8,128,chinese:SSB0380,3,dataset/collusion_300/chinese/SSB0380/chinese_SSB0380_03.wav,"[27, 83, 410, 490, 595, 747, 770, 972]",27,4.492685794830322,0.9970338391622844,,27.845623,27.852604,,4.75704223,27.845623
timbrewm,8,129,chinese:SSB0382,1,dataset/collusion_300/chinese/SSB0382/chinese_SSB0382_01.wav,"[79, 103, 172, 367, 511, 954, 964, 991]",79,4.542813301086426,0.9966383549789528,,29.350921,29.355076,,4.78018551,29.350921
timbrewm,8,130,chinese:SSB0382,2,dataset/collusion_300/chinese/SSB0382/chinese_SSB0382_02.wav,"[60, 86, 449, 511, 552, 618, 681, 924]",60,4.594357490539551,0.9972702271413588,,32.072008,32.07428,,4.87191832,32.072008
timbrewm,8,131,chinese:SSB0382,3,dataset/collusion_300/chinese/SSB0382/chinese_SSB0382_03.wav,"[1, 92, 162, 438, 598, 636, 661, 901]",1,4.4918532371521,0.9964188165655832,,28.153328,28.159237,,4.5493108,28.153328
timbrewm,8,132,chinese:SSB0385,1,dataset/collusion_300/chinese/SSB0385/chinese_SSB0385_01.wav,"[14, 38, 354, 396, 614, 619, 725, 774]",14,4.577749729156494,0.997381402146117,,31.774318,31.776783,,4.84210737,31.774318
timbrewm,8,133,chinese:SSB0385,2,dataset/collusion_300/chinese/SSB0385/chinese_SSB0385_02.wav,"[250, 392, 416, 429, 440, 746, 932, 984]",250,4.5082783699035645,0.9977879204776628,,28.740969,28.745676,,4.38542782,28.740969
timbrewm,8,134,chinese:SSB0385,3,dataset/collusion_300/chinese/SSB0385/chinese_SSB0385_03.wav,"[133, 210, 386, 534, 720, 743, 861, 903]",133,4.530329704284668,0.9967535683822752,,30.118606,30.122848,,4.67182944,30.118606
timbrewm,8,135,chinese:SSB0393,1,dataset/collusion_300/chinese/SSB0393/chinese_SSB0393_01.wav,"[13, 36, 67, 110, 472, 796, 948, 966]",13,4.51461935043335,0.9966038237366788,,29.723577,29.728164,,4.73837524,29.723577
