model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
voicemark,5,16,chinese:SSB0145,0,mean,20,1,1,28.98028774,3.3796,0.9491
voicemark,5,16,chinese:SSB0145,0,fwp,20,1,1,4.06644442,1.6855,0.8071
voicemark,5,16,chinese:SSB0145,0,mean,-50,1,1,25.59299558,1.9571,0.9377
voicemark,5,16,chinese:SSB0145,0,fwp,-50,1,1,3.35975274,1.3597,0.7557
voicemark,5,16,chinese:SSB0145,0,mean,50,1,1,26.39762663,2.5689,0.9398
voicemark,5,16,chinese:SSB0145,0,fwp,50,1,1,5.97586469,1.3490,0.7308
voicemark,5,17,chinese:SSB0149,0,mean,0,-1,1,18.80594837,3.5091,0.9614
voicemark,5,17,chinese:SSB0149,0,fwp,0,-1,1,9.32040611,2.8038,0.9408
voicemark,5,17,chinese:SSB0149,0,mean,-10,2,1,31.32492417,3.2595,0.9480
voicemark,5,17,chinese:SSB0149,0,fwp,-10,2,0,-2.50151643,2.1834,0.8854
voicemark,5,17,chinese:SSB0149,0,mean,10,2,1,35.26940482,3.2652,0.9499
voicemark,5,17,chinese:SSB0149,0,fwp,10,2,0,-0.12788200,2.2277,0.8832
voicemark,5,17,chinese:SSB0149,0,mean,-20,2,1,23.18321205,2.8035,0.9438
voicemark,5,17,chinese:SSB0149,0,fwp,-20,2,0,-1.06003010,1.8543,0.8483
voicemark,5,17,chinese:SSB0149,0,mean,20,2,1,32.65212135,3.0674,0.9424
voicemark,5,17,chinese:SSB0149,0,fwp,20,2,1,3.13905710,1.8979,0.8456
voicemark,5,17,chinese:SSB0149,0,mean,-50,2,1,13.47432653,1.9661,0.9317
voicemark,5,17,chinese:SSB0149,0,fwp,-50,2,0,-1.55886468,1.4963,0.7926
voicemark,5,17,chinese:SSB0149,0,mean,50,2,1,24.84487474,2.5627,0.9316
voicemark,5,17,chinese:SSB0149,0,fwp,50,2,1,1.76039797,1.5423,0.7741
voicemark,5,18,chinese:SSB0193,0,mean,0,-1,1,18.72697457,3.9993,0.9687
voicemark,5,18,chinese:SSB0193,0,fwp,0,-1,1,34.50678581,3.4852,0.9474
voicemark,5,18,chinese:SSB0193,0,mean,-10,3,1,13.32057871,3.5554,0.9475
voicemark,5,18,chinese:SSB0193,0,fwp,-10,3,1,12.91090981,2.2228,0.8762
voicemark,5,18,chinese:SSB0193,0,mean,10,3,1,13.02545436,3.6382,0.9472
voicemark,5,18,chinese:SSB0193,0,fwp,10,3,1,14.18264889,2.3424,0.8776
voicemark,5,18,chinese:SSB0193,0,mean,-20,3,1,13.02248746,2.9419,0.9426
voicemark,5,18,chinese:SSB0193,0,fwp,-20,3,1,10.26330543,1.6767,0.8301
voicemark,5,18,chinese:SSB0193,0,mean,20,3,1,12.96578711,3.3636,0.9445
voicemark,5,18,chinese:SSB0193,0,fwp,20,3,1,10.81049964,1.7969,0.8280
voicemark,5,18,chinese:SSB0193,0,mean,-50,3,1,11.70459197,2.1539,0.9241
voicemark,5,18,chinese:SSB0193,0,fwp,-50,3,1,10.69398949,1.3512,0.7462
voicemark,5,18,chinese:SSB0193,0,mean,50,3,1,16.25542008,2.4935,0.9264
voicemark,5,18,chinese:SSB0193,0,fwp,50,3,1,12.04277921,1.3782,0.7272
voicemark,5,19,chinese:SSB0197,0,mean,0,-1,1,15.02801495,3.9008,0.9638
voicemark,5,19,chinese:SSB0197,0,fwp,0,-1,1,24.20164707,4.2227,0.9795
voicemark,5,19,chinese:SSB0197,0,mean,-10,4,1,12.79735458,3.5505,0.9503
voicemark,5,19,chinese:SSB0197,0,fwp,-10,4,1,32.57367934,2.2530,0.8677
voicemark,5,19,chinese:SSB0197,0,mean,10,4,1,14.49702368,3.6705,0.9495
voicemark,5,19,chinese:SSB0197,0,fwp,10,4,1,30.42659575,2.2175,0.8690
voicemark,5,19,chinese:SSB0197,0,mean,-20,4,1,12.79541302,2.8595,0.9439
voicemark,5,19,chinese:SSB0197,0,fwp,-20,4,1,25.79867239,1.5808,0.8241
voicemark,5,19,chinese:SSB0197,0,mean,20,4,1,13.39995066,3.3044,0.9438
voicemark,5,19,chinese:SSB0197,0,fwp,20,4,1,27.27206954,1.6477,0.8163
voicemark,5,19,chinese:SSB0197,0,mean,-50,4,1,10.49416618,1.9219,0.9346
voicemark,5,19,chinese:SSB0197,0,fwp,-50,4,1,18.11610228,1.2912,0.7682
voicemark,5,19,chinese:SSB0197,0,mean,50,4,1,12.30899054,2.3017,0.9322
voicemark,5,19,chinese:SSB0197,0,fwp,50,4,1,18.73208595,1.2390,0.7414
voicemark,5,20,chinese:SSB0200,0,mean,0,-1,1,15.29707727,4.3023,0.9649
voicemark,5,20,chinese:SSB0200,0,fwp,0,-1,1,17.70211426,4.3394,0.9744
voicemark,5,20,chinese:SSB0200,0,mean,-10,0,1,14.23335380,3.7701,0.9379
voicemark,5,20,chinese:SSB0200,0,fwp,-10,0,1,19.98176533,2.6492,0.8356
voicemark,5,20,chinese:SSB0200,0,mean,10,0,1,10.84937098,4.0042,0.9357
voicemark,5,20,chinese:SSB0200,0,fwp,10,0,1,22.29729519,2.6707,0.8318
voicemark,5,20,chinese:SSB0200,0,mean,-20,0,1,9.82743753,3.1463,0.9289
voicemark,5,20,chinese:SSB0200,0,fwp,-20,0,1,17.81517314,1.9832,0.8018
voicemark,5,20,chinese:SSB0200,0,mean,20,0,1,9.54675498,3.6898,0.9298
voicemark,5,20,chinese:SSB0200,0,fwp,20,0,1,17.77735393,2.1380,0.8038
voicemark,5,20,chinese:SSB0200,0,mean,-50,0,1,13.58708993,2.3700,0.9176
voicemark,5,20,chinese:SSB0200,0,fwp,-50,0,1,18.27333017,1.5390,0.7288
voicemark,5,20,chinese:SSB0200,0,mean,50,0,1,12.05455054,2.9914,0.9113
