model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
timbrewm,5,11,chinese:SSB0080,0,mean,-20,1,1,0.37652159,3.4444,0.9722
timbrewm,5,11,chinese:SSB0080,0,fwp,-20,1,1,0.08366966,1.6725,0.7933
timbrewm,5,11,chinese:SSB0080,0,mean,20,1,1,0.36702919,3.9955,0.9718
timbrewm,5,11,chinese:SSB0080,0,fwp,20,1,0,-0.07675934,1.6693,0.7897
timbrewm,5,11,chinese:SSB0080,0,mean,-50,1,1,0.34944820,2.4686,0.9635
timbrewm,5,11,chinese:SSB0080,0,fwp,-50,1,1,0.07046413,1.3286,0.7218
timbrewm,5,11,chinese:SSB0080,0,mean,50,1,1,0.34573221,2.7999,0.9664
timbrewm,5,11,chinese:SSB0080,0,fwp,50,1,0,-0.14096928,1.3277,0.7058
timbrewm,5,12,chinese:SSB0112,0,mean,0,-1,1,0.43569899,4.5733,0.9966
timbrewm,5,12,chinese:SSB0112,0,fwp,0,-1,1,0.35557413,4.5149,0.9942
timbrewm,5,12,chinese:SSB0112,0,mean,-10,2,1,0.44393110,3.9920,0.9837
timbrewm,5,12,chinese:SSB0112,0,fwp,-10,2,1,0.24333572,2.3778,0.8738
timbrewm,5,12,chinese:SSB0112,0,mean,10,2,1,0.38652086,4.3884,0.9835
timbrewm,5,12,chinese:SSB0112,0,fwp,10,2,1,0.10194969,2.3787,0.8786
timbrewm,5,12,chinese:SSB0112,0,mean,-20,2,1,0.42908382,3.1605,0.9777
timbrewm,5,12,chinese:SSB0112,0,fwp,-20,2,1,0.15472460,1.7208,0.8222
timbrewm,5,12,chinese:SSB0112,0,mean,20,2,1,0.50029945,4.0104,0.9781
timbrewm,5,12,chinese:SSB0112,0,fwp,20,2,1,0.14259338,1.7183,0.8126
timbrewm,5,12,chinese:SSB0112,0,mean,-50,2,1,0.64848757,2.3062,0.9703
timbrewm,5,12,chinese:SSB0112,0,fwp,-50,2,1,0.08150196,1.3748,0.7665
timbrewm,5,12,chinese:SSB0112,0,mean,50,2,1,0.53034639,2.9959,0.9708
timbrewm,5,12,chinese:SSB0112,0,fwp,50,2,1,0.22414589,1.3740,0.7373
