model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
wavmark,5,6,chinese:SSB0033,0,mean,-50,1,1,4.00000000,2.0768,0.9765
wavmark,5,6,chinese:SSB0033,0,fwp,-50,1,1,4.00000000,1.3347,0.7739
wavmark,5,6,chinese:SSB0033,0,mean,50,1,1,3.00000000,2.8862,0.9781
wavmark,5,6,chinese:SSB0033,0,fwp,50,1,1,2.00000000,1.3389,0.7493
wavmark,5,7,chinese:SSB0038,0,mean,0,-1,1,4.00000000,4.5114,0.9998
wavmark,5,7,chinese:SSB0038,0,fwp,0,-1,1,5.00000000,4.4821,0.9997
wavmark,5,7,chinese:SSB0038,0,mean,-10,2,1,3.00000000,4.0243,0.9866
wavmark,5,7,chinese:SSB0038,0,fwp,-10,2,1,3.00000000,2.3706,0.8902
wavmark,5,7,chinese:SSB0038,0,mean,10,2,1,3.00000000,4.3851,0.9865
wavmark,5,7,chinese:SSB0038,0,fwp,10,2,1,3.00000000,2.5037,0.8914
wavmark,5,7,chinese:SSB0038,0,mean,-20,2,1,4.00000000,3.2195,0.9800
wavmark,5,7,chinese:SSB0038,0,fwp,-20,2,1,4.00000000,1.6505,0.8006
wavmark,5,7,chinese:SSB0038,0,mean,20,2,1,4.00000000,3.9622,0.9803
wavmark,5,7,chinese:SSB0038,0,fwp,20,2,1,3.00000000,1.6589,0.8093
wavmark,5,7,chinese:SSB0038,0,mean,-50,2,1,3.00000000,1.9424,0.9747
wavmark,5,7,chinese:SSB0038,0,fwp,-50,2,1,2.00000000,1.3269,0.7562
wavmark,5,7,chinese:SSB0038,0,mean,50,2,1,4.00000000,2.8799,0.9760
wavmark,5,7,chinese:SSB0038,0,fwp,50,2,1,2.00000000,1.3382,0.7093
wavmark,5,8,chinese:SSB0043,0,mean,0,-1,1,4.00000000,4.4201,0.9984
wavmark,5,8,chinese:SSB0043,0,fwp,0,-1,1,5.00000000,4.2814,0.9972
wavmark,5,8,chinese:SSB0043,0,mean,-10,3,1,4.00000000,4.1111,0.9816
wavmark,5,8,chinese:SSB0043,0,fwp,-10,3,1,3.00000000,1.8803,0.8394
wavmark,5,8,chinese:SSB0043,0,mean,10,3,1,4.00000000,4.2594,0.9814
