model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
timbrewm,5,22,chinese:SSB0038,1,mean,none,none,1,0.16083097,4.5501,0.9960,31.48
timbrewm,5,22,chinese:SSB0038,1,fwp,none,none,1,0.01978588,4.5317,0.9962,31.54
timbrewm,5,22,chinese:SSB0038,1,mean,mp3_128k,MP3 128 kbps,1,0.34290171,4.3695,0.9960,24.71
timbrewm,5,22,chinese:SSB0038,1,fwp,mp3_128k,MP3 128 kbps,1,0.43666029,4.3400,0.9962,24.70
timbrewm,5,22,chinese:SSB0038,1,mean,opus_64k,Opus 64 kbps,1,0.18295574,4.5287,0.9958,28.66
timbrewm,5,22,chinese:SSB0038,1,fwp,opus_64k,Opus 64 kbps,1,0.01951027,4.5059,0.9959,28.06
timbrewm,5,23,chinese:SSB0038,2,mean,none,none,1,0.17975283,4.5270,0.9962,30.58
timbrewm,5,23,chinese:SSB0038,2,fwp,none,none,1,0.24450302,4.6125,0.9978,33.03
timbrewm,5,23,chinese:SSB0038,2,mean,mp3_128k,MP3 128 kbps,1,0.07345819,4.3414,0.9962,24.46
timbrewm,5,23,chinese:SSB0038,2,fwp,mp3_128k,MP3 128 kbps,1,0.04866505,4.3939,0.9978,24.95
timbrewm,5,23,chinese:SSB0038,2,mean,opus_64k,Opus 64 kbps,1,0.16804886,4.5216,0.9961,28.04
timbrewm,5,23,chinese:SSB0038,2,fwp,opus_64k,Opus 64 kbps,1,0.24396420,4.5718,0.9975,28.60
timbrewm,5,24,chinese:SSB0043,0,mean,none,none,1,0.68519688,4.4844,0.9958,30.52
timbrewm,5,24,chinese:SSB0043,0,fwp,none,none,1,0.29578447,4.1921,0.9920,27.27
timbrewm,5,24,chinese:SSB0043,0,mean,mp3_128k,MP3 128 kbps,1,0.61106443,4.4309,0.9958,30.04
timbrewm,5,24,chinese:SSB0043,0,fwp,mp3_128k,MP3 128 kbps,1,0.32581615,4.1598,0.9920,27.04
timbrewm,5,24,chinese:SSB0043,0,mean,opus_64k,Opus 64 kbps,1,0.67127037,4.4687,0.9956,29.64
timbrewm,5,24,chinese:SSB0043,0,fwp,opus_64k,Opus 64 kbps,1,0.25244045,4.1773,0.9914,26.66
timbrewm,5,25,chinese:SSB0043,1,mean,none,none,1,0.26499557,4.3613,0.9943,28.89
timbrewm,5,25,chinese:SSB0043,1,fwp,none,none,1,0.29012489,3.8796,0.9874,25.51
timbrewm,5,25,chinese:SSB0043,1,mean,mp3_128k,MP3 128 kbps,1,0.20104742,4.3312,0.9943,28.57
timbrewm,5,25,chinese:SSB0043,1,fwp,mp3_128k,MP3 128 kbps,1,0.19826460,3.8603,0.9874,25.35
timbrewm,5,25,chinese:SSB0043,1,mean,opus_64k,Opus 64 kbps,1,0.28366280,4.3525,0.9942,28.30
timbrewm,5,25,chinese:SSB0043,1,fwp,opus_64k,Opus 64 kbps,1,0.27258778,3.8760,0.9870,25.13
timbrewm,5,26,chinese:SSB0043,2,mean,none,none,1,0.23701859,4.5337,0.9964,31.73
timbrewm,5,26,chinese:SSB0043,2,fwp,none,none,1,0.40469980,4.3698,0.9926,28.62
timbrewm,5,26,chinese:SSB0043,2,mean,mp3_128k,MP3 128 kbps,1,0.12879848,4.4742,0.9964,31.11
timbrewm,5,26,chinese:SSB0043,2,fwp,mp3_128k,MP3 128 kbps,1,0.22717285,4.3389,0.9926,28.30
timbrewm,5,26,chinese:SSB0043,2,mean,opus_64k,Opus 64 kbps,1,0.25921106,4.5221,0.9963,30.62
timbrewm,5,26,chinese:SSB0043,2,fwp,opus_64k,Opus 64 kbps,1,0.38605452,4.3583,0.9922,27.83
timbrewm,5,27,chinese:SSB0057,0,mean,none,none,0,-0.07612324,4.5588,0.9969,33.24
timbrewm,5,27,chinese:SSB0057,0,fwp,none,none,1,0.24770069,4.5854,0.9979,34.93
timbrewm,5,27,chinese:SSB0057,0,mean,mp3_128k,MP3 128 kbps,0,-0.24209118,4.4070,0.9969,24.72
timbrewm,5,27,chinese:SSB0057,0,fwp,mp3_128k,MP3 128 kbps,1,0.15280437,4.4198,0.9978,24.90
timbrewm,5,27,chinese:SSB0057,0,mean,opus_64k,Opus 64 kbps,0,-0.09714603,4.5508,0.9966,28.28
timbrewm,5,27,chinese:SSB0057,0,fwp,opus_64k,Opus 64 kbps,1,0.23168802,4.5683,0.9974,28.39
timbrewm,5,28,chinese:SSB0057,1,mean,none,none,1,0.49612379,4.5602,0.9978,34.60
timbrewm,5,28,chinese:SSB0057,1,fwp,none,none,1,0.12946796,4.5055,0.9958,31.65
timbrewm,5,28,chinese:SSB0057,1,mean,mp3_128k,MP3 128 kbps,1,0.51023197,4.4111,0.9977,25.09
timbrewm,5,28,chinese:SSB0057,1,fwp,mp3_128k,MP3 128 kbps,1,0.40334511,4.3788,0.9958,24.64
timbrewm,5,28,chinese:SSB0057,1,mean,opus_64k,Opus 64 kbps,1,0.48824358,4.5506,0.9975,28.70
timbrewm,5,28,chinese:SSB0057,1,fwp,opus_64k,Opus 64 kbps,1,0.08976507,4.4981,0.9954,27.44
timbrewm,5,29,chinese:SSB0057,2,mean,none,none,1,0.51797247,4.5928,0.9976,35.36
timbrewm,5,29,chinese:SSB0057,2,fwp,none,none,1,0.13110685,4.5051,0.9960,32.49
timbrewm,5,29,chinese:SSB0057,2,mean,mp3_128k,MP3 128 kbps,1,0.23839617,4.4427,0.9976,25.20
timbrewm,5,29,chinese:SSB0057,2,fwp,mp3_128k,MP3 128 kbps,1,0.14221573,4.4201,0.9959,24.87
timbrewm,5,29,chinese:SSB0057,2,mean,opus_64k,Opus 64 kbps,1,0.54664564,4.5826,0.9974,28.95
