model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
wmcodec,5,30,chinese:SSB0073,0,fwp,opus_64k,Opus 64 kbps,1,16.57905513,3.9629,0.9763,12.34
wmcodec,5,31,chinese:SSB0073,1,mean,none,none,1,24.68301089,4.3175,0.9841,15.16
wmcodec,5,31,chinese:SSB0073,1,fwp,none,none,1,13.19537222,4.0180,0.9729,12.14
wmcodec,5,31,chinese:SSB0073,1,mean,mp3_128k,MP3 128 kbps,1,18.37016774,4.3121,0.9841,15.15
wmcodec,5,31,chinese:SSB0073,1,fwp,mp3_128k,MP3 128 kbps,1,10.46655641,4.0119,0.9729,12.14
wmcodec,5,31,chinese:SSB0073,1,mean,opus_64k,Opus 64 kbps,1,25.10435149,4.3166,0.9841,15.05
wmcodec,5,31,chinese:SSB0073,1,fwp,opus_64k,Opus 64 kbps,1,13.71043684,4.0140,0.9728,12.06
wmcodec,5,32,chinese:SSB0073,2,mean,none,none,1,9.46125981,4.2912,0.9809,14.68
wmcodec,5,32,chinese:SSB0073,2,fwp,none,none,1,18.19273055,3.8140,0.9719,11.35
wmcodec,5,32,chinese:SSB0073,2,mean,mp3_128k,MP3 128 kbps,1,10.33810786,4.2755,0.9809,14.68
wmcodec,5,32,chinese:SSB0073,2,fwp,mp3_128k,MP3 128 kbps,1,25.09403818,3.8045,0.9719,11.35
wmcodec,5,32,chinese:SSB0073,2,mean,opus_64k,Opus 64 kbps,1,9.07805443,4.2936,0.9810,14.64
wmcodec,5,32,chinese:SSB0073,2,fwp,opus_64k,Opus 64 kbps,1,18.89940172,3.7990,0.9718,11.30
wmcodec,5,33,chinese:SSB0080,0,mean,none,none,1,20.52939771,4.3618,0.9832,15.96
wmcodec,5,33,chinese:SSB0080,0,fwp,none,none,1,5.06708762,4.1449,0.9725,13.46
wmcodec,5,33,chinese:SSB0080,0,mean,mp3_128k,MP3 128 kbps,1,20.25987474,4.3336,0.9832,15.95
wmcodec,5,33,chinese:SSB0080,0,fwp,mp3_128k,MP3 128 kbps,1,2.34515572,4.1227,0.9724,13.46
wmcodec,5,33,chinese:SSB0080,0,mean,opus_64k,Opus 64 kbps,1,20.48390007,4.3566,0.9830,15.78
wmcodec,5,33,chinese:SSB0080,0,fwp,opus_64k,Opus 64 kbps,1,3.98959014,4.1398,0.9722,13.34
wmcodec,5,34,chinese:SSB0080,1,mean,none,none,1,13.35679968,4.2424,0.9823,16.05
wmcodec,5,34,chinese:SSB0080,1,fwp,none,none,1,22.69913638,4.3451,0.9866,17.67
wmcodec,5,34,chinese:SSB0080,1,mean,mp3_128k,MP3 128 kbps,1,18.29800171,4.2223,0.9822,16.05
wmcodec,5,34,chinese:SSB0080,1,fwp,mp3_128k,MP3 128 kbps,1,19.64773048,4.3217,0.9866,17.66
wmcodec,5,34,chinese:SSB0080,1,mean,opus_64k,Opus 64 kbps,1,13.31879010,4.2354,0.9822,15.96
wmcodec,5,34,chinese:SSB0080,1,fwp,opus_64k,Opus 64 kbps,1,21.68550586,4.3346,0.9863,17.50
wmcodec,5,35,chinese:SSB0080,2,mean,none,none,1,20.82459811,4.3849,0.9835,16.35
wmcodec,5,35,chinese:SSB0080,2,fwp,none,none,1,14.79619497,4.1071,0.9717,13.16
wmcodec,5,35,chinese:SSB0080,2,mean,mp3_128k,MP3 128 kbps,1,15.36524893,4.3595,0.9835,16.34
wmcodec,5,35,chinese:SSB0080,2,fwp,mp3_128k,MP3 128 kbps,1,20.67800177,4.0855,0.9716,13.15
wmcodec,5,35,chinese:SSB0080,2,mean,opus_64k,Opus 64 kbps,1,21.44266957,4.3803,0.9834,16.27
wmcodec,5,35,chinese:SSB0080,2,fwp,opus_64k,Opus 64 kbps,1,14.24576016,4.0967,0.9715,13.10
wmcodec,5,36,chinese:SSB0112,0,mean,none,none,1,18.67486591,4.4601,0.9894,15.12
wmcodec,5,36,chinese:SSB0112,0,fwp,none,none,1,15.53223250,4.3801,0.9829,12.46
wmcodec,5,36,chinese:SSB0112,0,mean,mp3_128k,MP3 128 kbps,1,18.85493099,4.4168,0.9894,15.09
wmcodec,5,36,chinese:SSB0112,0,fwp,mp3_128k,MP3 128 kbps,1,16.11301739,4.3441,0.9829,12.44
wmcodec,5,36,chinese:SSB0112,0,mean,opus_64k,Opus 64 kbps,1,19.11359485,4.4595,0.9893,15.06
wmcodec,5,36,chinese:SSB0112,0,fwp,opus_64k,Opus 64 kbps,1,15.30015464,4.3727,0.9827,12.41
wmcodec,5,37,chinese:SSB0112,1,mean,none,none,1,16.71666573,4.4411,0.9886,15.40
wmcodec,5,37,chinese:SSB0112,1,fwp,none,none,1,12.15379156,4.4687,0.9900,16.17
wmcodec,5,37,chinese:SSB0112,1,mean,mp3_128k,MP3 128 kbps,1,16.45642813,4.3943,0.9886,15.35
wmcodec,5,37,chinese:SSB0112,1,fwp,mp3_128k,MP3 128 kbps,1,12.86466250,4.4185,0.9900,16.12
wmcodec,5,37,chinese:SSB0112,1,mean,opus_64k,Opus 64 kbps,1,17.36483612,4.4378,0.9885,15.37
wmcodec,5,37,chinese:SSB0112,1,fwp,opus_64k,Opus 64 kbps,1,11.63134441,4.4558,0.9897,16.06
wmcodec,5,38,chinese:SSB0112,2,mean,none,none,1,5.75478355,4.4064,0.9899,15.71
wmcodec,5,38,chinese:SSB0112,2,fwp,none,none,1,6.70819055,4.2970,0.9832,12.82
wmcodec,5,38,chinese:SSB0112,2,mean,mp3_128k,MP3 128 kbps,1,4.62613311,4.3824,0.9898,15.69
