model,K,spk,local_t,gi,restart,start_id,objective,weights
wmcodec,8,chinese:SSB0009,0,1,1,4,0.0001947964,0.06273982;0.16376146;0.19425899;0.07075235;0.13632408;0.12818014;0.11826594;0.12571722
wmcodec,8,chinese:SSB0009,0,1,1,5,0.0001947964,0.06275686;0.16376584;0.19419485;0.07074635;0.13626714;0.12825814;0.11830318;0.12570764
wmcodec,8,chinese:SSB0009,0,1,1,6,0.0001947964,0.06275686;0.16376584;0.19419485;0.07074635;0.13626714;0.12825814;0.11830318;0.12570764
wmcodec,8,chinese:SSB0009,0,1,2,0,0.0001947964,0.06274334;0.16374017;0.19421343;0.07076296;0.13631085;0.12823299;0.11824790;0.12574836
wmcodec,8,chinese:SSB0009,0,1,2,1,0.0001947964,0.06269192;0.16382884;0.19420547;0.07072349;0.13635119;0.12820024;0.11828721;0.12571164
wmcodec,8,chinese:SSB0009,0,1,2,2,0.0001947964,0.06276964;0.16376373;0.19418282;0.07076931;0.13624879;0.12828049;0.11828299;0.12570223
wmcodec,8,chinese:SSB0009,0,1,2,3,0.0001947964,0.06278528;0.16372365;0.19422218;0.07076286;0.13636561;0.12820267;0.11824535;0.12569240
wmcodec,8,chinese:SSB0009,0,1,2,4,0.0001947964,0.06268129;0.16370997;0.19418173;0.07071954;0.13635152;0.12824994;0.11838567;0.12572035
wmcodec,8,chinese:SSB0009,0,1,2,5,0.0001947964,0.06274747;0.16373180;0.19421602;0.07075958;0.13632268;0.12822795;0.11825200;0.12574250
wmcodec,8,chinese:SSB0009,0,1,2,6,0.0001947964,0.06278528;0.16372365;0.19422218;0.07076286;0.13636561;0.12820267;0.11824535;0.12569240
wmcodec,8,chinese:SSB0009,0,1,3,0,0.0001947964,0.06274334;0.16374017;0.19421343;0.07076296;0.13631085;0.12823299;0.11824790;0.12574836
wmcodec,8,chinese:SSB0009,0,1,3,1,0.0001947964,0.06269192;0.16382884;0.19420547;0.07072349;0.13635119;0.12820024;0.11828721;0.12571164
wmcodec,8,chinese:SSB0009,0,1,3,2,0.0001947964,0.06276488;0.16366490;0.19426940;0.07081582;0.13632273;0.12829029;0.11812858;0.12574341
wmcodec,8,chinese:SSB0009,0,1,3,3,0.0001947964,0.06273382;0.16374488;0.19421091;0.07073571;0.13631337;0.12824188;0.11828430;0.12573512
wmcodec,8,chinese:SSB0009,0,1,3,4,0.0001947964,0.06276964;0.16376373;0.19418282;0.07076931;0.13624879;0.12828049;0.11828299;0.12570223
wmcodec,8,chinese:SSB0009,0,1,3,5,0.0001947964,0.06273982;0.16376146;0.19425899;0.07075235;0.13632408;0.12818014;0.11826594;0.12571722
wmcodec,8,chinese:SSB0009,0,1,3,6,0.0001947964,0.06273983;0.16373495;0.19420067;0.07075909;0.13628694;0.12826024;0.11827762;0.12574066
wmcodec,8,chinese:SSB0011,0,2,0,0,0.0000352341,0.21640084;0.05404631;0.07181659;0.10418223;0.14353959;0.10040620;0.10472790;0.20488034
wmcodec,8,chinese:SSB0011,0,2,0,1,0.0000352342,0.21636562;0.05407681;0.07224761;0.10391380;0.14270780;0.10019265;0.10533002;0.20516568
wmcodec,8,chinese:SSB0011,0,2,0,2,0.0000352342,0.21644632;0.05383449;0.07195831;0.10378529;0.14310002;0.10029447;0.10553937;0.20504172
wmcodec,8,chinese:SSB0011,0,2,0,3,0.0000352341,0.21689644;0.05364193;0.07189287;0.10347308;0.14313974;0.10019799;0.10537168;0.20538627
wmcodec,8,chinese:SSB0011,0,2,0,4,0.0000352342,0.21676324;0.05381533;0.07223225;0.10337641;0.14313390;0.10026962;0.10525095;0.20515828
wmcodec,8,chinese:SSB0011,0,2,0,5,0.0000352342,0.21651833;0.05415218;0.07209381;0.10361361;0.14296150;0.10010527;0.10545224;0.20510306
wmcodec,8,chinese:SSB0011,0,2,0,6,0.0000352341,0.21717553;0.05327685;0.07173471;0.10333974;0.14303863;0.09995457;0.10580506;0.20567489
wmcodec,8,chinese:SSB0011,0,2,1,0,0.0000352341,0.21640084;0.05404631;0.07181659;0.10418223;0.14353959;0.10040620;0.10472790;0.20488034
