model,K,spk,local_t,gi,restart,start_id,objective,weights
wavmark,5,chinese:SSB0011,0,2,2,1,0.0000000684,0.50000000;0.00000000;0.00000000;0.00000000;0.50000000
wavmark,5,chinese:SSB0011,0,2,2,2,0.0000000891,0.23952510;0.31074622;0.17026286;0.23952500;0.03994081
wavmark,5,chinese:SSB0011,0,2,2,3,0.0000000891,0.23952510;0.31074622;0.17026286;0.23952500;0.03994081
wavmark,5,chinese:SSB0011,0,2,2,4,0.0000000684,0.50000000;0.00000000;0.00000000;0.00000000;0.50000000
wavmark,5,chinese:SSB0011,0,2,2,5,0.0000000887,0.21900537;0.32052584;0.23023436;0.23023442;0.00000001
wavmark,5,chinese:SSB0011,0,2,2,6,0.0000000871,0.35150031;0.20688125;0.22080916;0.00000004;0.22080925
wavmark,5,chinese:SSB0011,0,2,3,0,0.0000000872,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0011,0,2,3,1,0.0000000684,0.50000000;0.00000000;0.00000000;0.00000000;0.50000000
wavmark,5,chinese:SSB0011,0,2,3,2,0.0000000878,0.34677455;0.24501809;0.12339855;0.03979081;0.24501801
wavmark,5,chinese:SSB0011,0,2,3,3,0.0000000871,0.35150031;0.20688125;0.22080916;0.00000004;0.22080925
wavmark,5,chinese:SSB0011,0,2,3,4,0.0000000684,0.50000000;0.00000000;0.00000000;0.00000000;0.50000000
wavmark,5,chinese:SSB0011,0,2,3,5,0.0000000891,0.24820643;0.24604844;0.24604825;0.21679472;0.04290216
wavmark,5,chinese:SSB0011,0,2,3,6,0.0000000891,0.24820643;0.24604844;0.24604825;0.21679472;0.04290216
wavmark,5,chinese:SSB0012,0,3,0,0,0.0000002203,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0012,0,3,0,1,0.0000002241,0.17065309;0.29831346;0.00330554;0.22941474;0.29831317
wavmark,5,chinese:SSB0012,0,3,0,2,0.0000002231,0.17154855;0.28675841;0.17115846;0.19937548;0.17115910
wavmark,5,chinese:SSB0012,0,3,0,3,0.0000002246,0.19230042;0.30939921;0.12059699;0.19230054;0.18540284
wavmark,5,chinese:SSB0012,0,3,0,4,0.0000002228,0.14359800;0.32693504;0.16118056;0.16118122;0.20710518
wavmark,5,chinese:SSB0012,0,3,0,5,0.0000002202,0.20179094;0.20717033;0.20716946;0.19616583;0.18770345
wavmark,5,chinese:SSB0012,0,3,0,6,0.0000002220,0.06661883;0.34393838;0.04708728;0.27117768;0.27117784
wavmark,5,chinese:SSB0012,0,3,1,0,0.0000002203,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0012,0,3,1,1,0.0000002241,0.17065309;0.29831346;0.00330554;0.22941474;0.29831317
wavmark,5,chinese:SSB0012,0,3,1,2,0.0000002246,0.19230042;0.30939921;0.12059699;0.19230054;0.18540284
wavmark,5,chinese:SSB0012,0,3,1,3,0.0000002205,0.16207481;0.35607863;0.16207429;0.14376017;0.17601210
wavmark,5,chinese:SSB0012,0,3,1,4,0.0000002205,0.16207481;0.35607863;0.16207429;0.14376017;0.17601210
wavmark,5,chinese:SSB0012,0,3,1,5,0.0000002220,0.06661883;0.34393838;0.04708728;0.27117768;0.27117784
wavmark,5,chinese:SSB0012,0,3,1,6,0.0000002205,0.16207481;0.35607863;0.16207429;0.14376017;0.17601210
wavmark,5,chinese:SSB0012,0,3,2,0,0.0000002203,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0012,0,3,2,1,0.0000002241,0.17065309;0.29831346;0.00330554;0.22941474;0.29831317
wavmark,5,chinese:SSB0012,0,3,2,2,0.0000002231,0.24724180;0.24724244;0.09219376;0.15269185;0.26063016
wavmark,5,chinese:SSB0012,0,3,2,3,0.0000002220,0.06661883;0.34393838;0.04708728;0.27117768;0.27117784
wavmark,5,chinese:SSB0012,0,3,2,4,0.0000002226,0.23449254;0.33972251;0.07305563;0.11823651;0.23449282
wavmark,5,chinese:SSB0012,0,3,2,5,0.0000002220,0.06661883;0.34393838;0.04708728;0.27117768;0.27117784
wavmark,5,chinese:SSB0012,0,3,2,6,0.0000002231,0.17154855;0.28675841;0.17115846;0.19937548;0.17115910
wavmark,5,chinese:SSB0012,0,3,3,0,0.0000002203,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0012,0,3,3,1,0.0000002241,0.17065309;0.29831346;0.00330554;0.22941474;0.29831317
wavmark,5,chinese:SSB0012,0,3,3,2,0.0000002202,0.20179094;0.20717033;0.20716946;0.19616583;0.18770345
wavmark,5,chinese:SSB0012,0,3,3,3,0.0000002241,0.17065309;0.29831346;0.00330554;0.22941474;0.29831317
wavmark,5,chinese:SSB0012,0,3,3,4,0.0000002241,0.17065309;0.29831346;0.00330554;0.22941474;0.29831317
wavmark,5,chinese:SSB0012,0,3,3,5,0.0000002240,0.11965086;0.27163448;0.05770160;0.27163402;0.27937905
wavmark,5,chinese:SSB0012,0,3,3,6,0.0000002220,0.06661883;0.34393838;0.04708728;0.27117768;0.27117784
wavmark,5,chinese:SSB0016,0,4,0,0,0.0000000391,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0016,0,4,0,1,0.0000000331,0.50000000;0.00000000;0.00000000;0.50000000;0.00000000
wavmark,5,chinese:SSB0016,0,4,0,2,0.0000000238,0.00000000;0.00000000;0.00000000;0.50000000;0.50000000
wavmark,5,chinese:SSB0016,0,4,0,3,0.0000000282,0.50000000;0.00000000;0.00000000;0.00000000;0.50000000
wavmark,5,chinese:SSB0016,0,4,0,4,0.0000000230,0.00000000;0.00000000;0.50000000;0.50000000;0.00000000
wavmark,5,chinese:SSB0016,0,4,0,5,0.0000000286,0.00000000;0.00000000;0.50000000;0.00000000;0.50000000
wavmark,5,chinese:SSB0016,0,4,0,6,0.0000000230,0.00000000;0.00000000;0.50000000;0.50000000;0.00000000
wavmark,5,chinese:SSB0016,0,4,1,0,0.0000000391,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0016,0,4,1,1,0.0000000331,0.50000000;0.00000000;0.00000000;0.50000000;0.00000000
wavmark,5,chinese:SSB0016,0,4,1,2,0.0000000230,0.00000000;0.00000000;0.50000000;0.50000000;0.00000000
wavmark,5,chinese:SSB0016,0,4,1,3,0.0000000295,0.00000000;0.50000000;0.00000000;0.50000000;0.00000000
wavmark,5,chinese:SSB0016,0,4,1,4,0.0000000238,0.00000000;0.00000000;0.00000000;0.50000000;0.50000000
wavmark,5,chinese:SSB0016,0,4,1,5,0.0000000238,0.00000000;0.00000000;0.00000000;0.50000000;0.50000000
wavmark,5,chinese:SSB0016,0,4,1,6,0.0000000220,0.00000000;0.50000000;0.00000000;0.00000000;0.50000000
wavmark,5,chinese:SSB0016,0,4,2,0,0.0000000391,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
