model,K,spk,local_t,gi,restart,start_id,objective,weights
timbrewm,8,chinese:SSB0012,0,3,2,1,0.0000034835,0.25660178;0.06611341;0.01606678;0.02170344;0.07148852;0.25646031;0.17662502;0.13494074
timbrewm,8,chinese:SSB0012,0,3,2,2,0.0000034836,0.25596217;0.06901761;0.02547718;0.01335822;0.07602189;0.25152235;0.17452505;0.13411553
timbrewm,8,chinese:SSB0012,0,3,2,3,0.0000034829,0.25764917;0.06371305;0.00876700;0.01260607;0.07372999;0.26460721;0.18846290;0.13046461
timbrewm,8,chinese:SSB0012,0,3,2,4,0.0000034829,0.25634301;0.06217920;0.00918608;0.02033403;0.07324399;0.26217390;0.19112800;0.12541178
timbrewm,8,chinese:SSB0012,0,3,2,5,0.0000034835,0.25660178;0.06611341;0.01606678;0.02170344;0.07148852;0.25646031;0.17662502;0.13494074
timbrewm,8,chinese:SSB0012,0,3,2,6,0.0000034837,0.25510235;0.07041739;0.02328789;0.01616781;0.07092625;0.25279585;0.17559670;0.13570578
timbrewm,8,chinese:SSB0012,0,3,3,0,0.0000034837,0.25617151;0.06906336;0.02212856;0.01703093;0.07153154;0.25334378;0.17444808;0.13628224
timbrewm,8,chinese:SSB0012,0,3,3,1,0.0000034835,0.25660178;0.06611341;0.01606678;0.02170344;0.07148852;0.25646031;0.17662502;0.13494074
timbrewm,8,chinese:SSB0012,0,3,3,2,0.0000034831,0.25717623;0.06585011;0.00795867;0.02398391;0.07447252;0.25645439;0.18327599;0.13082817
timbrewm,8,chinese:SSB0012,0,3,3,3,0.0000034830,0.25254575;0.07613691;0.03167113;0.01777201;0.07151218;0.24589348;0.15691433;0.14755420
timbrewm,8,chinese:SSB0012,0,3,3,4,0.0000034835,0.25660178;0.06611341;0.01606678;0.02170344;0.07148852;0.25646031;0.17662502;0.13494074
timbrewm,8,chinese:SSB0012,0,3,3,5,0.0000034834,0.25634927;0.06983107;0.02387562;0.02011319;0.07253273;0.25649091;0.16920928;0.13159793
timbrewm,8,chinese:SSB0012,0,3,3,6,0.0000034836,0.25596217;0.06901761;0.02547718;0.01335822;0.07602189;0.25152235;0.17452505;0.13411553
timbrewm,8,chinese:SSB0016,0,4,0,0,0.0000004562,0.00000000;0.19636061;0.14629562;0.10118132;0.10079406;0.18343223;0.21468640;0.05724975
timbrewm,8,chinese:SSB0016,0,4,0,1,0.0000004611,0.00000000;0.09415497;0.17642704;0.12034319;0.00000000;0.30453754;0.30453726;0.00000001
timbrewm,8,chinese:SSB0016,0,4,0,2,0.0000004587,0.00000000;0.14005747;0.13436805;0.13071136;0.05854520;0.26297920;0.24964747;0.02369126
timbrewm,8,chinese:SSB0016,0,4,0,3,0.0000004610,0.00000000;0.18178247;0.25950374;0.02335079;0.00000000;0.25950470;0.26723307;0.00862522
timbrewm,8,chinese:SSB0016,0,4,0,4,0.0000004611,0.00000000;0.09415497;0.17642704;0.12034319;0.00000000;0.30453754;0.30453726;0.00000001
timbrewm,8,chinese:SSB0016,0,4,0,5,0.0000004640,0.00000000;0.14877418;0.17436553;0.05915812;0.00000000;0.29998237;0.27998022;0.03773957
timbrewm,8,chinese:SSB0016,0,4,0,6,0.0000004561,0.00000000;0.15070415;0.13989543;0.12009438;0.11074900;0.18829504;0.26885694;0.02140505
timbrewm,8,chinese:SSB0016,0,4,1,0,0.0000004562,0.00000000;0.19636061;0.14629562;0.10118132;0.10079406;0.18343223;0.21468640;0.05724975
timbrewm,8,chinese:SSB0016,0,4,1,1,0.0000004611,0.00000000;0.09415497;0.17642704;0.12034319;0.00000000;0.30453754;0.30453726;0.00000001
timbrewm,8,chinese:SSB0016,0,4,1,2,0.0000004616,0.00000000;0.20029693;0.20198726;0.04986622;0.03102647;0.25230045;0.21254169;0.05198097
