model,K,spk,local_t,gi,restart,start_id,objective,weights
voicemark,8,chinese:SSB0009,0,1,3,2,0.0003983403,0.23980742;0.25179863;0.00000000;0.03324365;0.15911985;0.05460176;0.24337487;0.01805382
voicemark,8,chinese:SSB0009,0,1,3,3,0.0003983403,0.23980741;0.25179863;0.00000000;0.03324365;0.15911987;0.05460175;0.24337486;0.01805383
voicemark,8,chinese:SSB0009,0,1,3,4,0.0003983403,0.23980767;0.25179893;0.00000000;0.03324037;0.15912042;0.05460190;0.24337723;0.01805349
voicemark,8,chinese:SSB0009,0,1,3,5,0.0003983403,0.23980741;0.25179863;0.00000000;0.03324366;0.15911985;0.05460173;0.24337487;0.01805385
voicemark,8,chinese:SSB0009,0,1,3,6,0.0003983403,0.23981733;0.25180870;0.00000000;0.03320202;0.15910473;0.05457937;0.24341402;0.01807383
voicemark,8,chinese:SSB0011,0,2,0,0,0.0000730915,0.19126468;0.25829746;0.10617175;0.27954575;0.00000000;0.00000000;0.07752522;0.08719515
voicemark,8,chinese:SSB0011,0,2,0,1,0.0000730916,0.19191888;0.25828322;0.10543415;0.27933093;0.00000000;0.00000000;0.07772671;0.08730611
voicemark,8,chinese:SSB0011,0,2,0,2,0.0000730916,0.19191888;0.25828322;0.10543415;0.27933093;0.00000000;0.00000000;0.07772671;0.08730611
voicemark,8,chinese:SSB0011,0,2,0,3,0.0000730916,0.19192233;0.25828205;0.10543016;0.27933236;0.00000000;0.00000000;0.07772131;0.08731179
voicemark,8,chinese:SSB0011,0,2,0,4,0.0000730916,0.19191889;0.25828324;0.10543412;0.27933093;0.00000000;0.00000000;0.07772670;0.08730611
voicemark,8,chinese:SSB0011,0,2,0,5,0.0000730916,0.19191888;0.25828324;0.10543412;0.27933092;0.00000000;0.00000000;0.07772671;0.08730613
voicemark,8,chinese:SSB0011,0,2,0,6,0.0000730916,0.19192012;0.25828315;0.10543281;0.27933066;0.00000000;0.00000000;0.07772713;0.08730613
voicemark,8,chinese:SSB0011,0,2,1,0,0.0000730915,0.19126468;0.25829746;0.10617175;0.27954575;0.00000000;0.00000000;0.07752522;0.08719515
voicemark,8,chinese:SSB0011,0,2,1,1,0.0000730916,0.19191888;0.25828322;0.10543415;0.27933093;0.00000000;0.00000000;0.07772671;0.08730611
