model,K,spk,local_t,gi,restart,start_id,objective,weights
wavmark,8,chinese:SSB0009,0,1,3,1,0.0000002313,0.23590746;0.00000000;0.25236852;0.14760514;0.04847751;0.00000004;0.25236832;0.06327300
wavmark,8,chinese:SSB0009,0,1,3,2,0.0000002228,0.31683021;0.23652976;0.00000003;0.07815711;0.00187043;0.23652976;0.02603599;0.10404672
wavmark,8,chinese:SSB0009,0,1,3,3,0.0000002289,0.30795580;0.00000008;0.03342854;0.01261859;0.22414863;0.22414844;0.04485923;0.15284070
wavmark,8,chinese:SSB0009,0,1,3,4,0.0000002376,0.21975019;0.00000000;0.21975020;0.06232873;0.13355876;0.06078755;0.20406078;0.09976380
wavmark,8,chinese:SSB0009,0,1,3,5,0.0000002336,0.22747474;0.04034731;0.22082654;0.07221782;0.07342117;0.13823784;0.22747451;0.00000006
wavmark,8,chinese:SSB0009,0,1,3,6,0.0000002257,0.24226426;0.24226385;0.00000005;0.09750638;0.03646458;0.21301471;0.03525564;0.13323053
wavmark,8,chinese:SSB0011,0,2,0,0,0.0000000859,0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000
wavmark,8,chinese:SSB0011,0,2,0,1,0.0000000686,0.00000000;0.00000000;0.50000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0011,0,2,0,2,0.0000000875,0.16234034;0.09795144;0.30529417;0.16234052;0.11289091;0.07298649;0.00000000;0.08619612
wavmark,8,chinese:SSB0011,0,2,0,3,0.0000000899,0.00000002;0.18041987;0.23433623;0.20695153;0.00000000;0.14395629;0.00000000;0.23433606
wavmark,8,chinese:SSB0011,0,2,0,4,0.0000000867,0.01895259;0.23010430;0.21381126;0.16693299;0.03466378;0.12172408;0.21381098;0.00000002
wavmark,8,chinese:SSB0011,0,2,0,5,0.0000000865,0.09442098;0.23833134;0.23455418;0.14784340;0.14242490;0.00000010;0.00000001;0.14242509
