model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
timbrewm,8,ecc1,10,6,64,english:1069,2,161,mean,0,0,0,6,1.0000,4.5141,0.9987,31.94
timbrewm,8,ecc1,10,6,64,english:1069,2,161,fwp,0,0,0,4,0.6667,4.5225,0.9992,33.57
timbrewm,8,ecc1,10,6,64,english:1081,0,162,mean,0,0,0,5,0.8333,4.5684,0.9994,36.16
timbrewm,8,ecc1,10,6,64,english:1081,0,162,fwp,1,0,0,5,0.8333,4.4670,0.9988,33.43
timbrewm,8,ecc1,10,6,64,english:1081,1,163,mean,1,0,0,4,0.6667,4.5575,0.9990,34.64
timbrewm,8,ecc1,10,6,64,english:1081,1,163,fwp,1,0,0,5,0.8333,4.4916,0.9993,35.43
timbrewm,8,ecc1,10,6,64,english:1081,2,164,mean,0,0,0,6,1.0000,4.5581,0.9994,35.90
timbrewm,8,ecc1,10,6,64,english:1081,2,164,fwp,1,0,0,5,0.8333,4.5050,0.9993,33.89
timbrewm,8,ecc1,10,6,64,english:1088,0,165,mean,0,0,0,6,1.0000,4.5939,0.9983,36.25
timbrewm,8,ecc1,10,6,64,english:1088,0,165,fwp,1,1,1,4,0.6667,4.5067,0.9965,33.02
timbrewm,8,ecc1,10,6,64,english:1088,1,166,mean,0,0,0,5,0.8333,4.5889,0.9978,35.40
timbrewm,8,ecc1,10,6,64,english:1088,1,166,fwp,1,1,0,5,0.8333,4.5242,0.9972,33.87
timbrewm,8,ecc1,10,6,64,english:1088,2,167,mean,0,0,0,6,1.0000,4.5842,0.9980,35.47
timbrewm,8,ecc1,10,6,64,english:1088,2,167,fwp,1,0,0,5,0.8333,4.4565,0.9966,32.81
timbrewm,8,ecc1,10,6,64,english:1098,0,168,mean,0,0,0,6,1.0000,4.5807,0.9994,36.39
timbrewm,8,ecc1,10,6,64,english:1098,0,168,fwp,0,0,0,6,1.0000,4.4974,0.9985,32.89
timbrewm,8,ecc1,10,6,64,english:1098,1,169,mean,0,0,0,6,1.0000,4.4660,0.9980,32.38
timbrewm,8,ecc1,10,6,64,english:1098,1,169,fwp,1,0,0,5,0.8333,4.5276,0.9989,35.20
timbrewm,8,ecc1,10,6,64,english:1098,2,170,mean,1,1,0,6,1.0000,4.5367,0.9979,33.18
timbrewm,8,ecc1,10,6,64,english:1098,2,170,fwp,1,0,0,5,0.8333,4.5355,0.9990,35.70
timbrewm,8,ecc1,10,6,64,english:1116,0,171,mean,0,0,0,6,1.0000,4.5302,0.9979,25.85
timbrewm,8,ecc1,10,6,64,english:1116,0,171,fwp,0,0,0,5,0.8333,4.3523,0.9972,23.87
timbrewm,8,ecc1,10,6,64,english:1116,1,172,mean,1,1,0,5,0.8333,4.5214,0.9974,24.75
timbrewm,8,ecc1,10,6,64,english:1116,1,172,fwp,1,0,0,5,0.8333,4.5006,0.9983,26.19
timbrewm,8,ecc1,10,6,64,english:1116,2,173,mean,1,0,0,5,0.8333,4.5412,0.9976,24.94
timbrewm,8,ecc1,10,6,64,english:1116,2,173,fwp,0,0,0,5,0.8333,4.5563,0.9981,25.22
timbrewm,8,ecc1,10,6,64,english:118,0,174,mean,0,0,0,6,1.0000,4.5269,0.9913,30.41
timbrewm,8,ecc1,10,6,64,english:118,0,174,fwp,1,0,0,5,0.8333,4.5855,0.9953,32.02
timbrewm,8,ecc1,10,6,64,english:118,1,175,mean,0,0,0,6,1.0000,4.5516,0.9931,31.45
timbrewm,8,ecc1,10,6,64,english:118,1,175,fwp,1,1,1,4,0.6667,4.4229,0.9893,29.04
timbrewm,8,ecc1,10,6,64,english:118,2,176,mean,1,0,0,6,1.0000,4.5663,0.9942,32.10
timbrewm,8,ecc1,10,6,64,english:118,2,176,fwp,0,0,0,6,1.0000,4.5756,0.9955,32.81
timbrewm,8,ecc1,10,6,64,english:1183,0,177,mean,0,0,0,6,1.0000,4.5593,0.9987,29.11
timbrewm,8,ecc1,10,6,64,english:1183,0,177,fwp,0,0,0,5,0.8333,4.5720,0.9982,26.83
timbrewm,8,ecc1,10,6,64,english:1183,1,178,mean,0,0,0,6,1.0000,4.5759,0.9979,27.72
timbrewm,8,ecc1,10,6,64,english:1183,1,178,fwp,0,0,0,4,0.6667,4.5166,0.9967,25.06
timbrewm,8,ecc1,10,6,64,english:1183,2,179,mean,0,0,0,6,1.0000,4.5654,0.9984,27.70
timbrewm,8,ecc1,10,6,64,english:1183,2,179,fwp,0,0,0,4,0.6667,4.5082,0.9973,25.52
timbrewm,8,ecc1,10,6,64,english:1235,0,180,mean,0,0,0,5,0.8333,4.5471,0.9947,27.99
timbrewm,8,ecc1,10,6,64,english:1235,0,180,fwp,1,0,0,5,0.8333,4.5038,0.9915,26.17
timbrewm,8,ecc1,10,6,64,english:1235,1,181,mean,0,0,0,5,0.8333,4.5671,0.9947,28.03
timbrewm,8,ecc1,10,6,64,english:1235,1,181,fwp,1,0,0,5,0.8333,4.5181,0.9933,27.05
timbrewm,8,ecc1,10,6,64,english:1235,2,182,mean,0,0,0,6,1.0000,4.5557,0.9952,28.35
timbrewm,8,ecc1,10,6,64,english:1235,2,182,fwp,0,0,0,6,1.0000,4.4990,0.9921,25.99
timbrewm,8,ecc1,10,6,64,english:1246,0,183,mean,0,0,0,6,1.0000,4.6000,0.9984,28.47
timbrewm,8,ecc1,10,6,64,english:1246,0,183,fwp,0,0,0,6,1.0000,4.5411,0.9973,26.16
timbrewm,8,ecc1,10,6,64,english:1246,1,184,mean,1,1,0,5,0.8333,4.5736,0.9967,26.53
timbrewm,8,ecc1,10,6,64,english:1246,1,184,fwp,1,1,0,5,0.8333,4.5742,0.9981,27.78
