model,k,trial_id,speaker,clip_index,source_path,coalition_payloads,coalition_member_index,base_payload,flipped_payload,flipped_bit,pair_attempts,sample_count,waveform_mse,mel_distance,band_energy_0_1k,band_energy_1_2k,band_energy_2_4k,band_energy_4_8k,band_fraction_0_1k,band_fraction_1_2k,band_fraction_2_4k,band_fraction_4_8k,base_decoded_payload,flipped_decoded_payload,base_payload_correct,flipped_payload_correct,base_changed_bit_correct,flipped_changed_bit_correct,decoded_bit_changes,base_changed_bit_score,flipped_changed_bit_score,changed_bit_score_change,unchanged_bit_score_change,base_bit_scores,flipped_bit_scores
audioseal,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,"[5958,14935,19796,26649,60470]",0,5958,8006,11,,160000,3.0457899917630325e-07,0.014054983854293823,7.73231002497645e-08,2.2724879827057243e-07,6.842596040668265e-12,2.5805992565628287e-13,0.2538687843182734,0.7461079026628201,2.2465751280203924e-05,8.472676263109882e-07,5958,8006,1,1,1,1,1,-0.47291141748428345,0.5587522983551025,1.031663715839386,0.009913535912831624,"[-0.5766958594322205,0.5008077621459961,0.5529956817626953,-0.5056138038635254,-0.6001214981079102,-0.566917896270752,0.5837974548339844,-0.5388400554656982,0.49834156036376953,0.5879212617874146,0.4724005460739136,-0.47291141748428345,0.5838689804077148,-0.6246287226676941,-0.5147076845169067,-0.532158613204956]","[-0.5819148421287537,0.5099881887435913,0.5416315793991089,-0.5296354293823242,-0.6153382062911987,-0.5800400972366333,0.6000181436538696,-0.5387883186340332,0.5082108974456787,0.5981142520904541,0.4780716896057129,0.5587522983551025,0.5828380584716797,-0.6187689304351807,-0.5289362668991089,-0.5396124124526978]"
audioseal,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,"[24327,25257,27089,28758,51909]",3,28758,12374,14,,160000,1.0301349981086647e-07,0.009826447814702988,8.331721372431484e-08,1.9692486667275196e-08,3.629913479842408e-12,1.6950579660650638e-13,0.8087989814663693,0.19116413580191668,3.523726003394657e-05,1.6454716800974653e-06,28758,12374,1,1,1,1,1,0.6339699029922485,-0.4893110394477844,1.123280942440033,0.01253881057103475,"[-0.5470998287200928,0.506040096282959,0.589033842086792,-0.5251527428627014,0.5731015205383301,-0.5788713693618774,0.5759463310241699,-0.5298491716384888,-0.4360188841819763,-0.5345550775527954,-0.5383734107017517,-0.4850287437438965,0.5955814123153687,0.4502626657485962,0.6339699029922485,-0.524085521697998]","[-0.5421205759048462,0.5177191495895386,0.5639443397521973,-0.5155899524688721,0.5822384357452393,-0.580536425113678,0.5895062685012817,-0.524901270866394,-0.44700270891189575,-0.5220844745635986,-0.5546517372131348,-0.4625585079193115,0.6075184345245361,0.48090553283691406,-0.4893110394477844,-0.5267643928527832]"
audioseal,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,"[5637,6685,19024,24562,45754]",3,24562,32754,13,,160000,3.2521486889948785e-08,0.023090077564120293,1.0999790616424806e-08,2.1520052252113275e-08,1.5601438057482235e-12,8.387760495464081e-14,0.33823147919551133,0.661717968951916,4.797270835210205e-05,2.5791442205111585e-06,24562,32754,1,1,1,1,1,-0.6631690263748169,0.41376030445098877,1.0769293308258057,0.018552454312642415,"[-0.5905507802963257,0.5137470960617065,-0.6030970215797424,-0.5966344475746155,0.509418249130249,0.5164908170700073,0.5705021619796753,0.4775412082672119,0.46555495262145996,0.6288139820098877,0.5148476362228394,0.5331848859786987,0.6163418292999268,-0.6631690263748169,0.610993504524231,-0.5569013953208923]","[-0.5764119029045105,0.535426139831543,-0.5829446315765381,-0.5729414820671082,0.5388370752334595,0.5108324289321899,0.5590610504150391,0.4766768217086792,0.46944987773895264,0.6200824975967407,0.4310048818588257,0.5149121284484863,0.6020294427871704,0.41376030445098877,0.6248699426651001,-0.5652114748954773]"
audioseal,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,"[4248,18453,41827,50804,64415]",2,41827,41763,6,,160000,2.043618274578781e-08,0.017062420025467873,9.187747664099218e-10,1.9515248413558658e-08,2.0850663021772666e-12,7.449951705506701e-14,0.04495823793703814,0.9549360884229238,0.00010202816876879948,3.645471269355449e-06,41827,41763,1,1,1,1,1,0.4851713180541992,-0.5826951265335083,1.0678664445877075,0.014083866278330486,"[0.5782544612884521,0.49477505683898926,-0.5531291365623474,-0.487352192401886,-0.5482504367828369,0.42923569679260254,0.4851713180541992,-0.5392888784408569,0.5054131746292114,0.5759167671203613,-0.5655878186225891,-0.4536396861076355,-0.4244374632835388,0.477802038192749,-0.5168864727020264,0.5199075937271118]","[0.5622109174728394,0.4863154888153076,-0.5469954013824463,-0.45446205139160156,-0.5236002206802368,0.42186737060546875,-0.5826951265335083,-0.5343703031539917,0.4997497797012329,0.5541422367095947,-0.5627862811088562,-0.4414459466934204,-0.4200941324234009,0.5100011825561523,-0.49578744173049927,0.5306267738342285]"
audioseal,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,"[6952,37780,38394,40384,60611]",0,6952,6953,0,,160000,5.867846660678494e-08,0.03259268403053284,6.6004246095733046e-09,5.207410517540591e-08,3.7521194604597405e-12,1.8470234525191902e-13,0.11248461303196534,0.8874482955453479,6.394372037025736e-05,3.1477023162456335e-06,6952,6953,1,1,1,1,1,-0.5314462780952454,0.5934361219406128,1.1248824000358582,0.024155171712239583,"[-0.5314462780952454,-0.5307877659797668,-0.5983186960220337,0.6348479986190796,-0.5766639709472656,0.5643675327301025,-0.6594996452331543,-0.5270612239837646,0.5039337873458862,0.6134424209594727,-0.5556363463401794,0.6199890375137329,0.6084308624267578,-0.6088753938674927,-0.5399341583251953,-0.50240159034729]","[0.5934361219406128,-0.5118012428283691,-0.5757887363433838,0.5792300701141357,-0.5999581813812256,0.48632144927978516,-0.6594613790512085,-0.536634087562561,0.5262702703475952,0.629374623298645,-0.5682259798049927,0.6063625812530518,0.6144924163818359,-0.5896573662757874,-0.5615793466567993,-0.45956939458847046]"
audioseal,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,"[24376,29823,34030,53555,61373]",4,61373,59325,11,,160000,1.3911723260312812e-07,0.01774325594305992,2.6548856794640507e-08,1.12564203434405e-07,3.989247460040943e-12,1.8312662256206896e-13,0.1908380169578182,0.8091319912575226,2.8675437150345114e-05,1.3163475087553693e-06,61373,59325,1,1,1,1,1,0.5310401916503906,-0.49001455307006836,1.021054744720459,0.009401277701059977,"[0.5710062980651855,-0.5070026516914368,0.5917211771011353,0.6364234685897827,0.5299230813980103,0.4332319498062134,-0.6378858089447021,0.47174954414367676,0.561478853225708,0.6254832744598389,0.4923757314682007,0.5310401916503906,-0.4594058394432068,0.5504025220870972,0.6180797815322876,0.5593817234039307]","[0.5708800554275513,-0.48702502250671387,0.5940444469451904,0.6449810266494751,0.551427960395813,0.4332071542739868,-0.6417093873023987,0.48697757720947266,0.5554296970367432,0.6305395364761353,0.4818437099456787,-0.49001455307006836,-0.44311773777008057,0.536556601524353,0.6046080589294434,0.5551717281341553]"
audioseal,5,16,chinese:SSB0018,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,"[7823,13249,18186,19907,57460]",2,18186,1802,14,,160000,9.744540633840333e-08,0.014107408933341503,5.4811462785627554e-08,4.2631337030621185e-08,2.492185841285817e-12,1.1433631329348824e-13,0.5624838034466311,0.43748944801536666,2.557520087330832e-05,1.1733371288578452e-06,18186,1802,1,1,1,1,1,0.6099307537078857,-0.4479662775993347,1.0578970313072205,0.010441104571024576,"[-0.5833340883255005,0.48993003368377686,-0.5542974472045898,0.5897625684738159,-0.6275144815444946,-0.5944217443466187,-0.6380174160003662,-0.5475748777389526,0.5093839168548584,0.5702683925628662,0.48950111865997314,-0.4916699528694153,-0.457719624042511,-0.610328197479248,0.6099307537078857,-0.5449535846710205]","[-0.574367880821228,0.5150166749954224,-0.5671031475067139,0.5899887084960938,-0.6242889165878296,-0.5922406911849976,-0.627536416053772,-0.5339927673339844,0.5366033315658569,0.5936036109924316,0.4800616502761841,-0.4835795760154724,-0.45278501510620117,-0.6115115880966187,-0.4479662775993347,-0.5508132576942444]"
audioseal,5,17,chinese:SSB0018,3,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,"[15248,21101,35613,36992,60840]",0,15248,15250,1,,160000,3.4501585812653175e-07,0.015284807421267033,3.9366454209439764e-08,3.0564421820589166e-07,4.9914957292366505e-12,1.9421547108345507e-13,0.11410041968274524,0.8858845499611764,1.4467438558740278e-05,5.6291751961218e-07,15248,15250,1,1,1,1,1,-0.5083307027816772,0.5551508665084839,1.0634815692901611,0.014162206649780273,"[-0.5212777853012085,-0.5083307027816772,-0.5690445899963379,-0.541968822479248,0.6121819019317627,-0.6231547594070435,-0.627998948097229,0.48467350006103516,0.550631046295166,0.6335084438323975,-0.5707746744155884,0.560057520866394,0.5925713777542114,0.5080239772796631,-0.48673945665359497,-0.5212746858596802]","[-0.5457240343093872,0.5551508665084839,-0.5710642337799072,-0.5349528789520264,0.6208558082580566,-0.6590250730514526,-0.6121304035186768,0.4923701286315918,0.5445226430892944,0.6513285636901855,-0.5653508901596069,0.5464000701904297,0.5999171733856201,0.4982959032058716,-0.45162850618362427,-0.5369219779968262]"
audioseal,5,18,chinese:SSB0033,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,"[4248,10205,22468,37089,38462]",1,10205,10207,1,,160000,5.196846370994346e-08,0.013314786367118359,2.599591641313951e-08,2.5969323551798792e-08,3.0866799806242125e-12,1.3706502454062617e-13,0.5002248393993902,0.4997131278835536,5.939525166362804e-05,2.637465392581937e-06,10205,10207,1,1,1,1,1,-0.4644896388053894,0.5482621192932129,1.0127517580986023,0.013221784432729086,"[0.6046969890594482,-0.4644896388053894,0.6031115055084229,0.6271125078201294,0.5943944454193115,-0.6138961911201477,0.49881184101104736,0.4706226587295532,0.5811039209365845,0.605043888092041,0.44862401485443115,-0.5074252486228943,-0.4664812684059143,0.5442200899124146,-0.49103909730911255,-0.5163251161575317]","[0.5956605672836304,0.5482621192932129,0.6039489507675171,0.6294138431549072,0.6062971353530884,-0.6483298540115356,0.5093581676483154,0.4717973470687866,0.5794939994812012,0.6243100166320801,0.4551699161529541,-0.5281568765640259,-0.46019428968429565,0.5263655185699463,-0.4721745252609253,-0.5532596111297607]"
audioseal,5,19,chinese:SSB0033,2,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,"[781,9460,10041,35213,40333]",4,40333,48525,13,,160000,3.2550175156969546e-07,0.014583727344870567,4.990887648900843e-08,2.755857677554116e-07,6.839117258432956e-12,2.6820801704710714e-13,0.15332905659747914,0.8466491084193261,2.1010999865444916e-05,8.239833295940936e-07,40333,48525,1,1,1,1,1,-0.5255180597305298,0.5773632526397705,1.1028813123703003,0.00965342919031779,"[0.5855920314788818,-0.5114622116088867,0.5446275472640991,0.6416397094726562,-0.604210615158081,-0.6185914874076843,-0.5956685543060303,0.4825785160064697,0.5987980365753174,-0.5359569787979126,0.4716600179672241,0.5806931257247925,0.5767040252685547,-0.5255180597305298,-0.49880218505859375,0.5407863855361938]","[0.5963535308837891,-0.5027940273284912,0.5674738883972168,0.6325510740280151,-0.6163570880889893,-0.6396890878677368,-0.5933791399002075,0.4802449941635132,0.6083400249481201,-0.5247663855552673,0.47308778762817383,0.5714001655578613,0.5637868642807007,0.5773632526397705,-0.4912571310997009,0.5371321439743042]"
