model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
audioseal,3,23,chinese:SSB0038,3,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,3,3,uniform,1,13,0.8125,4.5831,0.9990,34.98
audioseal,3,24,chinese:SSB0043,1,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,3,3,uniform,1,15,0.9375,4.5768,0.9993,34.51
audioseal,3,25,chinese:SSB0043,2,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,3,3,uniform,1,12,0.7500,4.5647,0.9994,32.95
audioseal,3,26,chinese:SSB0043,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,3,3,uniform,1,14,0.8750,4.5619,0.9993,34.40
audioseal,3,27,chinese:SSB0057,1,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,3,3,uniform,1,12,0.7500,4.5992,0.9988,37.51
audioseal,3,28,chinese:SSB0057,2,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,3,3,uniform,1,13,0.8125,4.6214,0.9999,40.86
audioseal,3,29,chinese:SSB0057,3,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,3,3,uniform,1,14,0.8750,4.6042,0.9994,36.53
audioseal,3,30,chinese:SSB0073,1,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,3,3,uniform,1,15,0.9375,4.5867,0.9997,30.67
audioseal,3,31,chinese:SSB0073,2,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,3,3,uniform,1,12,0.7500,4.5931,0.9995,34.87
audioseal,3,32,chinese:SSB0073,3,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,3,3,uniform,1,14,0.8750,4.6078,0.9998,33.86
audioseal,3,33,chinese:SSB0080,1,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,3,3,uniform,1,14,0.8750,4.5994,0.9992,35.83
audioseal,3,34,chinese:SSB0080,2,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,3,3,uniform,1,12,0.7500,4.5940,0.9982,32.44
audioseal,3,35,chinese:SSB0080,3,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,3,3,uniform,1,13,0.8125,4.5967,0.9993,32.64
audioseal,3,36,chinese:SSB0112,1,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,3,3,uniform,1,14,0.8750,4.5277,0.9991,27.92
audioseal,3,37,chinese:SSB0112,2,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,3,3,uniform,1,14,0.8750,4.5525,0.9996,29.51
audioseal,3,38,chinese:SSB0112,3,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,3,3,uniform,1,12,0.7500,4.5647,0.9989,29.44
audioseal,3,39,chinese:SSB0122,1,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,3,3,uniform,1,15,0.9375,4.6195,0.9999,41.91
audioseal,3,40,chinese:SSB0122,2,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,3,3,uniform,1,13,0.8125,4.5788,0.9999,34.98
audioseal,3,41,chinese:SSB0122,3,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_03.wav,3,3,uniform,1,14,0.8750,4.5803,0.9998,36.53
audioseal,3,42,chinese:SSB0133,1,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_01.wav,3,3,uniform,1,11,0.6875,4.5663,0.9987,37.04
audioseal,3,43,chinese:SSB0133,2,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_02.wav,3,3,uniform,1,15,0.9375,4.5964,0.9995,36.64
audioseal,3,44,chinese:SSB0133,3,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_03.wav,3,3,uniform,1,12,0.7500,4.5721,0.9992,36.03
audioseal,3,45,chinese:SSB0139,1,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_01.wav,3,3,uniform,1,15,0.9375,4.6230,0.9999,37.96
audioseal,3,46,chinese:SSB0139,2,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_02.wav,3,3,uniform,1,12,0.7500,4.5981,0.9997,37.65
audioseal,3,47,chinese:SSB0139,3,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_03.wav,3,3,uniform,1,14,0.8750,4.6010,0.9997,36.01
audioseal,3,48,chinese:SSB0145,1,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_01.wav,3,3,uniform,1,14,0.8750,4.5978,0.9994,34.03
audioseal,3,49,chinese:SSB0145,2,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_02.wav,3,3,uniform,1,14,0.8750,4.6006,0.9997,36.95
audioseal,3,50,chinese:SSB0145,3,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_03.wav,3,3,uniform,1,12,0.7500,4.6111,0.9998,35.89
audioseal,3,51,chinese:SSB0149,1,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_01.wav,3,3,uniform,1,12,0.7500,4.6159,0.9998,37.17
audioseal,3,52,chinese:SSB0149,2,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_02.wav,3,3,uniform,1,13,0.8125,4.5868,0.9997,34.63
audioseal,3,53,chinese:SSB0149,3,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_03.wav,3,3,uniform,1,13,0.8125,4.5908,0.9997,35.43
audioseal,3,54,chinese:SSB0193,1,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_01.wav,3,3,uniform,1,12,0.7500,4.5705,0.9993,30.52
audioseal,3,55,chinese:SSB0193,2,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_02.wav,3,3,uniform,1,14,0.8750,4.5792,0.9992,31.40
audioseal,3,56,chinese:SSB0193,3,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_03.wav,3,3,uniform,1,14,0.8750,4.5986,0.9999,34.53
audioseal,3,57,chinese:SSB0197,1,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_01.wav,3,3,uniform,1,14,0.8750,4.5570,0.9945,29.45
audioseal,3,58,chinese:SSB0197,2,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_02.wav,3,3,uniform,1,14,0.8750,4.5583,0.9955,30.83
audioseal,3,59,chinese:SSB0197,3,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_03.wav,3,3,uniform,1,15,0.9375,4.5730,0.9891,29.52
audioseal,3,60,chinese:SSB0200,1,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_01.wav,3,3,uniform,1,15,0.9375,4.5991,0.9997,33.17
audioseal,3,61,chinese:SSB0200,2,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_02.wav,3,3,uniform,1,14,0.8750,4.5778,0.9994,30.70
audioseal,3,62,chinese:SSB0200,3,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_03.wav,3,3,uniform,1,15,0.9375,4.5660,0.9988,29.71
audioseal,3,63,chinese:SSB0241,1,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_01.wav,3,3,uniform,1,15,0.9375,4.6164,0.9998,39.24
audioseal,3,64,chinese:SSB0241,2,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_02.wav,3,3,uniform,1,14,0.8750,4.5858,0.9996,29.27
audioseal,3,65,chinese:SSB0241,3,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_03.wav,3,3,uniform,1,14,0.8750,4.6225,0.9999,41.93
audioseal,3,66,chinese:SSB0246,1,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_01.wav,3,3,uniform,1,12,0.7500,4.5565,0.9989,33.29
audioseal,3,67,chinese:SSB0246,2,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_02.wav,3,3,uniform,1,14,0.8750,4.6090,0.9996,34.05
audioseal,3,68,chinese:SSB0246,3,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_03.wav,3,3,uniform,1,13,0.8125,4.6021,0.9997,35.08
audioseal,3,69,chinese:SSB0261,1,dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_01.wav,3,3,uniform,1,13,0.8125,4.5978,0.9997,34.73
audioseal,3,70,chinese:SSB0261,2,dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_02.wav,3,3,uniform,1,12,0.7500,4.6052,0.9998,33.91
audioseal,3,71,chinese:SSB0261,3,dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_03.wav,3,3,uniform,1,12,0.7500,4.5956,0.9990,34.41
audioseal,3,72,chinese:SSB0267,1,dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_01.wav,3,3,uniform,1,12,0.7500,4.5731,0.9990,36.67
audioseal,3,73,chinese:SSB0267,2,dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_02.wav,3,3,uniform,1,14,0.8750,4.6016,0.9990,34.63
audioseal,3,74,chinese:SSB0267,3,dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_03.wav,3,3,uniform,1,14,0.8750,4.5895,0.9991,34.09
audioseal,3,75,chinese:SSB0273,1,dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_01.wav,3,3,uniform,1,13,0.8125,4.6069,0.9998,36.62
audioseal,3,76,chinese:SSB0273,2,dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_02.wav,3,3,uniform,1,15,0.9375,4.6154,0.9998,39.70
audioseal,3,77,chinese:SSB0273,3,dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_03.wav,3,3,uniform,1,14,0.8750,4.6145,0.9998,35.80
audioseal,3,78,chinese:SSB0287,1,dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_01.wav,3,3,uniform,1,14,0.8750,4.5967,0.9997,34.21
audioseal,3,79,chinese:SSB0287,2,dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_02.wav,3,3,uniform,1,14,0.8750,4.5386,0.9987,29.17
