category,file,rows,columns,bytes,sha256,runtime_source
baselines,baselines_audioseal_K5.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,117398,fec6d1ca50fcde260131569315c0f9257f0151a204e15a0dd043f52c17eb3300,results/evaluation/baselines_audioseal_K5.csv
baselines,baselines_audioseal_K8.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,117400,285df9ed64a394f43d9867e2ada3d127786127bb576ad5ced2d372739b138390,results/evaluation/baselines_audioseal_K8.csv
baselines,baselines_timbrewm_K2.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,114580,62a3138baa7ab9bd069c94f42b94eef8835ac90de00f3847a7c73bf4f8043d2b,results/evaluation/baselines_timbrewm_K2.csv
baselines,baselines_timbrewm_K3.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,114674,c0629e26f9bf453d18e10e2d9394f93ba84b23af6bc275caa7cb5dd1c9750293,results/evaluation/baselines_timbrewm_K3.csv
baselines,baselines_timbrewm_K5.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,114557,1f33089312d2991d87f63d3e1ba4fd50e5a25ca4acb069a5dc2a7672422a7af5,results/evaluation/baselines_timbrewm_K5.csv
baselines,baselines_timbrewm_K8.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,114495,5d4702fbeb2bdb60cbd40c331e49fd121d602a4578102a6d2a8bc08f89051afa,results/evaluation/baselines_timbrewm_K8.csv
baselines,baselines_voicemark_K2.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,117067,4fbf6a14bd84832fed1295bb87184f1b81de272ac540e8964b05a37c7fb1477a,results/evaluation/baselines_voicemark_K2.csv
baselines,baselines_voicemark_K3.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,116880,65c52a9553f2a0d67125dc7ffae70278db6c9859c95a09cfaae7c9265675bcdf,results/evaluation/baselines_voicemark_K3.csv
baselines,baselines_voicemark_K5.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,116753,124d26eb51a34c51458044363ec4e4760769400dee5c0519f9bc81ac6c4a04ec,results/evaluation/baselines_voicemark_K5.csv
baselines,baselines_voicemark_K8.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,116663,64008a07fb5696c5481fde455a3e5d950acac2500b039086c3d2214fafcbc616,results/evaluation/baselines_voicemark_K8.csv
baselines,baselines_wavmark_K2.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,114399,fa0edbb1c336b18fe305fe63a71204763ae5d8186932f3ee474d93dd2214ac42,results/evaluation/baselines_wavmark_K2.csv
baselines,baselines_wavmark_K3.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,114400,bf01786d486068d76b68aad737857c78e26dc54578e1d2d84768e458a4226ef1,results/evaluation/baselines_wavmark_K3.csv
