model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,21,chinese:SSB0038,0,2,34497,0,-8.00000000,2.17422923
wavmark,21,chinese:SSB0038,0,2,4080,0,-10.00000000,2.59369866
wavmark,21,chinese:SSB0038,0,2,61728,0,-12.00000000,2.27636073
wavmark,21,chinese:SSB0038,0,2,35532,0,-7.00000000,1.88293774
wavmark,22,chinese:SSB0038,1,2,45139,0,-9.00000000,2.35487888
wavmark,22,chinese:SSB0038,1,2,58125,0,-8.00000000,2.59369866
wavmark,22,chinese:SSB0038,1,2,38402,0,-11.00000000,2.59369866
wavmark,22,chinese:SSB0038,1,2,31371,0,-9.00000000,2.35487888
wavmark,22,chinese:SSB0038,1,2,48110,0,-6.00000000,2.13200716
wavmark,22,chinese:SSB0038,1,2,29606,0,-7.00000000,1.62368828
wavmark,22,chinese:SSB0038,1,2,24630,0,-8.00000000,2.13200716
wavmark,22,chinese:SSB0038,1,2,62988,0,-10.00000000,2.59369866
wavmark,22,chinese:SSB0038,1,2,34218,0,-9.00000000,2.39317211
wavmark,22,chinese:SSB0038,1,2,15589,0,-7.00000000,1.78376517
wavmark,23,chinese:SSB0038,2,2,4923,0,-9.00000000,2.54950976
wavmark,23,chinese:SSB0038,2,2,29109,0,-12.00000000,3.08220700
wavmark,23,chinese:SSB0038,2,2,16867,0,-8.00000000,2.61406452
wavmark,23,chinese:SSB0038,2,2,46617,0,-9.00000000,2.41522946
wavmark,23,chinese:SSB0038,2,2,29568,0,-7.00000000,2.12132034
wavmark,23,chinese:SSB0038,2,2,5990,0,-9.00000000,2.30940108
wavmark,23,chinese:SSB0038,2,2,33205,0,-10.00000000,2.88675135
wavmark,23,chinese:SSB0038,2,2,63691,0,-7.00000000,2.70801280
wavmark,23,chinese:SSB0038,2,2,57581,0,-10.00000000,3.21455025
wavmark,23,chinese:SSB0038,2,2,9705,0,-9.00000000,2.70801280
wavmark,24,chinese:SSB0043,0,2,56101,0,-11.00000000,2.95199690
wavmark,24,chinese:SSB0043,0,2,35532,0,-5.00000000,1.96396101
wavmark,24,chinese:SSB0043,0,2,13730,0,-9.00000000,2.53546276
wavmark,24,chinese:SSB0043,0,2,18560,0,-9.00000000,2.10441712
wavmark,24,chinese:SSB0043,0,2,44243,0,-7.00000000,2.39045722
wavmark,24,chinese:SSB0043,0,2,37155,0,-12.00000000,2.95199690
wavmark,24,chinese:SSB0043,0,2,59747,0,-11.00000000,2.77746030
wavmark,24,chinese:SSB0043,0,2,24023,0,-5.00000000,2.10441712
wavmark,24,chinese:SSB0043,0,2,1828,0,-7.00000000,2.32992949
wavmark,24,chinese:SSB0043,0,2,58982,0,-9.00000000,2.42015348
wavmark,25,chinese:SSB0043,1,2,32808,0,-10.00000000,2.05480467
wavmark,25,chinese:SSB0043,1,2,50813,0,-7.00000000,2.13437475
wavmark,25,chinese:SSB0043,1,2,51683,0,-6.00000000,2.00000000
wavmark,25,chinese:SSB0043,1,2,793,0,-12.00000000,2.68741925
wavmark,25,chinese:SSB0043,1,2,32186,0,-8.00000000,2.44948974
wavmark,25,chinese:SSB0043,1,2,19005,0,-7.00000000,2.05480467
wavmark,25,chinese:SSB0043,1,2,53579,0,-9.00000000,2.44948974
wavmark,25,chinese:SSB0043,1,2,51710,0,-8.00000000,2.44948974
wavmark,25,chinese:SSB0043,1,2,63786,0,-8.00000000,2.28521820
wavmark,25,chinese:SSB0043,1,2,1774,0,-7.00000000,2.23606798
wavmark,26,chinese:SSB0043,2,2,22058,0,-11.00000000,2.46981781
wavmark,26,chinese:SSB0043,2,2,41761,0,-8.00000000,2.09761770
wavmark,26,chinese:SSB0043,2,2,18091,0,-10.00000000,2.52982213
wavmark,26,chinese:SSB0043,2,2,687,0,-9.00000000,2.46981781
wavmark,26,chinese:SSB0043,2,2,61049,0,-7.00000000,2.32379001
wavmark,26,chinese:SSB0043,2,2,4082,0,-7.00000000,2.54950976
wavmark,26,chinese:SSB0043,2,2,12706,0,-10.00000000,2.34520788
wavmark,26,chinese:SSB0043,2,2,17797,0,-8.00000000,2.09761770
wavmark,26,chinese:SSB0043,2,2,24299,0,-9.00000000,2.72029410
wavmark,26,chinese:SSB0043,2,2,24485,0,-8.00000000,2.52982213
wavmark,27,chinese:SSB0057,0,2,7967,0,-6.00000000,2.42383993
wavmark,27,chinese:SSB0057,0,2,58922,0,-6.00000000,1.96850197
wavmark,27,chinese:SSB0057,0,2,57668,0,-8.00000000,2.12132034
wavmark,27,chinese:SSB0057,0,2,57119,0,-6.00000000,2.42383993
wavmark,27,chinese:SSB0057,0,2,14960,0,-9.00000000,2.62202212
