model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
voicemark,5,237,english:1841,1,dataset/collusion_300/english/1841/english_1841_01.wav,5,6,uniform,1,11,0.6875,4.0575,0.9770,7.41
voicemark,5,238,english:1841,2,dataset/collusion_300/english/1841/english_1841_02.wav,5,10,uniform,1,13,0.8125,4.1918,0.9824,9.40
voicemark,5,239,english:1841,3,dataset/collusion_300/english/1841/english_1841_03.wav,5,5,uniform,1,14,0.8750,3.6851,0.9825,9.09
voicemark,5,240,english:1867,1,dataset/collusion_300/english/1867/english_1867_01.wav,5,5,uniform,1,12,0.7500,4.1513,0.9862,10.29
voicemark,5,241,english:1867,2,dataset/collusion_300/english/1867/english_1867_02.wav,5,5,uniform,1,10,0.6250,4.3104,0.9872,8.62
voicemark,5,242,english:1867,3,dataset/collusion_300/english/1867/english_1867_03.wav,5,6,uniform,1,9,0.5625,4.2806,0.9895,13.87
voicemark,5,243,english:1898,1,dataset/collusion_300/english/1898/english_1898_01.wav,5,5,uniform,1,14,0.8750,4.1264,0.9773,12.27
voicemark,5,244,english:1898,2,dataset/collusion_300/english/1898/english_1898_02.wav,5,6,uniform,1,11,0.6875,4.2483,0.9848,10.43
voicemark,5,245,english:1898,3,dataset/collusion_300/english/1898/english_1898_03.wav,5,7,uniform,1,12,0.7500,3.5156,0.9792,9.44
voicemark,5,246,english:19,1,dataset/collusion_300/english/19/english_19_01.wav,5,5,uniform,1,15,0.9375,4.0292,0.9439,12.57
voicemark,5,247,english:19,2,dataset/collusion_300/english/19/english_19_02.wav,5,5,uniform,1,11,0.6875,4.4321,0.9899,17.58
voicemark,5,248,english:19,3,dataset/collusion_300/english/19/english_19_03.wav,5,6,uniform,1,12,0.7500,4.1923,0.9784,15.98
voicemark,5,249,english:1926,1,dataset/collusion_300/english/1926/english_1926_01.wav,5,5,uniform,1,9,0.5625,4.2578,0.9825,10.05
voicemark,5,250,english:1926,2,dataset/collusion_300/english/1926/english_1926_02.wav,5,5,uniform,1,15,0.9375,4.1628,0.9836,9.62
voicemark,5,251,english:1926,3,dataset/collusion_300/english/1926/english_1926_03.wav,5,5,uniform,1,13,0.8125,4.3908,0.9880,10.06
voicemark,5,252,english:196,1,dataset/collusion_300/english/196/english_196_01.wav,5,5,uniform,1,9,0.5625,3.9008,0.9744,14.23
voicemark,5,253,english:196,2,dataset/collusion_300/english/196/english_196_02.wav,5,5,uniform,1,10,0.6250,4.1754,0.9830,14.11
voicemark,5,254,english:196,3,dataset/collusion_300/english/196/english_196_03.wav,5,5,uniform,1,13,0.8125,4.2925,0.9817,12.59
voicemark,5,255,english:1963,1,dataset/collusion_300/english/1963/english_1963_01.wav,5,6,uniform,1,12,0.7500,4.1354,0.9905,11.98
voicemark,5,256,english:1963,2,dataset/collusion_300/english/1963/english_1963_02.wav,5,6,uniform,1,12,0.7500,3.7038,0.9880,13.58
voicemark,5,257,english:1963,3,dataset/collusion_300/english/1963/english_1963_03.wav,5,8,uniform,1,11,0.6875,4.3195,0.9901,12.61
voicemark,5,258,english:1970,1,dataset/collusion_300/english/1970/english_1970_01.wav,5,5,uniform,1,11,0.6875,4.2428,0.9733,13.41
voicemark,5,259,english:1970,2,dataset/collusion_300/english/1970/english_1970_02.wav,5,6,uniform,1,12,0.7500,4.3636,0.9786,15.37
voicemark,5,260,english:1970,3,dataset/collusion_300/english/1970/english_1970_03.wav,5,5,uniform,1,13,0.8125,4.4019,0.9826,15.67
voicemark,5,261,english:198,1,dataset/collusion_300/english/198/english_198_01.wav,5,5,uniform,1,10,0.6250,4.1753,0.9804,16.40
voicemark,5,262,english:198,2,dataset/collusion_300/english/198/english_198_02.wav,5,5,uniform,1,12,0.7500,4.3667,0.9836,16.98
voicemark,5,263,english:198,3,dataset/collusion_300/english/198/english_198_03.wav,5,5,uniform,1,11,0.6875,4.3673,0.9822,16.12
voicemark,5,264,english:1992,1,dataset/collusion_300/english/1992/english_1992_01.wav,5,5,uniform,1,13,0.8125,4.2046,0.9685,18.02
