model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
timbrewm,5,240,english:1867,1,dataset/collusion_300/english/1867/english_1867_01.wav,5,5,uniform,0,10,1.0000,4.6092,0.9996,29.78
timbrewm,5,241,english:1867,2,dataset/collusion_300/english/1867/english_1867_02.wav,5,5,uniform,1,7,0.7000,4.5515,0.9990,29.07
timbrewm,5,242,english:1867,3,dataset/collusion_300/english/1867/english_1867_03.wav,5,5,uniform,1,8,0.8000,4.5905,0.9994,29.48
timbrewm,5,243,english:1898,1,dataset/collusion_300/english/1898/english_1898_01.wav,5,5,uniform,1,9,0.9000,4.5852,0.9962,28.27
timbrewm,5,244,english:1898,2,dataset/collusion_300/english/1898/english_1898_02.wav,5,5,uniform,0,10,1.0000,4.5789,0.9987,29.20
timbrewm,5,245,english:1898,3,dataset/collusion_300/english/1898/english_1898_03.wav,5,5,uniform,1,8,0.8000,4.5236,0.9969,27.72
timbrewm,5,246,english:19,1,dataset/collusion_300/english/19/english_19_01.wav,5,5,uniform,1,8,0.8000,4.5475,0.9876,30.63
timbrewm,5,247,english:19,2,dataset/collusion_300/english/19/english_19_02.wav,5,5,uniform,1,9,0.9000,4.5941,0.9991,33.28
timbrewm,5,248,english:19,3,dataset/collusion_300/english/19/english_19_03.wav,5,5,uniform,1,9,0.9000,4.6065,0.9984,33.59
timbrewm,5,249,english:1926,1,dataset/collusion_300/english/1926/english_1926_01.wav,5,5,uniform,1,8,0.8000,4.5609,0.9985,30.60
timbrewm,5,250,english:1926,2,dataset/collusion_300/english/1926/english_1926_02.wav,5,5,uniform,1,8,0.8000,4.5427,0.9987,30.53
timbrewm,5,251,english:1926,3,dataset/collusion_300/english/1926/english_1926_03.wav,5,5,uniform,1,8,0.8000,4.5823,0.9987,29.84
timbrewm,5,252,english:196,1,dataset/collusion_300/english/196/english_196_01.wav,5,5,uniform,1,7,0.7000,4.5665,0.9983,28.71
timbrewm,5,253,english:196,2,dataset/collusion_300/english/196/english_196_02.wav,5,5,uniform,1,8,0.8000,4.5678,0.9981,28.68
timbrewm,5,254,english:196,3,dataset/collusion_300/english/196/english_196_03.wav,5,5,uniform,1,8,0.8000,4.5762,0.9975,28.85
