model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
wmcodec,5,60,chinese:SSB0200,1,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_01.wav,5,5,uniform,1,10,0.6250,4.3372,0.9798,14.12
wmcodec,5,61,chinese:SSB0200,2,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_02.wav,5,5,uniform,1,12,0.7500,4.2013,0.9803,13.51
wmcodec,5,62,chinese:SSB0200,3,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_03.wav,5,5,uniform,1,9,0.5625,4.3087,0.9818,16.48
wmcodec,5,63,chinese:SSB0241,1,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_01.wav,5,5,uniform,1,12,0.7500,4.4163,0.9902,16.46
wmcodec,5,64,chinese:SSB0241,2,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_02.wav,5,5,uniform,1,15,0.9375,4.2367,0.9899,14.28
wmcodec,5,65,chinese:SSB0241,3,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_03.wav,5,5,uniform,1,13,0.8125,4.2620,0.9891,15.28
wmcodec,5,66,chinese:SSB0246,1,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_01.wav,5,5,uniform,1,11,0.6875,4.2600,0.9867,16.97
wmcodec,5,67,chinese:SSB0246,2,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_02.wav,5,5,uniform,1,11,0.6875,4.2524,0.9869,17.09
wmcodec,5,68,chinese:SSB0246,3,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_03.wav,5,5,uniform,1,11,0.6875,4.1026,0.9813,15.96
wmcodec,5,69,chinese:SSB0261,1,dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_01.wav,5,5,uniform,1,12,0.7500,4.3073,0.9832,15.24
wmcodec,5,70,chinese:SSB0261,2,dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_02.wav,5,5,uniform,1,10,0.6250,4.3609,0.9858,14.97
wmcodec,5,71,chinese:SSB0261,3,dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_03.wav,5,5,uniform,1,11,0.6875,4.3221,0.9806,12.71
wmcodec,5,72,chinese:SSB0267,1,dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_01.wav,5,5,uniform,1,11,0.6875,4.1008,0.9783,16.87
wmcodec,5,73,chinese:SSB0267,2,dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_02.wav,5,5,uniform,1,14,0.8750,4.2731,0.9834,14.90
wmcodec,5,74,chinese:SSB0267,3,dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_03.wav,5,5,uniform,1,9,0.5625,4.0286,0.9793,14.83
wmcodec,5,75,chinese:SSB0273,1,dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_01.wav,5,5,uniform,1,11,0.6875,4.4074,0.9892,17.72
wmcodec,5,76,chinese:SSB0273,2,dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_02.wav,5,5,uniform,1,10,0.6250,4.3247,0.9884,17.16
wmcodec,5,77,chinese:SSB0273,3,dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_03.wav,5,5,uniform,1,8,0.5000,4.4055,0.9876,18.05
wmcodec,5,78,chinese:SSB0287,1,dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_01.wav,5,5,uniform,1,12,0.7500,4.2054,0.9827,14.63
wmcodec,5,79,chinese:SSB0287,2,dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_02.wav,5,5,uniform,1,12,0.7500,4.3133,0.9794,13.20
wmcodec,5,80,chinese:SSB0287,3,dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_03.wav,5,5,uniform,1,13,0.8125,4.2775,0.9825,13.86
